Task,Runtime_ms,Count,Avg_delay_ms,Max_delay_ms,Max_delay_start,Max_delay_end
dbus-broker-lau:952,0.140 ms,1,avg:   3.207 ms,max:   3.207 ms,max start: 32088.037306 s,max end: 32088.040513 s
polkitd:966,0.101 ms,1,avg:   1.757 ms,max:   1.757 ms,max start: 32088.032712 s,max end: 32088.034469 s
kauditd:95,0.080 ms,2,avg:   1.223 ms,max:   2.433 ms,max start: 32088.035068 s,max end: 32088.037501 s
kworker/u50:13-:67108,19.480 ms,12,avg:   0.995 ms,max:   4.003 ms,max start: 32109.382455 s,max end: 32109.386459 s
pipewire:3507,0.181 ms,2,avg:   0.952 ms,max:   1.826 ms,max start: 32088.032648 s,max end: 32088.034474 s
ibus-daemon:3663,14.363 ms,45,avg:   0.474 ms,max:   1.702 ms,max start: 32093.488488 s,max end: 32093.490190 s
ThreadPoolForeg:(12),512.392 ms,827,avg:   0.467 ms,max:  12.047 ms,max start: 32090.038478 s,max end: 32090.050525 s
systemd:1,5.912 ms,3,avg:   0.386 ms,max:   0.636 ms,max start: 32088.033840 s,max end: 32088.034477 s
ibus-engine-sim:4185,1.011 ms,15,avg:   0.372 ms,max:   1.836 ms,max start: 32093.493961 s,max end: 32093.495797 s
kworker/u50:22-:57118,75.194 ms,81,avg:   0.363 ms,max:   8.300 ms,max start: 32110.651509 s,max end: 32110.659808 s
gdbus:(14),53.619 ms,201,avg:   0.328 ms,max:   8.167 ms,max start: 32093.493378 s,max end: 32093.501544 s
rs:main Q:Reg:1680,0.111 ms,1,avg:   0.292 ms,max:   0.292 ms,max start: 32088.276790 s,max end: 32088.277081 s
kworker/u53:5-t:76221,0.319 ms,14,avg:   0.282 ms,max:   1.527 ms,max start: 32081.941793 s,max end: 32081.943320 s
systemd-logind:1000,9.883 ms,4,avg:   0.251 ms,max:   0.540 ms,max start: 32088.034474 s,max end: 32088.035014 s
git:(27),271.766 ms,47,avg:   0.246 ms,max:   2.025 ms,max start: 32109.493586 s,max end: 32109.495612 s
msgfmt:(51),2089.855 ms,251,avg:   0.208 ms,max:  15.754 ms,max start: 32110.632487 s,max end: 32110.648240 s
auditd:926,0.209 ms,2,avg:   0.181 ms,max:   0.348 ms,max start: 32088.037524 s,max end: 32088.037873 s
postgres:(5),7.486 ms,21,avg:   0.171 ms,max:   3.012 ms,max start: 32090.909463 s,max end: 32090.912475 s
kworker/u50:1-f:76461,175.878 ms,437,avg:   0.149 ms,max:   4.700 ms,max start: 32110.657451 s,max end: 32110.662151 s
