comm,parent,sched-in,run-time,min-run,avg-run,max-run,stddev,migrations
sh[79816],-1,1,0.328,0.328,0.328,0.328,0.00,0
sh[79672],-1,1,0.376,0.376,0.376,0.376,0.00,0
cc[79528],-1,1,0.438,0.438,0.438,0.438,0.00,0
chmod[79384],-1,2,1.543,0.024,0.771,1.519,96.81,0
as[79240],-1,1,8.981,8.981,8.981,8.981,0.00,0
cc1[79096],-1,1,198.041,198.041,198.041,198.041,0.00,0
codium[63592],60517,15,1.683,0.089,0.112,0.160,4.07,0
as[78952],-1,1,6.336,6.336,6.336,6.336,0.00,0
as[78808],-1,1,21.207,21.207,21.207,21.207,0.00,0
cc[78664],-1,1,0.523,0.523,0.523,0.523,0.00,0
cc[78520],-1,1,0.685,0.685,0.685,0.685,0.00,0
cc[80960],-1,1,0.494,0.494,0.494,0.494,0.00,0
cc[78376],-1,1,0.454,0.454,0.454,0.454,0.00,0
systemd-logind[1000],1,4,9.923,1.657,2.480,3.349,17.38,0
sh[80816],-1,1,0.375,0.375,0.375,0.375,0.00,0
cc1[78232],-1,1,204.790,204.790,204.790,204.790,0.00,0
cc1[80672],-1,1,47.281,47.281,47.281,47.281,0.00,0
sh[78088],-1,2,0.547,0.023,0.273,0.524,91.37,0
cc1[80528],-1,1,157.106,157.106,157.106,157.106,0.00,0
cc1[77944],-1,1,181.015,181.015,181.015,181.015,0.00,0
sh[80384],-1,1,0.366,0.366,0.366,0.366,0.00,0
sh[77800],-1,1,0.372,0.372,0.372,0.372,0.00,0
mkdir[80240],-1,1,1.104,1.104,1.104,1.104,0.00,0
git[80096/80084],-1,1,1.342,1.342,1.342,1.342,0.00,0
ln[79952],-1,1,0.978,0.978,0.978,0.978,0.00,0
ln[79808],-1,1,1.148,1.148,1.148,1.148,0.00,0
rm[79664],-1,1,0.889,0.889,0.889,0.889,0.00,0
cc[79520],-1,1,0.315,0.315,0.315,0.315,0.00,0
sed[79376],-1,1,3.723,3.723,3.723,3.723,0.00,0
cc1[79232],-1,1,403.676,403.676,403.676,403.676,0.00,0
as[79088],-1,1,19.544,19.544,19.544,19.544,0.00,0
cc[78944],-1,1,0.477,0.477,0.477,0.477,0.00,0
cc[78800],-1,1,0.655,0.655,0.655,0.655,0.00,0
sh[78656],-1,1,0.344,0.344,0.344,0.344,0.00,0
cc1[78512],-1,1,199.682,199.682,199.682,199.682,0.00,0
codium[60424],60333,1368,998.013,0.006,0.729,62.618,7.81,0
cc1[80952],-1,1,158.864,158.864,158.864,158.864,0.00,0
cc1[78368],-1,1,341.973,341.973,341.973,341.973,0.00,0
tr[80808],-1,1,1.237,1.237,1.237,1.237,0.00,0
cc1[78224],-1,1,265.965,265.965,265.965,265.965,0.00,0
as[80664],-1,1,9.457,9.457,9.457,9.457,0.00,0
sh[78080],-1,1,0.637,0.637,0.637,0.637,0.00,0
as[80520],-1,1,4.187,4.187,4.187,4.187,0.00,0
as[77936],-1,1,18.401,18.401,18.401,18.401,0.00,0
sh[80376],-1,2,1.699,0.011,0.849,1.687,98.59,0
sh[77792],-1,1,0.353,0.353,0.353,0.353,0.00,0
mkdir[80232],-1,1,1.423,1.423,1.423,1.423,0.00,0
sed[80088],-1,2,2.419,0.025,1.209,2.393,97.87,0
rm[79944],-1,2,0.741,0.018,0.370,0.722,94.95,0
rm[79800],-1,1,0.931,0.931,0.931,0.931,0.00,0
sh[79656],-1,1,0.398,0.398,0.398,0.398,0.00,0
sh[79368],-1,1,0.431,0.431,0.431,0.431,0.00,0
cpuUsage.sh[79224],-1,1,0.472,0.472,0.472,0.472,0.00,0
as[79080],-1,1,58.962,58.962,58.962,58.962,0.00,0
cpuUsage.sh[78936],-1,2,0.665,0.020,0.332,0.644,93.87,0
mv[78792],-1,1,2.011,2.011,2.011,2.011,0.00,0
as[78648],-1,1,6.369,6.369,6.369,6.369,0.00,0
as[78504],-1,1,3.762,3.762,3.762,3.762,0.00,0
gmain[3712/3663],3663,9,0.659,0.060,0.073,0.088,4.03,0
as[80944],-1,1,4.840,4.840,4.840,4.840,0.00,0
cc1[78360],-1,1,460.907,460.907,460.907,460.907,0.00,0
sh[80800],-1,1,0.310,0.310,0.310,0.310,0.00,0
cc[78216],-1,1,0.467,0.467,0.467,0.467,0.00,0
cc1[80656],-1,1,76.425,76.425,76.425,76.425,0.00,0
cc1[78072],-1,1,11.385,11.385,11.385,11.385,0.00,0
cc[80512],-1,1,0.691,0.691,0.691,0.691,0.00,0
as[77928],-1,1,7.516,7.516,7.516,7.516,0.00,0
sh[80368],-1,2,0.370,0.007,0.185,0.362,95.69,0
as[77784],-1,1,2.077,2.077,2.077,2.077,0.00,0
mkdir[80224],-1,1,1.805,1.805,1.805,1.805,0.00,0
sed[80080],-1,1,0.304,0.304,0.304,0.304,0.00,0
ln[79936],-1,1,1.107,1.107,1.107,1.107,0.00,0
sh[79792],-1,1,0.310,0.310,0.310,0.310,0.00,0
rm[79648],-1,1,1.023,1.023,1.023,1.023,0.00,0
ld[79504],-1,1,21.798,21.798,21.798,21.798,0.00,0
git[79360],-1,1,3.646,3.646,3.646,3.646,0.00,0
cpuUsage.sh[79216],-1,1,0.633,0.633,0.633,0.633,0.00,0
cc[79072],-1,1,0.607,0.607,0.607,0.607,0.00,0
cpuUsage.sh[78928],-1,1,1.201,1.201,1.201,1.201,0.00,0
sh[78784],-1,1,0.287,0.287,0.287,0.287,0.00,0
as[78640],-1,1,3.361,3.361,3.361,3.361,0.00,0
as[78496],-1,1,7.738,7.738,7.738,7.738,0.00,0
as[80936],-1,1,7.417,7.417,7.417,7.417,0.00,0
cc[78352],-1,1,0.604,0.604,0.604,0.604,0.00,0
tr[80792],-1,1,0.774,0.774,0.774,0.774,0.00,0
cc[78208],-1,1,0.741,0.741,0.741,0.741,0.00,0
cc1[80648],-1,1,54.069,54.069,54.069,54.069,0.00,0
as[78064],-1,1,1.047,1.047,1.047,1.047,0.00,0
cc1[80504],-1,1,92.559,92.559,92.559,92.559,0.00,0
cc[77920],-1,1,0.585,0.585,0.585,0.585,0.00,0
sssd_kcm[57248],1,26,3.091,0.010,0.118,0.366,20.79,0
ps[80360],-1,1,31.260,31.260,31.260,31.260,0.00,0
sh[77776],-1,1,0.289,0.289,0.289,0.289,0.00,0
mkdir[80216],-1,1,1.170,1.170,1.170,1.170,0.00,0
sh[80072],-1,1,0.357,0.357,0.357,0.357,0.00,0
ln[79928],-1,2,1.266,0.022,0.633,1.244,96.49,0
rm[79784],-1,2,0.880,0.014,0.440,0.866,96.74,0
rm[79640],-1,1,1.006,1.006,1.006,1.006,0.00,0
sh[79352],-1,1,0.447,0.447,0.447,0.447,0.00,0
cpuUsage.sh[79208],-1,2,0.714,0.024,0.357,0.689,93.09,0
as[79064],-1,1,5.653,5.653,5.653,5.653,0.00,0
sed[78920],-1,2,3.015,0.024,1.507,2.990,98.35,0
sed[78776],-1,1,6.368,6.368,6.368,6.368,0.00,0
cc1[78632],-1,1,77.709,77.709,77.709,77.709,0.00,0
codium[60544],60324,390,219.259,0.005,0.562,3.491,5.97,0
cc1[78488],-1,1,201.832,201.832,201.832,201.832,0.00,0
cc1[80928],-1,1,173.365,173.365,173.365,173.365,0.00,0
cc1[78344],-1,1,227.163,227.163,227.163,227.163,0.00,0
basename[80784],-1,1,1.241,1.241,1.241,1.241,0.00,0
as[78200],-1,1,6.931,6.931,6.931,6.931,0.00,0
as[80640],-1,1,1.210,1.210,1.210,1.210,0.00,0
cc[78056],-1,1,0.467,0.467,0.467,0.467,0.00,0
as[80496],-1,1,6.443,6.443,6.443,6.443,0.00,0
as[77912],-1,1,2.482,2.482,2.482,2.482,0.00,0
mkdir[80352],-1,1,0.333,0.333,0.333,0.333,0.00,0
sh[77768],-1,1,0.234,0.234,0.234,0.234,0.00,0
mkdir[80208],-1,1,1.135,1.135,1.135,1.135,0.00,0
sed[80064],-1,1,2.010,2.010,2.010,2.010,0.00,0
sudo[77480],62414,25,1.034,0.008,0.041,0.109,10.07,0
sh[79920],-1,1,0.344,0.344,0.344,0.344,0.00,0
sh[79776],-1,1,0.411,0.411,0.411,0.411,0.00,0
rm[79632],-1,1,0.898,0.898,0.898,0.898,0.00,0
cc[79344],-1,1,0.778,0.778,0.778,0.778,0.00,0
