Task,Runtime_ms,Count,Avg_delay_ms,Max_delay_ms,Max_delay_start,Max_delay_end
kworker/u50:6-b:76464,0.006 ms,1,avg:   5.324 ms,max:   5.324 ms,max start: 32159.429459 s,max end: 32159.434782 s
kworker/u49:10-:74065,12.126 ms,13,avg:   1.017 ms,max:   2.984 ms,max start: 32156.250483 s,max end: 32156.253467 s
kworker/u49:0-b:76422,0.335 ms,7,avg:   0.741 ms,max:   4.155 ms,max start: 32156.257457 s,max end: 32156.261612 s
kworker/0:2-eve:66128,3.340 ms,48,avg:   0.269 ms,max:   2.006 ms,max start: 32154.291451 s,max end: 32154.293457 s
ThreadPoolServi:(2),0.674 ms,12,avg:   0.237 ms,max:   2.007 ms,max start: 32159.432449 s,max end: 32159.434456 s
ksoftirqd/11:85,1.104 ms,29,avg:   0.183 ms,max:   1.939 ms,max start: 32159.528510 s,max end: 32159.530448 s
kworker/3:0-eve:70355,0.703 ms,65,avg:   0.149 ms,max:   1.004 ms,max start: 32159.564445 s,max end: 32159.565449 s
ibus-daemon:3663,0.181 ms,3,avg:   0.134 ms,max:   0.279 ms,max start: 32147.606052 s,max end: 32147.606331 s
perf:(2),606.762 ms,202,avg:   0.130 ms,max:   1.043 ms,max start: 32158.468125 s,max end: 32158.469168 s
ThreadPoolForeg:(11),847.324 ms,1261,avg:   0.130 ms,max:   3.718 ms,max start: 32147.737738 s,max end: 32147.741456 s
ksoftirqd/9:79,2.138 ms,48,avg:   0.127 ms,max:   1.963 ms,max start: 32154.841511 s,max end: 32154.843474 s
kswapd0:123,464.951 ms,101,avg:   0.099 ms,max:   2.863 ms,max start: 32156.553221 s,max end: 32156.556084 s
kcompactd0:100,49.583 ms,72,avg:   0.093 ms,max:   3.403 ms,max start: 32155.627800 s,max end: 32155.631203 s
ksoftirqd/6:37,0.914 ms,56,avg:   0.088 ms,max:   1.009 ms,max start: 32156.906827 s,max end: 32156.907836 s
ksoftirqd/7:73,0.659 ms,51,avg:   0.080 ms,max:   1.923 ms,max start: 32159.299523 s,max end: 32159.301446 s
ksoftirqd/0:15,1.230 ms,107,avg:   0.079 ms,max:   3.992 ms,max start: 32154.270453 s,max end: 32154.274445 s
DedicatedWorker:(3),21.238 ms,98,avg:   0.079 ms,max:   0.791 ms,max start: 32159.440695 s,max end: 32159.441487 s
kworker/u53:4-t:76220,0.017 ms,2,avg:   0.076 ms,max:   0.143 ms,max start: 32153.417572 s,max end: 32153.417714 s
kworker/2:0-eve:64672,0.921 ms,65,avg:   0.072 ms,max:   1.009 ms,max start: 32159.594448 s,max end: 32159.595457 s
kworker/10:1-ev:66699,1.567 ms,109,avg:   0.070 ms,max:   2.005 ms,max start: 32147.014453 s,max end: 32147.016458 s
kworker/u53:8-t:77174,0.017 ms,2,avg:   0.069 ms,max:   0.129 ms,max start: 32153.418032 s,max end: 32153.418161 s
gssproxy:1536,0.079 ms,1,avg:   0.063 ms,max:   0.063 ms,max start: 32153.895444 s,max end: 32153.895507 s
gnome-shel:cs0:3555,50.658 ms,503,avg:   0.058 ms,max:   2.565 ms,max start: 32159.419913 s,max end: 32159.422478 s
