comm,parent,sched-in,run-time,min-run,avg-run,max-run,stddev,migrations
codium[63592],60517,7,0.615,0.066,0.087,0.135,10.03,0
systemd-logind[1000],1,3,10.473,2.854,3.491,4.311,12.34,0
kworker/11:1-ev[75648],2,41,0.555,0.005,0.013,0.042,8.21,0
codium[60424],60333,1617,1125.689,0.004,0.696,50.616,7.99,0
gmain[3712/3663],3663,4,0.233,0.043,0.058,0.078,12.79,0
scx-adapt[81224/81146],81146,21,2.926,0.008,0.139,0.634,30.70,0
sssd_kcm[57248],1,11,1.100,0.012,0.100,0.337,37.64,0
codium[60544],60324,676,240.813,0.005,0.356,4.959,6.82,0
rs:main Q:Reg[1680/1623],1623,6,0.171,0.011,0.028,0.056,21.40,0
gssproxy[1536],1,1,0.084,0.084,0.084,0.084,0.00,0
irqbalance[960],1,1,0.982,0.982,0.982,0.982,0.00,0
kworker/u50:8-w[79480],2,2297,467.274,0.002,0.203,108.182,31.99,0
kworker/u50:6-b[76464],2,1,0.007,0.007,0.007,0.007,0.00,0
kworker/0:2-eve[66128],2,48,3.319,0.007,0.069,0.318,17.47,0
cat[81344],-1,1,1.273,1.273,1.273,1.273,0.00,0
JS Helper[3536/3513],3513,4,0.261,0.026,0.065,0.104,34.44,0
kworker/u53:10-[77176],2,2,0.020,0.010,0.010,0.010,3.13,0
cat[81336],-1,1,1.137,1.137,1.137,1.137,0.00,0
kworker/u49:12-[81192],2,4681,242.022,0.002,0.051,5.990,5.04,0
sleep[81328],-1,1,0.249,0.249,0.249,0.249,0.00,0
ThreadPoolForeg[60512/60424],60424,90,84.125,0.006,0.934,4.308,13.06,0
libuv-worker[60368/60324],60324,19,0.785,0.012,0.041,0.074,9.11,0
kworker/u48:3-g[70416],2,2265,44.622,0.002,0.019,2.361,6.21,0
kworker/2:0-eve[64672],2,65,0.947,0.007,0.014,0.029,4.49,0
postgres[38832],38825,2770,252.448,0.004,0.091,5.042,5.29,0
