comm,parent,sched-in,run-time,min-run,avg-run,max-run,stddev,migrations
postgres[38832,38825,2770,252.448,0.004,0.091,5.042,5.29,0
postgres[81296,-1,1,9.200,9.200,9.200,9.200,0.00,0
postgres[81288,-1,1,4.991,4.991,4.991,4.991,0.00,0
postgres[38825,1,16,11.056,0.058,0.691,8.856,78.99,0
postgres[81305,-1,1,8.938,8.938,8.938,8.938,0.00,0
postgres[81274,-1,1,2.626,2.626,2.626,2.626,0.00,0
postgres[38834,38825,4374,77.157,0.005,0.017,0.739,3.99,0
postgres[81306,-1,1,9.383,9.383,9.383,9.383,0.00,0
postgres[81298,-1,2,8.781,3.857,4.390,4.924,12.16,0
postgres[81290,-1,1,10.086,10.086,10.086,10.086,0.00,0
postgres[38835,38825,4,0.461,0.043,0.115,0.286,50.07,0
postgres[38827,38825,1,0.099,0.099,0.099,0.099,0.00,0
postgres[81299,-1,1,8.464,8.464,8.464,8.464,0.00,0
postgres[81291,-1,2,9.156,2.572,4.578,6.583,43.81,0
postgres[38828,38825,18,1.413,0.035,0.078,0.126,9.03,0
postgres[81300,-1,1,9.545,9.545,9.545,9.545,0.00,0
postgres[81348,-1,1,3.293,3.293,3.293,3.293,0.00,0
postgres[38829,38825,1,0.154,0.154,0.154,0.154,0.00,0
postgres[81293,-1,1,8.048,8.048,8.048,8.048,0.00,0
postgres[81302,-1,1,8.627,8.627,8.627,8.627,0.00,0
postgres[81294,-1,2,8.977,1.788,4.488,7.188,60.15,0
postgres[81286,-1,2,8.384,3.333,4.192,5.050,20.48,0
postgres[81303,-1,1,8.216,8.216,8.216,8.216,0.00,0
postgres[81287,-1,1,8.582,8.582,8.582,8.582,0.00,0
postgres[38831,38825,3126,764.099,0.002,0.244,96.863,18.23,0
