comm,parent,sched-in,run-time,min-run,avg-run,max-run,stddev,migrations
cpuUsage.sh[81824],-1,1,0.531,0.531,0.531,0.531,0.00,0
codium[63592],60517,28,2.355,0.062,0.084,0.115,2.99,0
(sd-close)[81680],-1,2,0.541,0.014,0.270,0.527,94.61,0
systemd-logind[1000],1,36,59.154,0.008,1.643,3.366,12.53,0
kworker/11:1-ev[75648],2,143,9.717,0.007,0.067,3.996,46.87,0
kthreadd[81960],2,5,0.107,0.007,0.021,0.045,32.21,0
cpuUsage.sh[81816],-1,1,0.559,0.559,0.559,0.559,0.00,0
(udev-worker)[81672],-1,1,0.850,0.850,0.850,0.850,0.00,0
codium[60424],60333,4101,1862.817,0.005,0.454,68.263,5.62,0
gmain[81664/81662],81662,2,0.072,0.008,0.036,0.063,76.11,0
kworker/u48:0-m[81520],2,9955,154.567,0.003,0.015,2.642,2.39,0
gmain[3712/3663],3663,15,0.852,0.047,0.056,0.074,2.93,0
JS Helper[81944/81935],-1,1,0.023,0.023,0.023,0.023,0.00,0
cat[81800],-1,1,0.709,0.709,0.709,0.709,0.00,0
sssd_kcm[57248],1,48,4.409,0.021,0.091,0.275,11.40,0
gjs[81936/81935],-1,1,0.228,0.228,0.228,0.228,0.00,0
cat[81792],-1,1,0.958,0.958,0.958,0.958,0.00,0
codium[60544],60324,1871,401.525,0.005,0.214,5.983,5.50,0
git[81928],-1,1,2.213,2.213,2.213,2.213,0.00,0
cat[81784],-1,1,1.380,1.380,1.380,1.380,0.00,0
rs:main Q:Reg[1680/1623],1623,75,1.334,0.005,0.017,0.095,12.70,0
gssproxy[1536],1,6,0.511,0.072,0.085,0.102,5.30,0
irqbalance[960],1,6,6.742,1.023,1.123,1.170,2.13,0
kworker/u50:8-b[79480],2,1859,230.062,0.003,0.123,4.650,7.16,0
cat[81920],-1,2,1.012,0.016,0.506,0.996,96.83,0
kworker/u50:6-b[76464],2,4,7.084,0.021,1.771,4.143,50.34,0
kworker/0:2-eve[66128],2,203,17.259,0.006,0.085,0.278,8.87,0
JS Helper[3536/3513],3513,48,3.876,0.006,0.080,0.653,25.12,0
kworker/u53:10-[77176],2,14,0.181,0.004,0.012,0.057,27.28,0
cat[81912],-1,2,0.989,0.015,0.494,0.974,96.86,0
Trash Worker Th[4248/4241],4241,2,0.815,0.370,0.407,0.445,9.23,0
kworker/u49:12-[81192],2,9,0.633,0.007,0.070,0.202,31.21,0
git[81760],-1,1,2.132,2.132,2.132,2.132,0.00,0
gopls[61088/60896],60896,22,63.259,0.008,2.875,10.080,27.72,0
ThreadPoolForeg[60512/60424],60424,90,58.431,0.008,0.649,4.394,10.79,0
libuv-worker[60368/60324],60324,100,3.834,0.006,0.038,0.416,14.76,0
kworker/u48:3-g[70416],2,3326,51.273,0.003,0.015,2.171,5.75,0
kworker/2:0-eve[64672],2,12,0.280,0.006,0.023,0.079,32.05,0
postgres[38832],38825,37,0.969,0.015,0.026,0.062,5.09,0
migration/7[72],2,23,0.248,0.006,0.010,0.021,9.11,0
cat[81896],-1,1,1.394,1.394,1.394,1.394,0.00,0
supertuxka:sh3,-1,1,0.056,0.056,0.056,0.056,0.00,0
gopls[61080/60896],60896,44,27.938,0.013,0.634,2.311,11.83,0
ThreadPoolForeg[60504/60424],60424,156,115.861,0.007,0.742,9.204,10.10,0
kworker/u50:16-[81032],2,383,144.554,0.003,0.377,19.404,17.28,0
CompositorTileW[60360/60324],60324,121,16.577,0.006,0.137,1.358,16.01,0
cat[81888],-1,1,0.930,0.930,0.930,0.930,0.00,0
JS Helper[81744/81732],-1,1,0.029,0.029,0.029,0.029,0.00,0
crond[1640],1,1,0.066,0.066,0.066,0.066,0.00,0
sleep[81880],-1,1,0.351,0.351,0.351,0.351,0.00,0
gdbus[81736/81732],-1,2,3.665,1.758,1.832,1.906,4.04,0
gopls[60920/60915],60915,1,1.248,1.248,1.248,1.248,0.00,0
libuv-worker[60632/60557],60557,31,0.617,0.008,0.019,0.039,10.13,0
abrt-dump-journ[1200],1,5,0.337,0.052,0.067,0.097,11.63,0
codium[60344/60324],60324,5,1.209,0.086,0.241,0.463,28.11,0
migration/10[48],2,33,0.452,0.007,0.013,0.023,7.12,0
cat[81872],-1,2,0.927,0.015,0.463,0.912,96.74,0
supert:traceq0[81728/81613],-1,1,0.031,0.031,0.031,0.031,0.00,0
stress[81584],81576,11295,54909.316,0.006,4.861,623.728,2.76,0
gdbus[4064/4027],4027,105,7.710,0.006,0.073,0.263,8.67,0
gdbus[3920/3912],3912,17,1.728,0.010,0.101,0.557,30.36,0
libuv-worker[60624/60539],60539,34,0.587,0.007,0.017,0.052,10.92,0
abrt-dump-journ[1192],1,5,0.386,0.056,0.077,0.089,7.30,0
ThreadPoolForeg[60336/60324],60324,22,1.286,0.024,0.058,0.342,26.35,0
cat[81864],-1,1,0.956,0.956,0.956,0.956,0.00,0
gvfs-fuse-sub[81720/81704],81714,6,0.206,0.008,0.034,0.101,43.08,0
localsearch-3[3912],3228,7,0.649,0.051,0.092,0.140,15.71,0
