time_ms,cpu_cores,cpu_psi_some_10,cpu_psi_some_60,cpu_psi_some_300,cpu_psi_full_10,cpu_psi_full_60,cpu_psi_full_300,io_psi_some_10,io_psi_some_60,io_psi_some_300,io_psi_full_10,io_psi_full_60,io_psi_full_300,mem_psi_some_10,mem_psi_some_60,mem_psi_some_300,mem_psi_full_10,mem_psi_full_60,mem_psi_full_300,load_avg_1,load_avg_5,load_avg_15,procs_running,procs_blocked,procs_disk_io
0,12,13.88,3.64,3.11,0,0,0,0,0.02,0.06,0,0.02,0.05,0,0,0,0,0,0,2.81,2.39,2.58,22,0,0
1000,12,13.88,3.64,3.11,0,0,0,0,0.02,0.06,0,0.02,0.05,0,0,0,0,0,0,2.81,2.39,2.58,4,0,0
2000,12,14.99,4.18,3.23,0,0,0,0,0.02,0.06,0,0.01,0.05,0,0,0,0,0,0,2.81,2.39,2.58,33,0,0
3000,12,14.99,4.18,3.23,0,0,0,0,0.02,0.06,0,0.01,0.05,0,0,0,0,0,0,3.78,2.6,2.65,29,0,0
4000,12,16.26,4.76,3.36,0,0,0,0,0.01,0.06,0,0.01,0.05,0,0,0,0,0,0,3.78,2.6,2.65,15,0,0
5000,12,16.26,4.76,3.36,0,0,0,0,0.01,0.06,0,0.01,0.05,0,0,0,0,0,0,3.78,2.6,2.65,4,0,0
6000,12,17.66,5.39,3.5,0,0,0,0,0.01,0.06,0,0.01,0.05,0,0,0,0,0,0,3.78,2.6,2.65,33,0,0
7000,12,17.66,5.39,3.5,0,0,0,0,0.01,0.06,0,0.01,0.05,0,0,0,0,0,0,3.78,2.6,2.65,3,0,0
8000,12,17.54,5.77,3.59,0,0,0,0,0.01,0.06,0,0.01,0.05,0,0,0,0,0,0,4.76,2.83,2.72,2,0,0
9000,12,17.54,5.77,3.59,0,0,0,0,0.01,0.06,0,0.01,0.05,0,0,0,0,0,0,4.76,2.83,2.72,2,0,0
10000,12,17.08,6.07,3.67,0,0,0,0,0.01,0.06,0,0.01,0.05,0,0,0,0,0,0,4.76,2.83,2.72,30,0,0
11000,12,17.08,6.07,3.67,0,0,0,0,0.01,0.06,0,0.01,0.05,0,0,0,0,0,0,4.76,2.83,2.72,31,0,0
12000,12,16.7,6.36,3.75,0,0,0,0,0.01,0.06,0,0.01,0.05,0,0,0,0,0,0,6.3,3.18,2.84,4,0,0
13000,12,16.7,6.36,3.75,0,0,0,0,0.01,0.06,0,0.01,0.05,0,0,0,0,0,0,6.3,3.18,2.84,10,0,0
14000,12,18.02,6.94,3.88,0,0,0,0,0.01,0.06,0,0.01,0.05,0,0,0,0,0,0,6.3,3.18,2.84,34,0,0
15000,12,19.29,7.53,4.03,0,0,0,0,0.01,0.06,0,0.01,0.05,0,0,0,0,0,0,6.3,3.18,2.84,2,0,0
16000,12,19.29,7.53,4.03,0,0,0,0,0.01,0.06,0,0.01,0.05,0,0,0,0,0,0,6.3,3.18,2.84,17,0,0
17000,12,20.14,8.07,4.16,0,0,0,0,0.01,0.06,0,0.01,0.05,0,0,0,0,0,0,6.52,3.27,2.87,23,0,0
18000,12,20.14,8.07,4.16,0,0,0,0,0.01,0.06,0,0.01,0.05,0,0,0,0,0,0,6.52,3.27,2.87,10,0,0
19000,12,20.66,8.56,4.29,0,0,0,0,0.01,0.06,0,0.01,0.05,0,0,0,0,0,0,6.52,3.27,2.87,2,0,0
20000,12,20.66,8.56,4.29,0,0,0,0,0.01,0.06,0,0.01,0.05,0,0,0,0,0,0,6.52,3.27,2.87,19,0,0
21000,12,21.08,9.03,4.42,0,0,0,0,0.01,0.06,0,0.01,0.05,0,0,0,0,0,0,6.52,3.27,2.87,32,0,0
22000,12,21.08,9.03,4.42,0,0,0,0,0.01,0.06,0,0.01,0.05,0,0,0,0,0,0,6.32,3.29,2.88,9,0,0
23000,12,20.88,9.39,4.53,0,0,0,0,0.01,0.06,0,0.01,0.05,0,0,0,0,0,0,6.32,3.29,2.88,20,0,0
24000,12,20.88,9.39,4.53,0,0,0,0,0.01,0.06,0,0.01,0.05,0,0,0,0,0,0,6.32,3.29,2.88,30,0,0
25000,12,20.9,9.77,4.64,0,0,0,0,0.01,0.06,0,0.01,0.05,0,0,0,0,0,0,6.32,3.29,2.88,15,0,0
26000,12,20.9,9.77,4.64,0,0,0,0,0.01,0.06,0,0.01,0.05,0,0,0,0,0,0,6.32,3.29,2.88,3,0,0
27000,12,21.28,10.2,4.77,0,0,0,0,0.01,0.06,0,0.01,0.05,0,0,0,0,0,0,7.25,3.53,2.96,5,0,0
28000,12,21.28,10.2,4.77,0,0,0,0,0.01,0.06,0,0.01,0.05,0,0,0,0,0,0,7.25,3.53,2.96,25,0,0
29000,12,21.23,10.56,4.88,0,0,0,0,0.01,0.06,0,0.01,0.04,0,0,0,0,0,0,7.25,3.53,2.96,2,0,0
30000,12,21.23,10.56,4.88,0,0,0,0,0.01,0.06,0,0.01,0.04,0,0,0,0,0,0,7.25,3.53,2.96,3,0,0
31000,12,20.64,10.8,4.97,0,0,0,0,0,0.06,0,0,0.04,0,0,0,0,0,0,7.25,3.53,2.96,2,0,0
32000,12,20.64,10.8,4.97,0,0,0,0,0,0.06,0,0,0.04,0,0,0,0,0,0,7.87,3.72,3.02,31,0,0
33000,12,20.16,11.04,5.06,0,0,0,0,0,0.06,0,0,0.04,0,0,0,0,0,0,7.87,3.72,3.02,2,0,0
34000,12,20.16,11.04,5.06,0,0,0,0,0,0.06,0,0,0.04,0,0,0,0,0,0,7.87,3.72,3.02,28,0,0
35000,12,19.05,11.13,5.12,0,0,0,0,0,0.06,0,0,0.04,0,0,0,0,0,0,7.87,3.72,3.02,29,0,0
36000,12,19.05,11.13,5.12,0,0,0,0,0,0.06,0,0,0.04,0,0,0,0,0,0,7.87,3.72,3.02,2,0,0
37000,12,18.31,11.26,5.19,0,0,0,0,0,0.06,0,0,0.04,0,0,0,0,0,0,8.44,3.91,3.09,5,0,0
38000,12,18.31,11.26,5.19,0,0,0,0,0,0.06,0,0,0.04,0,0,0,0,0,0,8.44,3.91,3.09,21,0,0
39000,12,19.34,11.68,5.32,0,0,0,0.18,0.04,0.06,0,0,0.04,0,0,0,0,0,0,8.44,3.91,3.09,19,0,0
40000,12,19.34,11.68,5.32,0,0,0,0.18,0.04,0.06,0,0,0.04,0,0,0,0,0,0,8.44,3.91,3.09,17,0,0
41000,12,21.45,12.31,5.49,0,0,0,0.14,0.03,0.06,0,0,0.04,0,0,0,0,0,0,8.44,3.91,3.09,18,0,0
