time_ms,cpu_cores,cpu_psi_some_10,cpu_psi_some_60,cpu_psi_some_300,cpu_psi_full_10,cpu_psi_full_60,cpu_psi_full_300,io_psi_some_10,io_psi_some_60,io_psi_some_300,io_psi_full_10,io_psi_full_60,io_psi_full_300,mem_psi_some_10,mem_psi_some_60,mem_psi_some_300,mem_psi_full_10,mem_psi_full_60,mem_psi_full_300,load_avg_1,load_avg_5,load_avg_15,procs_running,procs_blocked,procs_disk_io
0,12,0.85,6.46,9.14,0,0,0,0,0.04,0.04,0,0.01,0,0,0.06,0.06,0,0.06,0.06,3.8,4.53,3.02,6,0,0
1000,12,0.88,6.28,9.08,0,0,0,0,0.04,0.04,0,0.01,0,0,0.06,0.06,0,0.06,0.06,3.8,4.53,3.02,7,0,0
2000,12,0.88,6.28,9.08,0,0,0,0,0.04,0.04,0,0.01,0,0,0.06,0.06,0,0.06,0.06,3.89,4.54,3.03,6,1,0
3000,12,1.08,6.14,9.03,0,0,0,2.35,0.46,0.13,1.81,0.33,0.06,0,0.06,0.06,0,0.06,0.06,3.89,4.54,3.03,5,1,0
4000,12,1.08,6.14,9.03,0,0,0,2.35,0.46,0.13,1.81,0.33,0.06,0,0.06,0.06,0,0.06,0.06,3.89,4.54,3.03,5,0,0
5000,12,1.25,6.01,8.98,0,0,0,2.47,0.55,0.15,2.02,0.42,0.08,0,0.06,0.06,0,0.06,0.06,3.89,4.54,3.03,7,0,0
6000,12,1.25,6.01,8.98,0,0,0,2.47,0.55,0.15,2.02,0.42,0.08,0,0.06,0.06,0,0.06,0.06,3.89,4.54,3.03,5,0,0
7000,12,1.38,5.88,8.94,0,0,0,2.02,0.53,0.15,1.65,0.41,0.08,0,0.06,0.06,0,0.06,0.06,3.98,4.55,3.04,5,0,0
8000,12,1.38,5.88,8.94,0,0,0,2.02,0.53,0.15,1.65,0.41,0.08,0,0.06,0.06,0,0.06,0.06,3.98,4.55,3.04,5,0,0
9000,12,1.31,5.72,8.88,0,0,0,1.65,0.51,0.15,1.35,0.39,0.08,0,0.05,0.06,0,0.05,0.06,3.98,4.55,3.04,5,0,0
10000,12,1.31,5.72,8.88,0,0,0,1.65,0.51,0.15,1.35,0.39,0.08,0,0.05,0.06,0,0.05,0.06,3.98,4.55,3.04,5,0,0
11000,12,1.25,5.56,8.83,0,0,0,1.35,0.49,0.14,1.11,0.38,0.08,0,0.05,0.06,0,0.05,0.06,3.98,4.55,3.04,5,0,0
12000,12,1.25,5.56,8.83,0,0,0,1.35,0.49,0.14,1.11,0.38,0.08,0,0.05,0.06,0,0.05,0.06,3.98,4.54,3.04,5,0,0
13000,12,1.21,5.41,8.77,0,0,0,1.11,0.48,0.14,0.91,0.37,0.08,0,0.05,0.06,0,0.05,0.06,3.98,4.54,3.04,7,0,0
14000,12,1.21,5.41,8.77,0,0,0,1.11,0.48,0.14,0.91,0.37,0.08,0,0.05,0.06,0,0.05,0.06,3.98,4.54,3.04,5,0,0
15000,12,1.35,5.3,8.73,0,0,0,0.9,0.46,0.14,0.74,0.35,0.08,0,0.05,0.06,0,0.05,0.06,3.98,4.54,3.04,6,0,0
16000,12,1.35,5.3,8.73,0,0,0,0.9,0.46,0.14,0.74,0.35,0.08,0,0.05,0.06,0,0.05,0.06,3.98,4.54,3.04,6,0,0
17000,12,1.29,5.16,8.67,0,0,0,0.74,0.45,0.14,0.61,0.34,0.08,0,0.04,0.06,0,0.04,0.06,3.99,4.53,3.05,6,0,0
18000,12,1.29,5.16,8.67,0,0,0,0.74,0.45,0.14,0.61,0.34,0.08,0,0.04,0.06,0,0.04,0.06,3.99,4.53,3.05,7,0,0
19000,12,1.23,5.02,8.62,0,0,0,0.6,0.43,0.14,0.49,0.33,0.08,0,0.04,0.06,0,0.04,0.06,3.99,4.53,3.05,9,0,0
20000,12,1.23,5.02,8.62,0,0,0,0.6,0.43,0.14,0.49,0.33,0.08,0,0.04,0.06,0,0.04,0.06,3.99,4.53,3.05,6,0,0
21000,12,1.37,4.92,8.58,0,0,0,0.68,0.45,0.14,0.59,0.35,0.08,0,0.04,0.06,0,0.04,0.06,3.99,4.53,3.05,6,0,0
22000,12,1.37,4.92,8.58,0,0,0,0.68,0.45,0.14,0.59,0.35,0.08,0,0.04,0.06,0,0.04,0.06,3.99,4.52,3.05,10,0,0
23000,12,1.48,4.83,8.53,0,0,0,0.55,0.43,0.14,0.48,0.34,0.08,0,0.04,0.06,0,0.04,0.06,3.99,4.52,3.05,5,0,0
24000,12,1.48,4.83,8.53,0,0,0,0.55,0.43,0.14,0.48,0.34,0.08,0,0.04,0.06,0,0.04,0.06,3.99,4.52,3.05,5,0,0
25000,12,1.39,4.7,8.48,0,0,0,0.45,0.42,0.14,0.39,0.33,0.08,0,0.04,0.06,0,0.04,0.06,3.99,4.52,3.05,6,0,0
26000,12,1.39,4.7,8.48,0,0,0,0.45,0.42,0.14,0.39,0.33,0.08,0,0.04,0.06,0,0.04,0.06,3.99,4.52,3.05,6,0,0
27000,12,1.32,4.58,8.43,0,0,0,0.37,0.4,0.14,0.32,0.32,0.08,0,0.04,0.06,0,0.04,0.06,3.99,4.51,3.06,6,0,0
28000,12,1.32,4.58,8.43,0,0,0,0.37,0.4,0.14,0.32,0.32,0.08,0,0.04,0.06,0,0.04,0.06,3.99,4.51,3.06,7,0,0
29000,12,1.44,4.5,8.38,0,0,0,0.3,0.39,0.14,0.26,0.31,0.08,0,0.03,0.06,0,0.03,0.06,3.99,4.51,3.06,5,0,0
30000,12,1.44,4.5,8.38,0,0,0,0.3,0.39,0.14,0.26,0.31,0.08,0,0.03,0.06,0,0.03,0.06,3.99,4.51,3.06,7,0,0
31000,12,1.36,4.38,8.33,0,0,0,0.24,0.38,0.14,0.21,0.3,0.08,0,0.03,0.05,0,0.03,0.05,3.99,4.51,3.06,5,0,0
32000,12,1.36,4.38,8.33,0,0,0,0.24,0.38,0.14,0.21,0.3,0.08,0,0.03,0.05,0,0.03,0.05,3.99,4.5,3.06,6,0,0
33000,12,1.3,4.27,8.28,0,0,0,0.2,0.37,0.14,0.17,0.29,0.08,0,0.03,0.05,0,0.03,0.05,3.99,4.5,3.06,8,0,0
34000,12,1.3,4.27,8.28,0,0,0,0.2,0.37,0.14,0.17,0.29,0.08,0,0.03,0.05,0,0.03,0.05,3.99,4.5,3.06,5,0,0
35000,12,1.42,4.2,8.24,0,0,0,0.16,0.35,0.14,0.14,0.28,0.08,0,0.03,0.05,0,0.03,0.05,3.99,4.5,3.06,6,0,0
36000,12,1.42,4.2,8.24,0,0,0,0.16,0.35,0.14,0.14,0.28,0.08,0,0.03,0.05,0,0.03,0.05,3.99,4.5,3.06,6,0,0
37000,12,1.35,4.09,8.19,0,0,0,0.13,0.34,0.13,0.11,0.27,0.08,0,0.03,0.05,0,0.03,0.05,3.99,4.49,3.07,7,0,0
38000,12,1.35,4.09,8.19,0,0,0,0.13,0.34,0.13,0.11,0.27,0.08,0,0.03,0.05,0,0.03,0.05,3.99,4.49,3.07,6,0,0
39000,12,1.46,4.02,8.15,0,0,0,0.11,0.33,0.13,0.09,0.26,0.07,0,0.03,0.05,0,0.03,0.05,3.99,4.49,3.07,9,0,0
40000,12,1.46,4.02,8.15,0,0,0,0.11,0.33,0.13,0.09,0.26,0.07,0,0.03,0.05,0,0.03,0.05,3.99,4.49,3.07,5,0,0
41000,12,1.56,3.95,8.1,0,0,0,0.09,0.32,0.13,0.07,0.25,0.07,0,0.03,0.05,0,0.03,0.05,3.99,4.49,3.07,6,0,0
42000,12,1.56,3.95,8.1,0,0,0,0.09,0.32,0.13,0.07,0.25,0.07,0,0.03,0.05,0,0.03,0.05,4.15,4.52,3.09,12,0,0
43000,12,1.64,3.89,8.06,0,0,0,0.07,0.31,0.13,0.06,0.24,0.07,0,0.02,0.05,0,0.02,0.05,4.15,4.52,3.09,5,0,0
44000,12,1.64,3.89,8.06,0,0,0,0.07,0.31,0.13,0.06,0.24,0.07,0,0.02,0.05,0,0.02,0.05,4.15,4.52,3.09,8,1,0
45000,12,2.07,3.89,8.03,0,0,0,0.24,0.33,0.14,0.23,0.27,0.08,0,0.02,0.05,0,0.02,0.05,4.15,4.52,3.09,5,0,0
46000,12,2.07,3.89,8.03,0,0,0,0.24,0.33,0.14,0.23,0.27,0.08,0,0.02,0.05,0,0.02,0.05,4.15,4.52,3.09,6,0,0
47000,12,2.23,3.86,8,0,0,0,0.19,0.32,0.14,0.19,0.26,0.08,0,0.02,0.05,0,0.02,0.05,4.14,4.51,3.09,8,0,0
48000,12,2.23,3.86,8,0,0,0,0.19,0.32,0.14,0.19,0.26,0.08,0,0.02,0.05,0,0.02,0.05,4.14,4.51,3.09,6,0,0
49000,12,2.19,3.8,7.96,0,0,0,0.16,0.31,0.14,0.15,0.25,0.08,0,0.02,0.05,0,0.02,0.05,4.14,4.51,3.09,5,0,0
50000,12,2.19,3.8,7.96,0,0,0,0.16,0.31,0.14,0.15,0.25,0.08,0,0.02,0.05,0,0.02,0.05,4.14,4.51,3.09,7,0,0
51000,12,2.16,3.74,7.92,0,0,0,0.13,0.3,0.13,0.12,0.24,0.08,0,0.02,0.05,0,0.02,0.05,4.14,4.51,3.09,5,0,0
52000,12,2.16,3.74,7.92,0,0,0,0.13,0.3,0.13,0.12,0.24,0.08,0,0.02,0.05,0,0.02,0.05,4.45,4.57,3.12,7,0,0
53000,12,2.13,3.69,7.88,0,0,0,0.1,0.29,0.13,0.1,0.23,0.08,0,0.02,0.05,0,0.02,0.05,4.45,4.57,3.12,6,0,0
54000,12,2.13,3.69,7.88,0,0,0,0.1,0.29,0.13,0.1,0.23,0.08,0,0.02,0.05,0,0.02,0.05,4.45,4.57,3.12,6,0,0
55000,12,2.28,3.66,7.84,0,0,0,0.08,0.28,0.13,0.08,0.22,0.07,0,0.02,0.05,0,0.02,0.05,4.45,4.57,3.12,5,0,0
56000,12,2.28,3.66,7.84,0,0,0,0.08,0.28,0.13,0.08,0.22,0.07,0,0.02,0.05,0,0.02,0.05,4.45,4.57,3.12,8,0,0
57000,12,2.05,3.58,7.79,0,0,0,0.07,0.27,0.13,0.06,0.22,0.07,0,0.02,0.05,0,0.02,0.05,4.41,4.56,3.12,5,0,0
58000,12,2.05,3.58,7.79,0,0,0,0.07,0.27,0.13,0.06,0.22,0.07,0,0.02,0.05,0,0.02,0.05,4.41,4.56,3.12,7,0,0
59000,12,2.04,3.52,7.75,0,0,0,0.05,0.26,0.13,0.05,0.21,0.07,0,0.02,0.05,0,0.02,0.05,4.41,4.56,3.12,6,0,0
60000,12,2.04,3.52,7.75,0,0,0,0.05,0.26,0.13,0.05,0.21,0.07,0,0.02,0.05,0,0.02,0.05,4.41,4.56,3.12,7,0,0
61000,12,2.03,3.47,7.72,0,0,0,0.04,0.25,0.13,0.04,0.2,0.07,0,0.02,0.05,0,0.02,0.05,4.41,4.56,3.12,5,0,0
62000,12,2.03,3.47,7.72,0,0,0,0.04,0.25,0.13,0.04,0.2,0.07,0,0.02,0.05,0,0.02,0.05,4.38,4.55,3.13,5,0,0
63000,12,2.02,3.42,7.68,0,0,0,0.03,0.24,0.13,0.03,0.19,0.07,0,0.01,0.05,0,0.01,0.05,4.38,4.55,3.13,5,0,0
64000,12,2.02,3.42,7.68,0,0,0,0.03,0.24,0.13,0.03,0.19,0.07,0,0.01,0.05,0,0.01,0.05,4.38,4.55,3.13,5,0,0
65000,12,2.02,3.38,7.64,0,0,0,0.03,0.23,0.13,0.03,0.19,0.07,0,0.01,0.05,0,0.01,0.05,4.38,4.55,3.13,8,0,0
66000,12,2.02,3.38,7.64,0,0,0,0.03,0.23,0.13,0.03,0.19,0.07,0,0.01,0.05,0,0.01,0.05,4.38,4.55,3.13,6,0,0
67000,12,2.01,3.33,7.6,0,0,0,0.02,0.23,0.13,0.02,0.18,0.07,0,0.01,0.05,0,0.01,0.05,4.35,4.54,3.13,5,0,0
68000,12,2.01,3.33,7.6,0,0,0,0.02,0.23,0.13,0.02,0.18,0.07,0,0.01,0.05,0,0.01,0.05,4.35,4.54,3.13,6,0,0
69000,12,1.83,3.26,7.55,0,0,0,0.02,0.22,0.13,0.02,0.17,0.07,0,0.01,0.05,0,0.01,0.05,4.35,4.54,3.13,8,0,0
70000,12,1.83,3.26,7.55,0,0,0,0.02,0.22,0.13,0.02,0.17,0.07,0,0.01,0.05,0,0.01,0.05,4.35,4.54,3.13,6,0,0
