time_ms,cpu_cores,cpu_psi_some_10,cpu_psi_some_60,cpu_psi_some_300,cpu_psi_full_10,cpu_psi_full_60,cpu_psi_full_300,io_psi_some_10,io_psi_some_60,io_psi_some_300,io_psi_full_10,io_psi_full_60,io_psi_full_300,mem_psi_some_10,mem_psi_some_60,mem_psi_some_300,mem_psi_full_10,mem_psi_full_60,mem_psi_full_300,load_avg_1,load_avg_5,load_avg_15,procs_running,procs_blocked,procs_disk_io
0,12,2.04,1.07,0.84,0,0,0,0.02,0.02,0.04,0.02,0.02,0.02,0,0.07,0.02,0,0.07,0.02,4.23,2.94,1.97,10,0,0
1000,12,2.04,1.07,0.84,0,0,0,0.02,0.02,0.04,0.02,0.02,0.02,0,0.07,0.02,0,0.07,0.02,4.23,2.94,1.97,7,0,0
2000,12,2.21,1.13,0.85,0,0,0,0.02,0.02,0.04,0.02,0.02,0.02,0,0.06,0.02,0,0.06,0.02,4.23,2.94,1.97,7,0,0
3000,12,2.21,1.13,0.85,0,0,0,0.02,0.02,0.04,0.02,0.02,0.02,0,0.06,0.02,0,0.06,0.02,4.23,2.94,1.97,9,0,0
4000,12,2.17,1.16,0.86,0,0,0,0.01,0.02,0.04,0.01,0.02,0.02,0,0.06,0.02,0,0.06,0.02,4.23,2.94,1.97,8,0,0
5000,12,2.17,1.16,0.86,0,0,0,0.01,0.02,0.04,0.01,0.02,0.02,0,0.06,0.02,0,0.06,0.02,4.53,3.02,2.01,7,0,0
6000,12,2.14,1.19,0.87,0,0,0,0.01,0.02,0.04,0.01,0.02,0.02,0,0.06,0.02,0,0.06,0.02,4.53,3.02,2.01,7,0,0
7000,12,2.14,1.19,0.87,0,0,0,0.01,0.02,0.04,0.01,0.02,0.02,0,0.06,0.02,0,0.06,0.02,4.53,3.02,2.01,8,0,0
8000,12,2.11,1.22,0.87,0,0,0,0.01,0.02,0.04,0.01,0.01,0.02,0,0.06,0.02,0,0.06,0.02,4.53,3.02,2.01,7,1,0
9000,12,2.11,1.22,0.87,0,0,0,0.01,0.02,0.04,0.01,0.01,0.02,0,0.06,0.02,0,0.06,0.02,4.53,3.02,2.01,8,0,0
10000,12,2.09,1.24,0.88,0,0,0,0,0.02,0.04,0,0.01,0.01,0,0.05,0.02,0,0.05,0.02,4.73,3.09,2.03,7,0,0
11000,12,2.09,1.24,0.88,0,0,0,0,0.02,0.04,0,0.01,0.01,0,0.05,0.02,0,0.05,0.02,4.73,3.09,2.03,7,0,0
12000,12,2.25,1.3,0.9,0,0,0,0,0.02,0.04,0,0.01,0.01,0,0.05,0.02,0,0.05,0.02,4.73,3.09,2.03,7,0,0
13000,12,2.25,1.3,0.9,0,0,0,0,0.02,0.04,0,0.01,0.01,0,0.05,0.02,0,0.05,0.02,4.73,3.09,2.03,8,0,0
14000,12,2.39,1.36,0.91,0,0,0,0,0.02,0.03,0,0.01,0.01,0,0.05,0.01,0,0.05,0.01,4.73,3.09,2.03,12,0,0
15000,12,2.39,1.36,0.91,0,0,0,0,0.02,0.03,0,0.01,0.01,0,0.05,0.01,0,0.05,0.01,4.99,3.17,2.07,9,0,0
16000,12,2.32,1.38,0.92,0,0,0,0,0.02,0.03,0,0.01,0.01,0,0.05,0.01,0,0.05,0.01,4.99,3.17,2.07,8,0,0
17000,12,2.32,1.38,0.92,0,0,0,0,0.02,0.03,0,0.01,0.01,0,0.05,0.01,0,0.05,0.01,4.99,3.17,2.07,7,0,0
18000,12,2.26,1.4,0.93,0,0,0,0,0.02,0.03,0,0.01,0.01,0,0.05,0.01,0,0.05,0.01,4.99,3.17,2.07,7,0,0
19000,12,2.26,1.4,0.93,0,0,0,0,0.02,0.03,0,0.01,0.01,0,0.05,0.01,0,0.05,0.01,4.99,3.17,2.07,7,0,0
20000,12,2.21,1.42,0.93,0,0,0,0,0.01,0.03,0,0.01,0.01,0,0.04,0.01,0,0.04,0.01,5.15,3.23,2.09,8,0,0
21000,12,2.21,1.42,0.93,0,0,0,0,0.01,0.03,0,0.01,0.01,0,0.04,0.01,0,0.04,0.01,5.15,3.23,2.09,9,0,0
22000,12,2.17,1.44,0.94,0,0,0,0,0.01,0.03,0,0.01,0.01,0,0.04,0.01,0,0.04,0.01,5.15,3.23,2.09,7,0,0
23000,12,2.17,1.44,0.94,0,0,0,0,0.01,0.03,0,0.01,0.01,0,0.04,0.01,0,0.04,0.01,5.15,3.23,2.09,7,0,0
24000,12,2.14,1.45,0.95,0,0,0,0,0.01,0.03,0,0.01,0.01,0,0.04,0.01,0,0.04,0.01,5.15,3.23,2.09,7,0,0
25000,12,2.14,1.45,0.95,0,0,0,0,0.01,0.03,0,0.01,0.01,0,0.04,0.01,0,0.04,0.01,5.3,3.3,2.12,7,0,0
26000,12,2.29,1.51,0.96,0,0,0,0,0.01,0.03,0,0.01,0.01,0,0.04,0.01,0,0.04,0.01,5.3,3.3,2.12,8,0,0
27000,12,2.29,1.51,0.96,0,0,0,0,0.01,0.03,0,0.01,0.01,0,0.04,0.01,0,0.04,0.01,5.3,3.3,2.12,10,0,0
28000,12,2.24,1.52,0.97,0,0,0,0,0.01,0.03,0,0.01,0.01,0,0.04,0.01,0,0.04,0.01,5.3,3.3,2.12,7,0,0
29000,12,2.24,1.52,0.97,0,0,0,0,0.01,0.03,0,0.01,0.01,0,0.04,0.01,0,0.04,0.01,5.3,3.3,2.12,7,0,0
30000,12,2.38,1.57,0.98,0,0,0,0,0.01,0.03,0,0.01,0.01,0,0.04,0.01,0,0.04,0.01,5.52,3.37,2.15,7,0,0
31000,12,2.38,1.57,0.98,0,0,0,0,0.01,0.03,0,0.01,0.01,0,0.04,0.01,0,0.04,0.01,5.52,3.37,2.15,11,0,0
32000,12,2.49,1.62,1,0,0,0,0,0.01,0.03,0,0.01,0.01,0,0.03,0.01,0,0.03,0.01,5.52,3.37,2.15,8,0,0
33000,12,2.49,1.62,1,0,0,0,0,0.01,0.03,0,0.01,0.01,0,0.03,0.01,0,0.03,0.01,5.52,3.37,2.15,8,0,0
34000,12,2.4,1.63,1.01,0,0,0,0,0.01,0.03,0,0.01,0.01,0,0.03,0.01,0,0.03,0.01,5.52,3.37,2.15,7,0,0
35000,12,2.4,1.63,1.01,0,0,0,0,0.01,0.03,0,0.01,0.01,0,0.03,0.01,0,0.03,0.01,5.96,3.5,2.2,8,0,0
36000,12,2.33,1.64,1.01,0,0,0,0,0.01,0.03,0,0,0.01,0,0.03,0.01,0,0.03,0.01,5.96,3.5,2.2,8,0,0
37000,12,2.33,1.64,1.01,0,0,0,0,0.01,0.03,0,0,0.01,0,0.03,0.01,0,0.03,0.01,5.96,3.5,2.2,8,0,0
38000,12,2.45,1.69,1.03,0,0,0,0,0.01,0.03,0,0,0.01,0,0.03,0.01,0,0.03,0.01,5.96,3.5,2.2,8,0,0
39000,12,2.45,1.69,1.03,0,0,0,0,0.01,0.03,0,0,0.01,0,0.03,0.01,0,0.03,0.01,5.96,3.5,2.2,11,0,0
40000,12,2.37,1.7,1.03,0,0,0,0,0.01,0.03,0,0,0.01,0,0.03,0.01,0,0.03,0.01,6.12,3.58,2.23,8,0,0
41000,12,2.37,1.7,1.03,0,0,0,0,0.01,0.03,0,0,0.01,0,0.03,0.01,0,0.03,0.01,6.12,3.58,2.23,9,1,0
42000,12,2.3,1.71,1.04,0,0,0,0,0.01,0.03,0,0,0.01,0,0.03,0.01,0,0.03,0.01,6.12,3.58,2.23,10,0,0
43000,12,2.3,1.71,1.04,0,0,0,0,0.01,0.03,0,0,0.01,0,0.03,0.01,0,0.03,0.01,6.12,3.58,2.23,8,0,0
44000,12,2.24,1.72,1.05,0,0,0,0,0.01,0.03,0,0,0.01,0,0.03,0.01,0,0.03,0.01,6.12,3.58,2.23,7,0,0
45000,12,2.24,1.72,1.05,0,0,0,0,0.01,0.03,0,0,0.01,0,0.03,0.01,0,0.03,0.01,6.11,3.62,2.25,8,0,0
46000,12,2.2,1.73,1.05,0,0,0,0,0.01,0.03,0,0,0.01,0,0.02,0.01,0,0.02,0.01,6.11,3.62,2.25,8,0,0
47000,12,2.2,1.73,1.05,0,0,0,0,0.01,0.03,0,0,0.01,0,0.02,0.01,0,0.02,0.01,6.11,3.62,2.25,7,0,0
48000,12,2.16,1.73,1.06,0,0,0,0,0,0.03,0,0,0.01,0,0.02,0.01,0,0.02,0.01,6.11,3.62,2.25,8,0,0
49000,12,2.16,1.73,1.06,0,0,0,0,0,0.03,0,0,0.01,0,0.02,0.01,0,0.02,0.01,6.11,3.62,2.25,7,0,0
50000,12,2.31,1.78,1.07,0,0,0,0,0,0.03,0,0,0,0,0.02,0.01,0,0.02,0.01,6.1,3.66,2.27,10,0,0
51000,12,2.31,1.78,1.07,0,0,0,0,0,0.03,0,0,0,0,0.02,0.01,0,0.02,0.01,6.1,3.66,2.27,8,0,0
52000,12,2.07,1.75,1.07,0,0,0,0,0,0.03,0,0,0,0,0.02,0.01,0,0.02,0.01,6.1,3.66,2.27,9,0,0
53000,12,2.07,1.75,1.07,0,0,0,0,0,0.03,0,0,0,0,0.02,0.01,0,0.02,0.01,6.1,3.66,2.27,7,0,0
54000,12,2.06,1.76,1.08,0,0,0,0,0,0.02,0,0,0,0,0.02,0,0,0.02,0,6.1,3.66,2.27,8,0,0
55000,12,2.06,1.76,1.08,0,0,0,0,0,0.02,0,0,0,0,0.02,0,0,0.02,0,6.09,3.7,2.29,8,0,0
56000,12,2.05,1.77,1.09,0,0,0,0,0,0.02,0,0,0,0,0.02,0,0,0.02,0,6.09,3.7,2.29,7,0,0
57000,12,2.05,1.77,1.09,0,0,0,0,0,0.02,0,0,0,0,0.02,0,0,0.02,0,6.09,3.7,2.29,7,0,0
58000,12,2.04,1.77,1.09,0,0,0,0,0,0.02,0,0,0,0,0.02,0,0,0.02,0,6.09,3.7,2.29,7,0,0
59000,12,2.04,1.77,1.09,0,0,0,0,0,0.02,0,0,0,0,0.02,0,0,0.02,0,6.09,3.7,2.29,8,0,0
60000,12,2.03,1.78,1.1,0,0,0,0,0,0.02,0,0,0,0,0.02,0,0,0.02,0,6.08,3.73,2.31,7,0,0
61000,12,2.03,1.78,1.1,0,0,0,0,0,0.02,0,0,0,0,0.02,0,0,0.02,0,6.08,3.73,2.31,7,0,0
62000,12,2.02,1.79,1.1,0,0,0,0,0,0.02,0,0,0,0,0.02,0,0,0.02,0,6.08,3.73,2.31,8,0,0
63000,12,2.02,1.79,1.1,0,0,0,0,0,0.02,0,0,0,0,0.02,0,0,0.02,0,6.08,3.73,2.31,11,0,0
64000,12,2.02,1.8,1.11,0,0,0,0,0,0.02,0,0,0,0,0.02,0,0,0.02,0,6.08,3.73,2.31,7,0,0
