comm,parent,sched-in,run-time,min-run,avg-run,max-run,stddev,migrations
mv[347688],-1,1,0.831,0.831,0.831,0.831,0.00,0
cc1[347544],-1,1,29.161,29.161,29.161,29.161,0.00,0
cc1[347400],-1,1,334.326,334.326,334.326,334.326,0.00,0
cc[347256],-1,1,0.684,0.684,0.684,0.684,0.00,0
postgres[300744],300741,5,0.203,0.021,0.040,0.091,31.44,0
cc[347112],-1,1,0.674,0.674,0.674,0.674,0.00,0
cc[346968],-1,1,0.512,0.512,0.512,0.512,0.00,0
cat[346824],-1,1,0.986,0.986,0.986,0.986,0.00,0
ld[349264],-1,1,103.616,103.616,103.616,103.616,0.00,0
as[346680],-1,1,50.886,50.886,50.886,50.886,0.00,0
sh[349120],-1,1,0.327,0.327,0.327,0.327,0.00,0
cc1[346536],-1,1,26.956,26.956,26.956,26.956,0.00,0
pwd[348976],-1,1,0.914,0.914,0.914,0.914,0.00,0
cc1[346392],-1,1,604.437,604.437,604.437,604.437,0.00,0
cc1[348832],-1,1,118.088,118.088,118.088,118.088,0.00,0
cc[346248],-1,1,0.638,0.638,0.638,0.638,0.00,0
cat[348688],-1,1,1.707,1.707,1.707,1.707,0.00,0
as[346104],-1,1,5.171,5.171,5.171,5.171,0.00,0
collect2[348544],-1,1,0.335,0.335,0.335,0.335,0.00,0
as[345960],-1,1,2.001,2.001,2.001,2.001,0.00,0
echo[348400],-1,1,0.661,0.661,0.661,0.661,0.00,0
sh[348256],-1,1,0.396,0.396,0.396,0.396,0.00,0
ln[348112],-1,1,1.072,1.072,1.072,1.072,0.00,0
ln[347968],-1,1,1.178,1.178,1.178,1.178,0.00,0
rm[347824],-1,1,0.908,0.908,0.908,0.908,0.00,0
generate-script[347680],-1,1,0.507,0.507,0.507,0.507,0.00,0
cc[347536],-1,1,0.579,0.579,0.579,0.579,0.00,0
as[347392],-1,1,3.262,3.262,3.262,3.262,0.00,0
systemd-userwor[344808],654,2,0.173,0.078,0.086,0.095,10.18,0
as[347248],-1,1,10.457,10.457,10.457,10.457,0.00,0
cc[347104],-1,1,0.609,0.609,0.609,0.609,0.00,0
cc1[346960],-1,1,24.791,24.791,24.791,24.791,0.00,0
cat[346816],-1,1,1.612,1.612,1.612,1.612,0.00,0
as[349256],-1,1,31.520,31.520,31.520,31.520,0.00,0
as[346672],-1,1,38.310,38.310,38.310,38.310,0.00,0
