comm,parent,sched-in,run-time,min-run,avg-run,max-run,stddev,migrations
cc[347256],-1,1,0.684,0.684,0.684,0.684,0.00,0
cc[347112],-1,1,0.674,0.674,0.674,0.674,0.00,0
cc[346968],-1,1,0.512,0.512,0.512,0.512,0.00,0
ld[349264],-1,1,103.616,103.616,103.616,103.616,0.00,0
cc[346248],-1,1,0.638,0.638,0.638,0.638,0.00,0
ln[348112],-1,1,1.072,1.072,1.072,1.072,0.00,0
ln[347968],-1,1,1.178,1.178,1.178,1.178,0.00,0
cc[347536],-1,1,0.579,0.579,0.579,0.579,0.00,0
cc[347104],-1,1,0.609,0.609,0.609,0.609,0.00,0
cc[346528],-1,1,0.588,0.588,0.588,0.588,0.00,0
cc[346384],-1,1,1.388,1.388,1.388,1.388,0.00,0
cc[346240],-1,1,0.595,0.595,0.595,0.595,0.00,0
cc[347528],-1,1,1.108,1.108,1.108,1.108,0.00,0
cc[347384],-1,1,0.753,0.753,0.753,0.753,0.00,0
cc[346376],-1,1,1.007,1.007,1.007,1.007,0.00,0
cc[348672],-1,1,0.508,0.508,0.508,0.508,0.00,0
cc[348528],-1,1,0.311,0.311,0.311,0.311,0.00,0
ln[348240],-1,2,1.227,0.017,0.613,1.209,97.20,0
ln[348096],-1,1,0.946,0.946,0.946,0.946,0.00,0
ln[347952],-1,1,1.151,1.151,1.151,1.151,0.00,0
ln[347808],-1,1,0.790,0.790,0.790,0.790,0.00,0
cc[347376],-1,1,0.722,0.722,0.722,0.722,0.00,0
cc[347088],-1,1,0.680,0.680,0.680,0.680,0.00,0
cc[346944],-1,1,0.514,0.514,0.514,0.514,0.00,0
cc[346800],-1,1,0.996,0.996,0.996,0.996,0.00,0
ln[348088],-1,2,1.385,0.020,0.692,1.365,97.03,0
ln[347944],-1,1,1.102,1.102,1.102,1.102,0.00,0
cc[347080],-1,1,0.891,0.891,0.891,0.891,0.00,0
cc[349232],-1,1,0.515,0.515,0.515,0.515,0.00,0
cc[346504],-1,1,0.628,0.628,0.628,0.628,0.00,0
cc[346072],-1,1,0.687,0.687,0.687,0.687,0.00,0
ld[347792],-1,1,33.728,33.728,33.728,33.728,0.00,0
cc[347504],-1,1,1.641,1.641,1.641,1.641,0.00,0
cc[347360],-1,1,0.500,0.500,0.500,0.500,0.00,0
cc[348504],-1,1,0.577,0.577,0.577,0.577,0.00,0
ln[348216],-1,2,1.367,0.022,0.683,1.344,96.71,0
ln[348072],-1,1,1.086,1.086,1.086,1.086,0.00,0
ln[347928],-1,1,1.120,1.120,1.120,1.120,0.00,0
cc[346920],-1,1,0.438,0.438,0.438,0.438,0.00,0
cc[346344],-1,1,0.618,0.618,0.618,0.618,0.00,0
cc[348784],-1,1,0.400,0.400,0.400,0.400,0.00,0
ln[347920],-1,1,1.139,1.139,1.139,1.139,0.00,0
cc[346912],-1,1,0.614,0.614,0.614,0.614,0.00,0
cc[349208],-1,1,0.681,0.681,0.681,0.681,0.00,0
cc[346480],-1,1,0.624,0.624,0.624,0.624,0.00,0
cc[346336],-1,1,0.594,0.594,0.594,0.594,0.00,0
cc[348776],-1,1,0.453,0.453,0.453,0.453,0.00,0
cc[346192],-1,1,0.669,0.669,0.669,0.669,0.00,0
cc[347480],-1,1,0.768,0.768,0.768,0.768,0.00,0
cc[347336],-1,1,0.705,0.705,0.705,0.705,0.00,0
cc[347192],-1,1,0.643,0.643,0.643,0.643,0.00,0
cc[349200],-1,1,0.550,0.550,0.550,0.550,0.00,0
ln[348192],-1,1,1.068,1.068,1.068,1.068,0.00,0
ln[348048],-1,1,1.081,1.081,1.081,1.081,0.00,0
ln[347904],-1,1,1.137,1.137,1.137,1.137,0.00,0
cc[347472],-1,1,0.785,0.785,0.785,0.785,0.00,0
cc[346608],-1,1,0.630,0.630,0.630,0.630,0.00,0
ln[347896],-1,1,1.135,1.135,1.135,1.135,0.00,0
cc[349184],-1,1,0.493,0.493,0.493,0.493,0.00,0
cc[346600],-1,1,0.693,0.693,0.693,0.693,0.00,0
cc[346456],-1,1,0.537,0.537,0.537,0.537,0.00,0
cc[348896],-1,1,0.602,0.602,0.602,0.602,0.00,0
cc[347456],-1,1,1.083,1.083,1.083,1.083,0.00,0
cc[347168],-1,1,0.648,0.648,0.648,0.648,0.00,0
cc[349176],-1,1,0.672,0.672,0.672,0.672,0.00,0
cc[348888],-1,1,0.625,0.625,0.625,0.625,0.00,0
ln[348168],-1,1,0.816,0.816,0.816,0.816,0.00,0
ln[348024],-1,1,1.137,1.137,1.137,1.137,0.00,0
cc[347304],-1,1,0.588,0.588,0.588,0.588,0.00,0
cc[347016],-1,1,0.523,0.523,0.523,0.523,0.00,0
cc[349168],-1,1,0.437,0.437,0.437,0.437,0.00,0
cc[349024],-1,1,0.418,0.418,0.418,0.418,0.00,0
cc[348736],-1,1,0.528,0.528,0.528,0.528,0.00,0
ln[348016],-1,1,1.118,1.118,1.118,1.118,0.00,0
cc[346720],-1,1,0.576,0.576,0.576,0.576,0.00,0
cc[346288],-1,1,0.613,0.613,0.613,0.613,0.00,0
cc[347432],-1,1,0.839,0.839,0.839,0.839,0.00,0
cc[348864],-1,1,0.499,0.499,0.499,0.499,0.00,0
cc[346136],-1,1,0.613,0.613,0.613,0.613,0.00,0
ln[348144],-1,1,1.020,1.020,1.020,1.020,0.00,0
ln[348000],-1,1,1.028,1.028,1.028,1.028,0.00,0
cc[347280],-1,1,0.734,0.734,0.734,0.734,0.00,0
cc[346992],-1,1,0.550,0.550,0.550,0.550,0.00,0
cc[346848],-1,1,0.532,0.532,0.532,0.532,0.00,0
cc[346128],-1,1,0.565,0.565,0.565,0.565,0.00,0
ln[347992],-1,1,1.253,1.253,1.253,1.253,0.00,0
ln[347848],-1,1,1.037,1.037,1.037,1.037,0.00,0
cc[346984],-1,1,0.575,0.575,0.575,0.575,0.00,0
cc[346696],-1,1,0.822,0.822,0.822,0.822,0.00,0
cc[346408],-1,1,0.659,0.659,0.659,0.659,0.00,0
cc[346264],-1,1,0.895,0.895,0.895,0.895,0.00,0
cc[346120],-1,1,0.626,0.626,0.626,0.626,0.00,0
cc[347408],-1,1,0.708,0.708,0.708,0.708,0.00,0
cc[347264],-1,1,0.844,0.844,0.844,0.844,0.00,0
cc[346688],-1,1,0.566,0.566,0.566,0.566,0.00,0
cc[348840],-1,1,0.508,0.508,0.508,0.508,0.00,0
ln[348120],-1,1,1.058,1.058,1.058,1.058,0.00,0
ln[347832],-1,1,0.931,0.931,0.931,0.931,0.00,0
ln[348065],-1,1,1.213,1.213,1.213,1.213,0.00,0
cc[347777],-1,1,0.442,0.442,0.442,0.442,0.00,0
cc[347489],-1,1,0.824,0.824,0.824,0.824,0.00,0
cc[347345],-1,1,0.638,0.638,0.638,0.638,0.00,0
cc[347201],-1,1,0.648,0.648,0.648,0.648,0.00,0
cc[346913],-1,1,0.660,0.660,0.660,0.660,0.00,0
cc[346481],-1,1,0.710,0.710,0.710,0.710,0.00,0
cc[346905],-1,1,0.694,0.694,0.694,0.694,0.00,0
cc[349201],-1,1,0.586,0.586,0.586,0.586,0.00,0
cc[348913],-1,1,0.633,0.633,0.633,0.633,0.00,0
ln[348193],-1,1,1.019,1.019,1.019,1.019,0.00,0
ln[348049],-1,2,1.202,0.068,0.601,1.134,88.65,0
cc[347041],-1,1,0.588,0.588,0.588,0.588,0.00,0
cc[346753],-1,1,0.731,0.731,0.731,0.731,0.00,0
cc[346609],-1,1,0.396,0.396,0.396,0.396,0.00,0
cc[346465],-1,1,0.631,0.631,0.631,0.631,0.00,0
cc[348761],-1,1,0.527,0.527,0.527,0.527,0.00,0
cc[346177],-1,1,0.540,0.540,0.540,0.540,0.00,0
ln[348185],-1,1,1.172,1.172,1.172,1.172,0.00,0
ln[348041],-1,1,1.232,1.232,1.232,1.232,0.00,0
cc[347465],-1,1,0.841,0.841,0.841,0.841,0.00,0
cc[348897],-1,1,0.610,0.610,0.610,0.610,0.00,0
cc[347313],-1,1,0.510,0.510,0.510,0.510,0.00,0
ln[348025],-1,1,1.051,1.051,1.051,1.051,0.00,0
ln[347881],-1,1,1.131,1.131,1.131,1.131,0.00,0
cc[347593],-1,1,0.600,0.600,0.600,0.600,0.00,0
cc[346729],-1,1,0.393,0.393,0.393,0.393,0.00,0
cc[349169],-1,1,0.523,0.523,0.523,0.523,0.00,0
cc[346297],-1,1,0.717,0.717,0.717,0.717,0.00,0
cc[346153],-1,1,0.681,0.681,0.681,0.681,0.00,0
ln[348017],-1,1,1.111,1.111,1.111,1.111,0.00,0
ln[347873],-1,1,1.177,1.177,1.177,1.177,0.00,0
cc[347441],-1,1,0.819,0.819,0.819,0.819,0.00,0
cc[347297],-1,1,0.533,0.533,0.533,0.533,0.00,0
cc[347009],-1,1,0.828,0.828,0.828,0.828,0.00,0
cc[346433],-1,1,0.794,0.794,0.794,0.794,0.00,0
cc[346145],-1,1,0.846,0.846,0.846,0.846,0.00,0
cc[347577],-1,1,0.557,0.557,0.557,0.557,0.00,0
cc[347289],-1,1,0.840,0.840,0.840,0.840,0.00,0
cc[347001],-1,1,0.639,0.639,0.639,0.639,0.00,0
ln[348001],-1,1,1.007,1.007,1.007,1.007,0.00,0
ln[347857],-1,1,1.112,1.112,1.112,1.112,0.00,0
cc[347569],-1,1,0.555,0.555,0.555,0.555,0.00,0
cc[346705],-1,1,0.770,0.770,0.770,0.770,0.00,0
cc[346561],-1,1,0.667,0.667,0.667,0.667,0.00,0
cc[346273],-1,1,0.599,0.599,0.599,0.599,0.00,0
cc[348713],-1,1,0.614,0.614,0.614,0.614,0.00,0
ln[347993],-1,1,1.176,1.176,1.176,1.176,0.00,0
cc[347273],-1,1,0.546,0.546,0.546,0.546,0.00,0
cc[346553],-1,1,1.308,1.308,1.308,1.308,0.00,0
cc[348849],-1,1,0.588,0.588,0.588,0.588,0.00,0
cc[347553],-1,1,0.596,0.596,0.596,0.596,0.00,0
cc[348697],-1,1,0.611,0.611,0.611,0.611,0.00,0
ln[347833],-1,1,0.982,0.982,0.982,0.982,0.00,0
cc[347689],-1,1,0.610,0.610,0.610,0.610,0.00,0
cc[346105],-1,1,0.599,0.599,0.599,0.599,0.00,0
ln[347969],-1,1,1.119,1.119,1.119,1.119,0.00,0
cc[347393],-1,1,0.947,0.947,0.947,0.947,0.00,0
cc[347249],-1,1,0.528,0.528,0.528,0.528,0.00,0
cc[347097],-1,1,0.446,0.446,0.446,0.446,0.00,0
cc[346953],-1,1,0.577,0.577,0.577,0.577,0.00,0
cc[346809],-1,1,0.481,0.481,0.481,0.481,0.00,0
cc[348673],-1,1,0.550,0.550,0.550,0.550,0.00,0
cc[348529],-1,1,0.352,0.352,0.352,0.352,0.00,0
ln[348241],-1,1,1.038,1.038,1.038,1.038,0.00,0
ln[348097],-1,1,1.127,1.127,1.127,1.127,0.00,0
ln[347953],-1,1,1.083,1.083,1.083,1.083,0.00,0
ln[347809],-1,1,0.690,0.690,0.690,0.690,0.00,0
cc[347521],-1,1,0.615,0.615,0.615,0.615,0.00,0
cc[346657],-1,1,0.667,0.667,0.667,0.667,0.00,0
cc[346513],-1,1,0.673,0.673,0.673,0.673,0.00,0
cc[346369],-1,1,0.615,0.615,0.615,0.615,0.00,0
ln[347945],-1,1,1.223,1.223,1.223,1.223,0.00,0
ld[347801],-1,1,174.030,174.030,174.030,174.030,0.00,0
cc[347225],-1,1,0.639,0.639,0.639,0.639,0.00,0
cc[346649],-1,1,0.773,0.773,0.773,0.773,0.00,0
cc[346361],-1,1,0.648,0.648,0.648,0.648,0.00,0
cc[346073],-1,1,0.711,0.711,0.711,0.711,0.00,0
ld[347793],-1,1,259.102,259.102,259.102,259.102,0.00,0
cc[347217],-1,1,0.494,0.494,0.494,0.494,0.00,0
cc[347073],-1,1,0.654,0.654,0.654,0.654,0.00,0
cc[346929],-1,1,0.800,0.800,0.800,0.800,0.00,0
cc[346497],-1,1,0.697,0.697,0.697,0.697,0.00,0
cc[348937],-1,1,0.588,0.588,0.588,0.588,0.00,0
cc[348505],-1,1,0.532,0.532,0.532,0.532,0.00,0
ln[348217],-1,1,0.979,0.979,0.979,0.979,0.00,0
ln[347929],-1,1,0.756,0.756,0.756,0.756,0.00,0
cc[349217],-1,1,0.620,0.620,0.620,0.620,0.00,0
cc[346633],-1,1,0.815,0.815,0.815,0.815,0.00,0
cc[346489],-1,1,0.643,0.643,0.643,0.643,0.00,0
cc[348929],-1,1,0.444,0.444,0.444,0.444,0.00,0
cc[346201],-1,1,0.699,0.699,0.699,0.699,0.00,0
ln[348209],-1,1,1.230,1.230,1.230,1.230,0.00,0
cc[346714],-1,1,0.598,0.598,0.598,0.598,0.00,0
