Task,Runtime_ms,Count,Avg_delay_ms,Max_delay_ms,Max_delay_start,Max_delay_end
ksoftirqd/11:85,2.710 ms,57,avg:   4.772 ms,max: 230.343 ms,max start: 96339.687457 s,max end: 96339.917800 s
ksoftirqd/5:67,1.975 ms,56,avg:   3.800 ms,max: 177.596 ms,max start: 96377.274469 s,max end: 96377.452065 s
ksoftirqd/2:25,3.031 ms,82,avg:   3.248 ms,max: 241.472 ms,max start: 96339.350486 s,max end: 96339.591958 s
kworker/2:0-eve:340231,7.899 ms,173,avg:   1.595 ms,max: 212.515 ms,max start: 96339.379451 s,max end: 96339.591966 s
kworker/5:2-eve:314084,6.700 ms,159,avg:   1.418 ms,max: 177.582 ms,max start: 96377.274462 s,max end: 96377.452044 s
ksoftirqd/9:79,3.864 ms,54,avg:   1.406 ms,max:  32.998 ms,max start: 96377.196463 s,max end: 96377.229461 s
kworker/11:2-mm:307895,11.375 ms,157,avg:   1.093 ms,max:  98.358 ms,max start: 96339.819451 s,max end: 96339.917809 s
ksoftirqd/3:61,3.837 ms,55,avg:   0.972 ms,max:  17.065 ms,max start: 96383.278451 s,max end: 96383.295516 s
kworker/4:1-eve:303271,7.753 ms,201,avg:   0.852 ms,max: 112.018 ms,max start: 96377.012448 s,max end: 96377.124466 s
ksoftirqd/1:55,2.460 ms,67,avg:   0.766 ms,max:  19.875 ms,max start: 96357.782595 s,max end: 96357.802470 s
ksoftirqd/7:73,4.705 ms,63,avg:   0.625 ms,max:   5.991 ms,max start: 96378.985502 s,max end: 96378.991494 s
ksoftirqd/4:31,5.119 ms,88,avg:   0.573 ms,max:  17.983 ms,max start: 96357.443482 s,max end: 96357.461465 s
ksoftirqd/10:49,6.975 ms,98,avg:   0.513 ms,max:  10.054 ms,max start: 96346.841471 s,max end: 96346.851525 s
ksoftirqd/8:43,4.078 ms,85,avg:   0.495 ms,max:   6.993 ms,max start: 96357.932494 s,max end: 96357.939488 s
kworker/7:0-eve:339803,6.984 ms,178,avg:   0.448 ms,max:  10.284 ms,max start: 96347.116452 s,max end: 96347.126736 s
ibus-daemon:3702,4.105 ms,1,avg:   0.428 ms,max:   0.428 ms,max start: 96357.036841 s,max end: 96357.037268 s
cut:356335,1.519 ms,1,avg:   0.418 ms,max:   0.418 ms,max start: 96339.975051 s,max end: 96339.975468 s
kworker/0:1H-kb:236,2.594 ms,41,avg:   0.411 ms,max:   1.145 ms,max start: 96340.156332 s,max end: 96340.157477 s
ksoftirqd/6:37,3.633 ms,89,avg:   0.405 ms,max:   4.001 ms,max start: 96378.332465 s,max end: 96378.336466 s
ksoftirqd/0:15,4.947 ms,90,avg:   0.395 ms,max:   6.004 ms,max start: 96378.606455 s,max end: 96378.612459 s
kworker/3:0-mm_:341424,5.715 ms,131,avg:   0.364 ms,max:  12.054 ms,max start: 96383.283444 s,max end: 96383.295498 s
kworker/9:1-mm_:298832,5.521 ms,147,avg:   0.321 ms,max:   6.291 ms,max start: 96357.811455 s,max end: 96357.817746 s
kworker/1:0-mm_:306083,5.556 ms,129,avg:   0.319 ms,max:  17.507 ms,max start: 96359.543458 s,max end: 96359.560965 s
kworker/u50:5-b:342854,19.973 ms,40,avg:   0.305 ms,max:   1.237 ms,max start: 96378.346518 s,max end: 96378.347755 s
kworker/0:1-eve:305877,8.438 ms,208,avg:   0.293 ms,max:   5.025 ms,max start: 96357.555455 s,max end: 96357.560481 s
kworker/8:2-eve:333538,8.982 ms,207,avg:   0.293 ms,max:  13.761 ms,max start: 96347.635454 s,max end: 96347.649215 s
kworker/10:0-ev:338465,7.481 ms,168,avg:   0.292 ms,max:   5.175 ms,max start: 96357.811454 s,max end: 96357.816629 s
kworker/7:1H-kb:245,2.349 ms,43,avg:   0.286 ms,max:   2.737 ms,max start: 96358.054726 s,max end: 96358.057463 s
kworker/6:1H-kb:143,3.068 ms,44,avg:   0.275 ms,max:   0.999 ms,max start: 96341.651479 s,max end: 96341.652478 s
kworker/2:1H-kb:247,2.425 ms,41,avg:   0.258 ms,max:   1.264 ms,max start: 96379.289214 s,max end: 96379.290478 s
