comm,parent,sched-in,run-time,min-run,avg-run,max-run,stddev,migrations
cc[357736,-1,1,0.542,0.542,0.542,0.542,0.00,0
cc[357592,-1,1,0.584,0.584,0.584,0.584,0.00,0
cc[357448,-1,1,0.615,0.615,0.615,0.615,0.00,0
cc[357304,-1,1,0.575,0.575,0.575,0.575,0.00,0
ln[358160,-1,2,0.750,0.026,0.375,0.724,92.95,0
cc[357440,-1,2,0.938,0.026,0.469,0.912,94.43,0
cc[359448,-1,1,0.927,0.927,0.927,0.927,0.00,0
cc[356576,-1,1,0.628,0.628,0.628,0.628,0.00,0
cc[356432,-1,1,0.675,0.675,0.675,0.675,0.00,0
cc[357288,-1,1,0.637,0.637,0.637,0.637,0.00,0
cc[357000,-1,1,0.709,0.709,0.709,0.709,0.00,0
cc[359440,-1,2,0.730,0.014,0.365,0.715,95.94,0
cc[356712,-1,1,0.520,0.520,0.520,0.520,0.00,0
cc[359152,-1,1,0.533,0.533,0.533,0.533,0.00,0
cc[356424,-1,1,0.709,0.709,0.709,0.709,0.00,0
ln[358432,-1,1,0.460,0.460,0.460,0.460,0.00,0
ln[358288,-1,2,1.390,0.130,0.695,1.259,81.26,0
ln[358144,-1,2,1.148,0.017,0.574,1.131,97.04,0
cc[357712,-1,1,0.579,0.579,0.579,0.579,0.00,0
cc[357424,-1,1,0.556,0.556,0.556,0.556,0.00,0
cc[356992,-1,2,0.717,0.078,0.358,0.639,78.19,0
cc[356704,-1,1,0.545,0.545,0.545,0.545,0.00,0
ln[358280,-1,2,1.099,0.015,0.549,1.084,97.19,0
ln[358136,-1,1,1.113,1.113,1.113,1.113,0.00,0
cc[357560,-1,2,0.773,0.026,0.386,0.746,93.06,0
cc[359424,-1,1,0.689,0.689,0.689,0.689,0.00,0
cc[356408,-1,1,0.546,0.546,0.546,0.546,0.00,0
cc[357408,-1,1,0.552,0.552,0.552,0.552,0.00,0
cc[357120,-1,2,0.741,0.026,0.370,0.714,92.77,0
cc[356400,-1,1,0.637,0.637,0.637,0.637,0.00,0
ln[358408,-1,2,1.152,0.011,0.576,1.140,97.93,0
ln[358264,-1,2,1.035,0.011,0.517,1.023,97.71,0
ln[358120,-1,1,0.389,0.389,0.389,0.389,0.00,0
cc[357832,-1,1,0.928,0.928,0.928,0.928,0.00,0
cc[357544,-1,1,0.523,0.523,0.523,0.523,0.00,0
cc[357256,-1,1,0.474,0.474,0.474,0.474,0.00,0
cc[359408,-1,1,0.654,0.654,0.654,0.654,0.00,0
cc[356680,-1,1,0.490,0.490,0.490,0.490,0.00,0
ln[358400,-1,1,0.194,0.194,0.194,0.194,0.00,0
ln[358112,-1,2,1.213,0.055,0.606,1.158,90.90,0
cc[357248,-1,2,1.335,0.203,0.667,1.132,69.51,0
cc[358968,-1,1,0.527,0.527,0.527,0.527,0.00,0
cc[356384,-1,1,0.545,0.545,0.545,0.545,0.00,0
cc[356664,-1,2,0.766,0.020,0.383,0.745,94.70,0
cc[359104,-1,1,0.615,0.615,0.615,0.615,0.00,0
ln[358384,-1,1,0.262,0.262,0.262,0.262,0.00,0
ln[358240,-1,1,0.911,0.911,0.911,0.911,0.00,0
ln[358096,-1,2,1.079,0.020,0.539,1.058,96.11,0
cc[357808,-1,2,0.845,0.032,0.422,0.813,92.24,0
cc[357664,-1,1,0.502,0.502,0.502,0.502,0.00,0
cc[357376,-1,2,0.988,0.022,0.494,0.966,95.53,0
cc[357232,-1,1,0.805,0.805,0.805,0.805,0.00,0
ln[358376,-1,2,1.311,0.016,0.655,1.295,97.55,0
cc[357800,-1,1,0.645,0.645,0.645,0.645,0.00,0
cc[359088,-1,1,0.463,0.463,0.463,0.463,0.00,0
cc[356504,-1,1,0.517,0.517,0.517,0.517,0.00,0
cc[356360,-1,1,0.614,0.614,0.614,0.614,0.00,0
cc[356640,-1,2,1.316,0.028,0.658,1.287,95.64,0
cc[359080,-1,1,0.528,0.528,0.528,0.528,0.00,0
ln[358360,-1,1,0.944,0.944,0.944,0.944,0.00,0
ln[358216,-1,2,1.119,0.013,0.559,1.105,97.51,0
ln[358072,-1,1,0.956,0.956,0.956,0.956,0.00,0
cc[357640,-1,1,0.704,0.704,0.704,0.704,0.00,0
cc[357352,-1,1,0.632,0.632,0.632,0.632,0.00,0
ld[359504,-1,1,4.933,4.933,4.933,4.933,0.00,0
cc[356920,-1,1,0.638,0.638,0.638,0.638,0.00,0
cc[356776,-1,1,0.539,0.539,0.539,0.539,0.00,0
cc[356632,-1,1,0.642,0.642,0.642,0.642,0.00,0
ld[358784,-1,8,7.183,0.026,0.897,1.322,15.59,0
ln[358208,-1,1,0.372,0.372,0.372,0.372,0.00,0
cc[357200,-1,1,0.547,0.547,0.547,0.547,0.00,0
cc[356624,-1,2,0.891,0.022,0.445,0.868,94.86,0
cc[358920,-1,1,0.528,0.528,0.528,0.528,0.00,0
cc[357768,-1,1,0.561,0.561,0.561,0.561,0.00,0
cc[359488,-1,1,0.437,0.437,0.437,0.437,0.00,0
cc[356760,-1,1,0.856,0.856,0.856,0.856,0.00,0
cc[356616,-1,2,0.984,0.030,0.492,0.953,93.74,0
cc[359056,-1,1,0.663,0.663,0.663,0.663,0.00,0
cc[358768,-1,1,0.507,0.507,0.507,0.507,0.00,0
ln[358480,-1,1,1.069,1.069,1.069,1.069,0.00,0
ln[358336,-1,1,0.276,0.276,0.276,0.276,0.00,0
ln[358192,-1,2,1.064,0.018,0.532,1.046,96.58,0
ln[358048,-1,1,1.072,1.072,1.072,1.072,0.00,0
cc[357472,-1,1,0.570,0.570,0.570,0.570,0.00,0
cc[356896,-1,1,0.504,0.504,0.504,0.504,0.00,0
ln[358472,-1,2,1.148,0.155,0.574,0.992,72.87,0
ln[358328,-1,1,1.126,1.126,1.126,1.126,0.00,0
ln[358184,-1,2,1.152,0.015,0.576,1.137,97.30,0
ld[358040,-1,1,130.308,130.308,130.308,130.308,0.00,0
cc[357608,-1,1,0.960,0.960,0.960,0.960,0.00,0
cc[357176,-1,2,0.765,0.025,0.382,0.740,93.36,0
cc[356456,-1,1,0.454,0.454,0.454,0.454,0.00,0
ld[358032,-1,3,4.963,0.991,1.654,1.994,20.04,0
cc[356736,-1,1,0.597,0.597,0.597,0.597,0.00,0
cc[359176,-1,1,0.595,0.595,0.595,0.595,0.00,0
cc[359032,-1,1,0.447,0.447,0.447,0.447,0.00,0
cc[358744,-1,1,0.415,0.415,0.415,0.415,0.00,0
ln[358168,-1,1,1.037,1.037,1.037,1.037,0.00,0
cc[356817,-1,1,0.592,0.592,0.592,0.592,0.00,0
cc[356673,-1,1,0.592,0.592,0.592,0.592,0.00,0
cc[359113,-1,2,0.735,0.027,0.367,0.707,92.41,0
cc[357817,-1,1,0.698,0.698,0.698,0.698,0.00,0
cc[357673,-1,1,0.606,0.606,0.606,0.606,0.00,0
cc[357529,-1,1,0.738,0.738,0.738,0.738,0.00,0
cc[356953,-1,1,0.467,0.467,0.467,0.467,0.00,0
cc[356809,-1,1,0.551,0.551,0.551,0.551,0.00,0
