Task,Runtime_ms,Count,Avg_delay_ms,Max_delay_ms,Max_delay_start,Max_delay_end
kworker/0:1-eve:305877,8.403 ms,191,avg:   5.848 ms,max:  20.019 ms,max start: 96469.812466 s,max end: 96469.832485 s
kworker/7:0-mm_:339803,6.360 ms,147,avg:   5.698 ms,max:  20.033 ms,max start: 96468.794461 s,max end: 96468.814494 s
kworker/6:0-mm_:329511,12.982 ms,153,avg:   5.573 ms,max:  20.255 ms,max start: 96477.812465 s,max end: 96477.832720 s
kworker/8:2-mm_:333538,6.813 ms,156,avg:   5.465 ms,max:  20.041 ms,max start: 96461.817464 s,max end: 96461.837505 s
kworker/3:0-mm_:341424,5.251 ms,113,avg:   5.360 ms,max:  20.035 ms,max start: 96446.835460 s,max end: 96446.855494 s
kworker/2:0-mm_:340231,6.972 ms,154,avg:   5.140 ms,max:  20.028 ms,max start: 96469.818459 s,max end: 96469.838487 s
kworker/4:1-eve:303271,7.287 ms,150,avg:   5.116 ms,max:  20.020 ms,max start: 96466.995470 s,max end: 96467.015490 s
kworker/5:2-eve:314084,7.836 ms,166,avg:   4.953 ms,max:  20.942 ms,max start: 96466.044554 s,max end: 96466.065496 s
kworker/11:2-ev:307895,5.535 ms,126,avg:   4.800 ms,max:  20.996 ms,max start: 96471.259475 s,max end: 96471.280471 s
kworker/1:0-eve:306083,5.334 ms,129,avg:   4.692 ms,max:  20.027 ms,max start: 96466.803462 s,max end: 96466.823489 s
kworker/10:0-mm:338465,7.032 ms,133,avg:   4.669 ms,max:  20.024 ms,max start: 96468.804463 s,max end: 96468.824487 s
kworker/9:1-eve:298832,6.693 ms,158,avg:   4.382 ms,max:  21.017 ms,max start: 96472.304467 s,max end: 96472.325485 s
kworker/4:1H-kb:296,1.319 ms,17,avg:   4.367 ms,max:  20.250 ms,max start: 96461.007237 s,max end: 96461.027487 s
kworker/6:1H-kb:143,1.672 ms,31,avg:   4.036 ms,max:  20.731 ms,max start: 96471.646749 s,max end: 96471.667480 s
kworker/5:1H-kb:411,2.410 ms,25,avg:   3.506 ms,max:  19.959 ms,max start: 96452.438528 s,max end: 96452.458486 s
kworker/3:1H-kb:302,1.644 ms,29,avg:   3.353 ms,max:  20.513 ms,max start: 96477.308064 s,max end: 96477.328577 s
gnome-shel:cs0:3583,41.246 ms,267,avg:   2.930 ms,max:  20.245 ms,max start: 96477.123218 s,max end: 96477.143463 s
codium:cs0:314620,50.548 ms,252,avg:   2.841 ms,max:  20.688 ms,max start: 96446.645783 s,max end: 96446.666472 s
codium:gl0:314629,1.035 ms,18,avg:   2.560 ms,max:  20.250 ms,max start: 96446.625219 s,max end: 96446.645469 s
ksoftirqd/5:67,0.760 ms,30,avg:   2.345 ms,max:  21.180 ms,max start: 96477.276480 s,max end: 96477.297660 s
codium:gdrv0:314628,2.118 ms,19,avg:   2.186 ms,max:  20.946 ms,max start: 96446.540530 s,max end: 96446.561475 s
ksoftirqd/2:25,0.404 ms,25,avg:   2.120 ms,max:  20.985 ms,max start: 96477.885498 s,max end: 96477.906483 s
kworker/0:1H-kb:236,2.057 ms,25,avg:   2.057 ms,max:  19.736 ms,max start: 96446.931745 s,max end: 96446.951481 s
kworker/u50:34-:339793,63.566 ms,30,avg:   2.014 ms,max:  15.941 ms,max start: 96452.485620 s,max end: 96452.501561 s
Xwayland:cs0:26659,56.820 ms,462,avg:   1.904 ms,max:  20.850 ms,max start: 96478.236620 s,max end: 96478.257470 s
ksoftirqd/4:31,0.817 ms,21,avg:   1.749 ms,max:  20.952 ms,max start: 96447.240516 s,max end: 96447.261468 s
