comm,parent,sched-in,run-time,min-run,avg-run,max-run,stddev,migrations
cc[364768],-1,1,0.632,0.632,0.632,0.632,0.00,0
cc[364480],-1,1,0.594,0.594,0.594,0.594,0.00,0
cc[364048],-1,1,0.683,0.683,0.683,0.683,0.00,0
cc[363904],-1,1,0.624,0.624,0.624,0.624,0.00,0
cc[364760],-1,1,0.651,0.651,0.651,0.651,0.00,0
cc[364616],-1,1,0.597,0.597,0.597,0.597,0.00,0
cc[364184],-1,1,0.754,0.754,0.754,0.754,0.00,0
cc[364040],-1,1,0.608,0.608,0.608,0.608,0.00,0
cc[363896],-1,1,1.259,1.259,1.259,1.259,0.00,0
cc[366048],-1,1,0.524,0.524,0.524,0.524,0.00,0
cc[363464],-1,1,0.577,0.577,0.577,0.577,0.00,0
cc[365904],-1,1,0.610,0.610,0.610,0.610,0.00,0
ln[365328],-1,1,1.081,1.081,1.081,1.081,0.00,0
ln[365184],-1,1,1.054,1.054,1.054,1.054,0.00,0
cc[364608],-1,1,0.630,0.630,0.630,0.630,0.00,0
cc[363312],-1,1,0.719,0.719,0.719,0.719,0.00,0
cc[364312],-1,1,0.553,0.553,0.553,0.553,0.00,0
cc[364168],-1,1,0.900,0.900,0.900,0.900,0.00,0
cc[366032],-1,1,0.616,0.616,0.616,0.616,0.00,0
cc[365888],-1,1,0.634,0.634,0.634,0.634,0.00,0
cc[364880],-1,1,0.568,0.568,0.568,0.568,0.00,0
cc[366024],-1,1,0.748,0.748,0.748,0.748,0.00,0
cc[363440],-1,1,0.680,0.680,0.680,0.680,0.00,0
ld[365736],-1,1,8.228,8.228,8.228,8.228,0.00,0
ln[365304],-1,1,1.152,1.152,1.152,1.152,0.00,0
cc[364440],-1,1,0.634,0.634,0.634,0.634,0.00,0
cc[366448],-1,1,0.518,0.518,0.518,0.518,0.00,0
cc[363432],-1,1,1.001,1.001,1.001,1.001,0.00,0
cc[363288],-1,1,0.801,0.801,0.801,0.801,0.00,0
ld[365728],-1,1,268.144,268.144,268.144,268.144,0.00,0
cc[364720],-1,1,0.560,0.560,0.560,0.560,0.00,0
cc[364576],-1,1,0.633,0.633,0.633,0.633,0.00,0
cc[364432],-1,1,0.658,0.658,0.658,0.658,0.00,0
cc[364144],-1,1,0.542,0.542,0.542,0.542,0.00,0
cc[364000],-1,1,0.703,0.703,0.703,0.703,0.00,0
cc[363856],-1,1,0.617,0.617,0.617,0.617,0.00,0
cc[363712],-1,1,1.045,1.045,1.045,1.045,0.00,0
cc[366008],-1,1,0.523,0.523,0.523,0.523,0.00,0
cc[365864],-1,1,0.604,0.604,0.604,0.604,0.00,0
cc[365720],-1,1,0.388,0.388,0.388,0.388,0.00,0
ln[365432],-1,1,0.994,0.994,0.994,0.994,0.00,0
cc[366432],-1,1,0.713,0.713,0.713,0.713,0.00,0
cc[363560],-1,1,0.581,0.581,0.581,0.581,0.00,0
cc[363416],-1,1,0.537,0.537,0.537,0.537,0.00,0
cc[365856],-1,1,0.770,0.770,0.770,0.770,0.00,0
ln[365424],-1,1,1.305,1.305,1.305,1.305,0.00,0
ln[365280],-1,1,0.518,0.518,0.518,0.518,0.00,0
cc[364704],-1,1,0.472,0.472,0.472,0.472,0.00,0
cc[366424],-1,1,0.757,0.757,0.757,0.757,0.00,0
cc[363552],-1,1,0.677,0.677,0.677,0.677,0.00,0
cc[365704],-1,1,0.675,0.675,0.675,0.675,0.00,0
cc[364696],-1,1,0.570,0.570,0.570,0.570,0.00,0
cc[364120],-1,1,1.008,1.008,1.008,1.008,0.00,0
cc[363976],-1,1,0.550,0.550,0.550,0.550,0.00,0
cc[366416],-1,1,0.751,0.751,0.751,0.751,0.00,0
cc[363832],-1,1,1.123,1.123,1.123,1.123,0.00,0
cc[363688],-1,1,0.828,0.828,0.828,0.828,0.00,0
cc[365984],-1,1,0.571,0.571,0.571,0.571,0.00,0
cc[363824],-1,1,0.650,0.650,0.650,0.650,0.00,0
cc[366120],-1,1,0.562,0.562,0.562,0.562,0.00,0
cc[365976],-1,1,0.734,0.734,0.734,0.734,0.00,0
cc[363392],-1,1,0.727,0.727,0.727,0.727,0.00,0
cc[365688],-1,1,0.656,0.656,0.656,0.656,0.00,0
ln[365256],-1,1,1.093,1.093,1.093,1.093,0.00,0
