comm,parent,sched-in,run-time,min-run,avg-run,max-run,stddev,migrations
pwd[368216],-1,2,1.214,0.021,0.607,1.193,96.43,0
cpuUsage.sh[368072],-1,1,0.645,0.645,0.645,0.645,0.00,0
cc1[367928],-1,1,32.113,32.113,32.113,32.113,0.00,0
cpuUsage.sh[367784],-1,1,0.589,0.589,0.589,0.589,0.00,0
sh[367640],-1,1,0.671,0.671,0.671,0.671,0.00,0
cc[367496],-1,1,0.626,0.626,0.626,0.626,0.00,0
cc1[367352],-1,1,212.578,212.578,212.578,212.578,0.00,0
as[369792],-1,1,4.049,4.049,4.049,4.049,0.00,0
as[367208],-1,1,4.338,4.338,4.338,4.338,0.00,0
basename[369648],-1,1,1.206,1.206,1.206,1.206,0.00,0
cc1[367064],-1,1,394.697,394.697,394.697,394.697,0.00,0
cc1[369504],-1,1,220.991,220.991,220.991,220.991,0.00,0
cc1[366920],-1,1,63.577,63.577,63.577,63.577,0.00,0
as[369360],-1,1,6.431,6.431,6.431,6.431,0.00,0
cc1[366776],-1,1,219.353,219.353,219.353,219.353,0.00,0
sh[369216],-1,1,1.583,1.583,1.583,1.583,0.00,0
sh[366632],-1,1,0.227,0.227,0.227,0.227,0.00,0
sed[369072],-1,1,1.474,1.474,1.474,1.474,0.00,0
sh[368928],-1,1,0.405,0.405,0.405,0.405,0.00,0
sh[368640],-1,1,0.320,0.320,0.320,0.320,0.00,0
rm[368496],-1,1,0.930,0.930,0.930,0.930,0.00,0
as[368208],-1,1,7.698,7.698,7.698,7.698,0.00,0
cpuUsage.sh[368064],-1,1,0.615,0.615,0.615,0.615,0.00,0
cc[367920],-1,1,0.573,0.573,0.573,0.573,0.00,0
cc[367776],-1,1,0.477,0.477,0.477,0.477,0.00,0
grep[367632],-1,1,2.015,2.015,2.015,2.015,0.00,0
cc1[367488],-1,1,75.034,75.034,75.034,75.034,0.00,0
as[367344],-1,1,10.904,10.904,10.904,10.904,0.00,0
cc[369784],-1,1,0.586,0.586,0.586,0.586,0.00,0
cc1[367200],-1,1,500.750,500.750,500.750,500.750,0.00,0
tr[369640],-1,1,1.161,1.161,1.161,1.161,0.00,0
as[367056],-1,1,8.654,8.654,8.654,8.654,0.00,0
as[369496],-1,1,6.252,6.252,6.252,6.252,0.00,0
as[366912],-1,1,4.519,4.519,4.519,4.519,0.00,0
git[369352],-1,1,13.063,13.063,13.063,13.063,0.00,0
as[366768],-1,1,2.827,2.827,2.827,2.827,0.00,0
mkdir[369208],-1,1,1.819,1.819,1.819,1.819,0.00,0
sh[366624],-1,1,0.244,0.244,0.244,0.244,0.00,0
sed[369064],-1,1,1.974,1.974,1.974,1.974,0.00,0
sh[368920],-1,1,0.320,0.320,0.320,0.320,0.00,0
ln[368776],-1,1,0.603,0.603,0.603,0.603,0.00,0
ln[368632],-1,1,0.891,0.891,0.891,0.891,0.00,0
ln[368488],-1,1,1.129,1.129,1.129,1.129,0.00,0
cargo[368344],-1,1,3.603,3.603,3.603,3.603,0.00,0
as[368200],-1,1,24.552,24.552,24.552,24.552,0.00,0
as[368056],-1,1,52.518,52.518,52.518,52.518,0.00,0
cc1[367912],-1,1,92.702,92.702,92.702,92.702,0.00,0
as[367768],-1,1,7.604,7.604,7.604,7.604,0.00,0
pwd[367624],-1,2,1.203,0.020,0.601,1.182,96.60,0
as[367480],-1,1,5.558,5.558,5.558,5.558,0.00,0
cc[367336],-1,1,0.614,0.614,0.614,0.614,0.00,0
as[369776],-1,1,9.747,9.747,9.747,9.747,0.00,0
as[367192],-1,1,16.909,16.909,16.909,16.909,0.00,0
cat[369632],-1,1,1.274,1.274,1.274,1.274,0.00,0
cc[367048],-1,1,0.626,0.626,0.626,0.626,0.00,0
cc[369488],-1,1,0.555,0.555,0.555,0.555,0.00,0
cc[366904],-1,1,0.796,0.796,0.796,0.796,0.00,0
systemd-machine[984],1,1,0.195,0.195,0.195,0.195,0.00,0
as[369344],-1,1,4.467,4.467,4.467,4.467,0.00,0
cc[366760],-1,1,0.604,0.604,0.604,0.604,0.00,0
msgfmt[369200],-1,1,79.936,79.936,79.936,79.936,0.00,0
sh[366616],-1,1,0.298,0.298,0.298,0.298,0.00,0
sed[369056],-1,1,1.509,1.509,1.509,1.509,0.00,0
sh[368912],-1,1,0.365,0.365,0.365,0.365,0.00,0
rm[368768],-1,1,1.043,1.043,1.043,1.043,0.00,0
rm[368624],-1,1,1.111,1.111,1.111,1.111,0.00,0
rm[368480],-1,1,0.994,0.994,0.994,0.994,0.00,0
as[368336],-1,1,37.502,37.502,37.502,37.502,0.00,0
