comm,parent,sched-in,run-time,min-run,avg-run,max-run,stddev,migrations
cc[367496,-1,1,0.626,0.626,0.626,0.626,0.00,0
cc[367920,-1,1,0.573,0.573,0.573,0.573,0.00,0
cc[367776,-1,1,0.477,0.477,0.477,0.477,0.00,0
cc[369784,-1,1,0.586,0.586,0.586,0.586,0.00,0
ln[368776,-1,1,0.603,0.603,0.603,0.603,0.00,0
ln[368632,-1,1,0.891,0.891,0.891,0.891,0.00,0
ln[368488,-1,1,1.129,1.129,1.129,1.129,0.00,0
cc[367336,-1,1,0.614,0.614,0.614,0.614,0.00,0
cc[367048,-1,1,0.626,0.626,0.626,0.626,0.00,0
cc[369488,-1,1,0.555,0.555,0.555,0.555,0.00,0
cc[366904,-1,1,0.796,0.796,0.796,0.796,0.00,0
cc[366760,-1,1,0.604,0.604,0.604,0.604,0.00,0
cc[367328,-1,1,0.527,0.527,0.527,0.527,0.00,0
cc[367184,-1,1,0.657,0.657,0.657,0.657,0.00,0
cc[366752,-1,1,0.704,0.704,0.704,0.704,0.00,0
cc[367896,-1,1,0.674,0.674,0.674,0.674,0.00,0
cc[366888,-1,1,0.669,0.669,0.669,0.669,0.00,0
ln[368608,-1,1,1.138,1.138,1.138,1.138,0.00,0
ln[368464,-1,1,1.033,1.033,1.033,1.033,0.00,0
cc[367744,-1,1,0.684,0.684,0.684,0.684,0.00,0
cc[367168,-1,1,0.462,0.462,0.462,0.462,0.00,0
cc[367024,-1,1,0.586,0.586,0.586,0.586,0.00,0
cc[366736,-1,1,0.707,0.707,0.707,0.707,0.00,0
cc[367592,-1,1,0.557,0.557,0.557,0.557,0.00,0
cc[367448,-1,1,0.515,0.515,0.515,0.515,0.00,0
cc[367304,-1,1,0.483,0.483,0.483,0.483,0.00,0
cc[367016,-1,1,0.682,0.682,0.682,0.682,0.00,0
cc[369312,-1,1,0.559,0.559,0.559,0.559,0.00,0
cc[367584,-1,1,1.218,1.218,1.218,1.218,0.00,0
cc[367440,-1,1,0.603,0.603,0.603,0.603,0.00,0
cc[367296,-1,1,0.659,0.659,0.659,0.659,0.00,0
cc[367152,-1,1,0.709,0.709,0.709,0.709,0.00,0
cc[369304,-1,1,0.749,0.749,0.749,0.749,0.00,0
ln[368584,-1,1,0.880,0.880,0.880,0.880,0.00,0
ln[368440,-1,1,0.916,0.916,0.916,0.916,0.00,0
cc[368152,-1,1,0.493,0.493,0.493,0.493,0.00,0
cc[367720,-1,1,0.596,0.596,0.596,0.596,0.00,0
cc[367432,-1,1,0.694,0.694,0.694,0.694,0.00,0
cc[367288,-1,1,0.642,0.642,0.642,0.642,0.00,0
cc[367144,-1,1,0.691,0.691,0.691,0.691,0.00,0
cc[367000,-1,1,0.597,0.597,0.597,0.597,0.00,0
cc[369440,-1,1,0.624,0.624,0.624,0.624,0.00,0
cc[366856,-1,1,0.647,0.647,0.647,0.647,0.00,0
ld[369152,-1,1,92.605,92.605,92.605,92.605,0.00,0
ln[368432,-1,1,0.961,0.961,0.961,0.961,0.00,0
cc[367856,-1,1,0.801,0.801,0.801,0.801,0.00,0
cc[367568,-1,1,0.517,0.517,0.517,0.517,0.00,0
cc[367424,-1,1,0.520,0.520,0.520,0.520,0.00,0
cc[367136,-1,1,0.656,0.656,0.656,0.656,0.00,0
cc[369288,-1,1,0.584,0.584,0.584,0.584,0.00,0
cc[367992,-1,1,0.652,0.652,0.652,0.652,0.00,0
cc[367848,-1,1,0.553,0.553,0.553,0.553,0.00,0
cc[366984,-1,1,0.461,0.461,0.461,0.461,0.00,0
cc[369136,-1,1,0.371,0.371,0.371,0.371,0.00,0
ln[368848,-1,1,1.064,1.064,1.064,1.064,0.00,0
ln[368704,-1,2,1.147,0.015,0.573,1.132,97.33,0
ln[368560,-1,1,1.058,1.058,1.058,1.058,0.00,0
ln[368416,-1,1,0.902,0.902,0.902,0.902,0.00,0
cc[368128,-1,1,0.538,0.538,0.538,0.538,0.00,0
cc[367984,-1,1,0.846,0.846,0.846,0.846,0.00,0
cc[367264,-1,1,0.547,0.547,0.547,0.547,0.00,0
ln[368696,-1,1,1.060,1.060,1.060,1.060,0.00,0
ln[368552,-1,1,1.058,1.058,1.058,1.058,0.00,0
ld[368408,-1,1,140.758,140.758,140.758,140.758,0.00,0
cc[367832,-1,1,0.911,0.911,0.911,0.911,0.00,0
cc[367544,-1,1,0.620,0.620,0.620,0.620,0.00,0
cc[369840,-1,1,0.692,0.692,0.692,0.692,0.00,0
ld[368400,-1,2,256.257,0.018,128.128,256.239,99.99,0
cc[367824,-1,1,0.768,0.768,0.768,0.768,0.00,0
cc[367536,-1,1,0.936,0.936,0.936,0.936,0.00,0
cc[369112,-1,1,0.466,0.466,0.466,0.466,0.00,0
