comm,parent,sched-in,run-time,min-run,avg-run,max-run,stddev,migrations
cc1[370800],-1,1,159.326,159.326,159.326,159.326,0.00,0
cc1[373240],-1,1,308.081,308.081,308.081,308.081,0.00,0
cc1[370656],-1,1,61.595,61.595,61.595,61.595,0.00,0
basename[373096],-1,1,1.965,1.965,1.965,1.965,0.00,0
cc[370512],-1,1,0.656,0.656,0.656,0.656,0.00,0
cc1[372952],-1,1,295.343,295.343,295.343,295.343,0.00,0
as[370368],-1,1,6.915,6.915,6.915,6.915,0.00,0
as[372808],-1,1,7.350,7.350,7.350,7.350,0.00,0
cc[370224],-1,1,0.637,0.637,0.637,0.637,0.00,0
sh[372664],-1,1,0.400,0.400,0.400,0.400,0.00,0
sh[370080],-1,1,0.497,0.497,0.497,0.497,0.00,0
mkdir[372520],-1,1,1.980,1.980,1.980,1.980,0.00,0
sh[372232],-1,1,0.386,0.386,0.386,0.386,0.00,0
rm[372088],-1,1,0.949,0.949,0.949,0.949,0.00,0
ln[371944],-1,1,1.272,1.272,1.272,1.272,0.00,0
sh[371656],-1,1,0.456,0.456,0.456,0.456,0.00,0
as[371512],-1,1,10.481,10.481,10.481,10.481,0.00,0
basename[371368],-1,1,1.620,1.620,1.620,1.620,0.00,0
cc[371224],-1,1,0.627,0.627,0.627,0.627,0.00,0
sh[371080],-1,1,0.958,0.958,0.958,0.958,0.00,0
cc1[370936],-1,1,21.433,21.433,21.433,21.433,0.00,0
as[370792],-1,1,13.499,13.499,13.499,13.499,0.00,0
cc1[373232],-1,1,124.261,124.261,124.261,124.261,0.00,0
cc1[370648],-1,1,154.691,154.691,154.691,154.691,0.00,0
sh[373088],-1,1,0.399,0.399,0.399,0.399,0.00,0
as[370504],-1,1,98.783,98.783,98.783,98.783,0.00,0
as[372944],-1,1,5.369,5.369,5.369,5.369,0.00,0
cc[370360],-1,1,1.034,1.034,1.034,1.034,0.00,0
cc[372800],-1,1,0.531,0.531,0.531,0.531,0.00,0
cc1[370216],-1,1,188.329,188.329,188.329,188.329,0.00,0
mkdir[372656],-1,1,1.052,1.052,1.052,1.052,0.00,0
sort[370072],-1,1,0.198,0.198,0.198,0.198,0.00,0
mkdir[372512],-1,1,1.648,1.648,1.648,1.648,0.00,0
msgfmt[372368],-1,1,11.943,11.943,11.943,11.943,0.00,0
sh[372224],-1,1,0.375,0.375,0.375,0.375,0.00,0
sh[372080],-1,1,0.352,0.352,0.352,0.352,0.00,0
rm[371936],-1,1,0.904,0.904,0.904,0.904,0.00,0
pwd[371648],-1,1,1.158,1.158,1.158,1.158,0.00,0
cc1[371504],-1,1,138.921,138.921,138.921,138.921,0.00,0
cc[371360],-1,1,0.787,0.787,0.787,0.787,0.00,0
as[371216],-1,1,9.986,9.986,9.986,9.986,0.00,0
sed[371072],-1,1,0.586,0.586,0.586,0.586,0.00,0
cc[370928],-1,1,0.474,0.474,0.474,0.474,0.00,0
cc[370784],-1,1,0.677,0.677,0.677,0.677,0.00,0
as[373224],-1,1,4.220,4.220,4.220,4.220,0.00,0
cc[370640],-1,1,0.679,0.679,0.679,0.679,0.00,0
sh[373080],-1,1,1.072,1.072,1.072,1.072,0.00,0
as[370496],-1,1,4.615,4.615,4.615,4.615,0.00,0
cc[372936],-1,1,1.026,1.026,1.026,1.026,0.00,0
as[370352],-1,1,21.627,21.627,21.627,21.627,0.00,0
cc[372792],-1,1,0.653,0.653,0.653,0.653,0.00,0
as[370208],-1,1,1.649,1.649,1.649,1.649,0.00,0
msgfmt[372648],-1,1,100.592,100.592,100.592,100.592,0.00,0
sh[370064],-1,1,0.444,0.444,0.444,0.444,0.00,0
mkdir[372504],-1,1,1.400,1.400,1.400,1.400,0.00,0
git[372360],-1,1,4.208,4.208,4.208,4.208,0.00,0
ln[372216],-1,1,1.141,1.141,1.141,1.141,0.00,0
ln[372072],-1,1,0.987,0.987,0.987,0.987,0.00,0
rm[371928],-1,1,0.999,0.999,0.999,0.999,0.00,0
as[371640],-1,1,7.999,7.999,7.999,7.999,0.00,0
as[371496],-1,1,3.613,3.613,3.613,3.613,0.00,0
cc1[371352],-1,1,51.754,51.754,51.754,51.754,0.00,0
cat[371208],-1,1,1.735,1.735,1.735,1.735,0.00,0
cc[371064],-1,1,0.905,0.905,0.905,0.905,0.00,0
sleep[370920],-1,1,0.428,0.428,0.428,0.428,0.00,0
cc1[370776],-1,1,26.387,26.387,26.387,26.387,0.00,0
cc1[373216],-1,1,146.716,146.716,146.716,146.716,0.00,0
cc1[370632],-1,1,29.686,29.686,29.686,29.686,0.00,0
tr[373072],-1,1,1.163,1.163,1.163,1.163,0.00,0
cc[370488],-1,1,0.636,0.636,0.636,0.636,0.00,0
cc1[372928],-1,1,177.783,177.783,177.783,177.783,0.00,0
cc1[370344],-1,1,161.981,161.981,161.981,161.981,0.00,0
cc[372784],-1,1,0.816,0.816,0.816,0.816,0.00,0
cc[370200],-1,1,0.540,0.540,0.540,0.540,0.00,0
sh[372640],-1,1,1.838,1.838,1.838,1.838,0.00,0
uname[370056],-1,1,0.931,0.931,0.931,0.931,0.00,0
mkdir[372496],-1,1,1.966,1.966,1.966,1.966,0.00,0
msgfmt[372352],-1,1,6.480,6.480,6.480,6.480,0.00,0
gdbus[3992/3923],3923,1,0.218,0.218,0.218,0.218,0.00,0
