Task,Runtime_ms,Count,Avg_delay_ms,Max_delay_ms,Max_delay_start,Max_delay_end
ksoftirqd/6:37,0.315 ms,16,avg:   0.366 ms,max:   0.968 ms,max start: 95750.020486 s,max end: 95750.021455 s
ksoftirqd/0:15,0.558 ms,19,avg:   0.359 ms,max:   1.308 ms,max start: 95753.359224 s,max end: 95753.360531 s
systemd-journal:620,5.063 ms,7,avg:   0.302 ms,max:   1.076 ms,max start: 95760.603388 s,max end: 95760.604464 s
ksoftirqd/2:25,1.676 ms,23,avg:   0.290 ms,max:   1.209 ms,max start: 95759.384215 s,max end: 95759.385424 s
ksoftirqd/1:55,0.220 ms,14,avg:   0.263 ms,max:   1.001 ms,max start: 95754.186507 s,max end: 95754.187508 s
ksoftirqd/8:43,0.548 ms,22,avg:   0.188 ms,max:   0.936 ms,max start: 95754.192521 s,max end: 95754.193457 s
ksoftirqd/11:85,0.170 ms,8,avg:   0.184 ms,max:   0.955 ms,max start: 95750.926493 s,max end: 95750.927449 s
ksoftirqd/10:49,0.423 ms,9,avg:   0.183 ms,max:   0.946 ms,max start: 95754.091519 s,max end: 95754.092465 s
ksoftirqd/7:73,0.288 ms,8,avg:   0.169 ms,max:   0.824 ms,max start: 95755.624187 s,max end: 95755.625011 s
dbus-broker:967,0.767 ms,14,avg:   0.140 ms,max:   0.304 ms,max start: 95747.340825 s,max end: 95747.341129 s
kworker/3:0-eve:341424,0.830 ms,62,avg:   0.133 ms,max:   1.954 ms,max start: 95760.439505 s,max end: 95760.441459 s
kworker/0:1-eve:305877,0.880 ms,53,avg:   0.128 ms,max:   1.965 ms,max start: 95760.582490 s,max end: 95760.584454 s
abrt-dump-journ:(3),0.271 ms,3,avg:   0.114 ms,max:   0.210 ms,max start: 95746.184456 s,max end: 95746.184666 s
kworker/1:0-eve:306083,0.862 ms,64,avg:   0.107 ms,max:   1.057 ms,max start: 95749.811446 s,max end: 95749.812503 s
ksoftirqd/3:61,0.502 ms,11,avg:   0.105 ms,max:   0.640 ms,max start: 95749.856488 s,max end: 95749.857129 s
wsdd:16229,0.281 ms,1,avg:   0.105 ms,max:   0.105 ms,max start: 95752.955523 s,max end: 95752.955628 s
kworker/4:1-mm_:303271,0.791 ms,49,avg:   0.101 ms,max:   1.015 ms,max start: 95748.340443 s,max end: 95748.341459 s
kworker/8:2-eve:333538,0.744 ms,45,avg:   0.095 ms,max:   1.993 ms,max start: 95760.556461 s,max end: 95760.558454 s
kworker/11:2-ev:307895,0.461 ms,34,avg:   0.092 ms,max:   2.009 ms,max start: 95745.818446 s,max end: 95745.820455 s
kworker/6:0-mm_:329511,3.606 ms,65,avg:   0.082 ms,max:   1.009 ms,max start: 95758.516448 s,max end: 95758.517457 s
ksoftirqd/4:31,0.292 ms,14,avg:   0.077 ms,max:   0.242 ms,max start: 95745.844452 s,max end: 95745.844695 s
gssproxy:1543,0.084 ms,1,avg:   0.077 ms,max:   0.077 ms,max start: 95751.179446 s,max end: 95751.179523 s
Xwayland:26658,1.768 ms,16,avg:   0.072 ms,max:   0.266 ms,max start: 95745.877688 s,max end: 95745.877954 s
kworker/7:0-mm_:339803,0.915 ms,75,avg:   0.070 ms,max:   1.041 ms,max start: 95760.443448 s,max end: 95760.444489 s
ksoftirqd/5:67,0.571 ms,7,avg:   0.069 ms,max:   0.216 ms,max start: 95754.264520 s,max end: 95754.264736 s
Chrome_ChildIOT:(3),28.666 ms,403,avg:   0.068 ms,max:   0.452 ms,max start: 95759.181400 s,max end: 95759.181852 s
kworker/9:1-mm_:298832,0.475 ms,31,avg:   0.067 ms,max:   0.793 ms,max start: 95758.774447 s,max end: 95758.775240 s
irqbalance:974,1.844 ms,2,avg:   0.063 ms,max:   0.117 ms,max start: 95760.009510 s,max end: 95760.009627 s
GDM userdb work:1682,4.368 ms,78,avg:   0.056 ms,max:   0.353 ms,max start: 95745.824609 s,max end: 95745.824962 s
ksoftirqd/9:79,0.007 ms,1,avg:   0.055 ms,max:   0.055 ms,max start: 95754.137479 s,max end: 95754.137534 s
Chrome_IOThread:314569,0.748 ms,5,avg:   0.054 ms,max:   0.078 ms,max start: 95753.004177 s,max end: 95753.004254 s
kworker/2:0-mm_:340231,0.944 ms,63,avg:   0.054 ms,max:   0.964 ms,max start: 95750.199494 s,max end: 95750.200459 s
kworker/u48:0-c:342529,7.565 ms,49,avg:   0.050 ms,max:   1.535 ms,max start: 95745.872435 s,max end: 95745.873970 s
kworker/10:0-ev:338465,0.663 ms,43,avg:   0.048 ms,max:   0.474 ms,max start: 95747.443449 s,max end: 95747.443923 s
kworker/5:2-mm_:314084,0.950 ms,70,avg:   0.045 ms,max:   0.287 ms,max start: 95753.123448 s,max end: 95753.123734 s
pool-0:4058,0.504 ms,10,avg:   0.043 ms,max:   0.160 ms,max start: 95756.945748 s,max end: 95756.945908 s
unix_chkpwd:342589,1.457 ms,1,avg:   0.042 ms,max:   0.042 ms,max start: 95745.829434 s,max end: 95745.829475 s
cpuUsage.sh:(22),30.928 ms,121,avg:   0.041 ms,max:   0.356 ms,max start: 95746.188589 s,max end: 95746.188945 s
systemd-machine:984,5.056 ms,76,avg:   0.040 ms,max:   0.198 ms,max start: 95745.823704 s,max end: 95745.823902 s
kworker/u48:3-m:339486,13.593 ms,91,avg:   0.039 ms,max:   1.892 ms,max start: 95752.944563 s,max end: 95752.946455 s
in:imjournal:1674,2.661 ms,17,avg:   0.037 ms,max:   0.224 ms,max start: 95756.996396 s,max end: 95756.996619 s
gnome-shell:3543,55.316 ms,58,avg:   0.035 ms,max:   1.017 ms,max start: 95755.941447 s,max end: 95755.942464 s
sed:(3),7.529 ms,8,avg:   0.034 ms,max:   0.125 ms,max start: 95746.186172 s,max end: 95746.186297 s
systemd-userdbd:654,0.910 ms,2,avg:   0.033 ms,max:   0.044 ms,max start: 95745.825257 s,max end: 95745.825301 s
gvfsd-wsdd:16224,0.272 ms,2,avg:   0.030 ms,max:   0.043 ms,max start: 95752.955867 s,max end: 95752.955910 s
napi/phy0-0:(3),1.698 ms,58,avg:   0.030 ms,max:   0.346 ms,max start: 95750.343167 s,max end: 95750.343513 s
kworker/u50:2-b:342506,97.034 ms,1075,avg:   0.028 ms,max:   1.954 ms,max start: 95756.828507 s,max end: 95756.830460 s
gmain:(9),2.645 ms,41,avg:   0.027 ms,max:   0.189 ms,max start: 95753.944445 s,max end: 95753.944634 s
systemd-logind:1010,0.606 ms,4,avg:   0.027 ms,max:   0.050 ms,max start: 95745.846157 s,max end: 95745.846207 s
