comm,parent,sched-in,run-time,min-run,avg-run,max-run,stddev,migrations
postgres[300744],300741,16,0.762,0.013,0.047,0.106,13.67,0
postgres[342608],-1,3,8.702,0.017,2.900,7.478,79.79,0
postgres[342600],-1,2,9.461,1.090,4.730,8.371,76.96,0
postgres[342592],-1,1,2.214,2.214,2.214,2.214,0.00,0
postgres[300752],300741,1,0.109,0.109,0.109,0.109,0.00,0
postgres[342609],-1,2,8.117,1.652,4.058,6.465,59.29,0
postgres[342601],-1,1,8.690,8.690,8.690,8.690,0.00,0
postgres[342674],-1,1,3.142,3.142,3.142,3.142,0.00,0
postgres[342610],-1,1,8.605,8.605,8.605,8.605,0.00,0
postgres[342602],-1,1,8.886,8.886,8.886,8.886,0.00,0
postgres[342611],-1,1,5.863,5.863,5.863,5.863,0.00,0
postgres[342603],-1,1,8.194,8.194,8.194,8.194,0.00,0
postgres[300747],300741,4048,573.657,0.004,0.141,119.991,27.02,0
postgres[300748],300741,2659,234.065,0.004,0.088,2.014,5.14,0
postgres[342612],-1,1,8.169,8.169,8.169,8.169,0.00,0
postgres[342604],-1,2,7.838,1.898,3.919,5.940,51.57,0
postgres[300741],1,17,10.342,0.063,0.608,7.900,75.30,0
postgres[342613],-1,1,8.465,8.465,8.465,8.465,0.00,0
postgres[342605],-1,2,8.866,3.056,4.433,5.810,31.06,0
postgres[342614],-1,2,7.963,1.861,3.981,6.101,53.25,0
postgres[342606],-1,1,7.736,7.736,7.736,7.736,0.00,0
postgres[300750],300741,4389,76.028,0.006,0.017,0.752,4.21,0
postgres[300751],300741,4,0.351,0.041,0.087,0.217,49.27,0
postgres[300743],300741,1,0.050,0.050,0.050,0.050,0.00,0
postgres[342607],-1,1,8.374,8.374,8.374,8.374,0.00,0
