comm,parent,sched-in,run-time,min-run,avg-run,max-run,stddev,migrations
postgres[300744],300741,24,3.222,0.025,0.134,0.992,30.54,0
postgres[342976],-1,1,8.457,8.457,8.457,8.457,0.00,0
postgres[342968],-1,3,9.491,0.018,3.163,7.770,74.41,0
postgres[342960],-1,1,2.236,2.236,2.236,2.236,0.00,0
postgres[343025],-1,1,3.156,3.156,3.156,3.156,0.00,0
postgres[342977],-1,1,9.234,9.234,9.234,9.234,0.00,0
postgres[342969],-1,2,9.569,1.691,4.784,7.877,64.64,0
postgres[342978],-1,1,8.397,8.397,8.397,8.397,0.00,0
postgres[342970],-1,3,10.008,0.357,3.336,7.967,70.35,0
postgres[342979],-1,1,9.185,9.185,9.185,9.185,0.00,0
postgres[342971],-1,2,9.050,1.444,4.525,7.605,68.08,0
postgres[300747],300741,8305,1199.081,0.003,0.144,94.965,14.53,0
postgres[342980],-1,1,8.749,8.749,8.749,8.749,0.00,0
postgres[342972],-1,1,9.153,9.153,9.153,9.153,0.00,0
postgres[300748],300741,3209,342.035,0.004,0.106,2.515,4.48,0
postgres[300741],1,19,10.866,0.065,0.571,5.290,50.29,0
postgres[342981],-1,1,3.528,3.528,3.528,3.528,0.00,0
postgres[342973],-1,6,9.216,0.020,1.536,1.980,20.24,0
postgres[342982],-1,1,9.362,9.362,9.362,9.362,0.00,0
postgres[342974],-1,2,9.465,2.037,4.732,7.428,56.96,0
postgres[300750],300741,5723,101.772,0.006,0.017,0.766,2.23,0
postgres[342975],-1,1,10.476,10.476,10.476,10.476,0.00,0
postgres[300751],300741,4,0.257,0.035,0.064,0.124,31.34,0
postgres[300743],300741,1,0.031,0.031,0.031,0.031,0.00,0
