Task,Runtime_ms,Count,Avg_delay_ms,Max_delay_ms,Max_delay_start,Max_delay_end
ksoftirqd/5:67,0.213 ms,9,avg:  10.048 ms,max:  86.604 ms,max start: 95913.156462 s,max end: 95913.243065 s
ksoftirqd/1:55,0.293 ms,15,avg:   1.386 ms,max:  12.284 ms,max start: 95910.883454 s,max end: 95910.895738 s
ksoftirqd/0:15,0.264 ms,17,avg:   1.250 ms,max:   9.005 ms,max start: 95916.169460 s,max end: 95916.178465 s
ksoftirqd/2:25,2.027 ms,26,avg:   0.960 ms,max:   9.596 ms,max start: 95916.203455 s,max end: 95916.213051 s
kworker/5:2-eve:314084,0.845 ms,62,avg:   0.889 ms,max:  39.624 ms,max start: 95913.203449 s,max end: 95913.243073 s
ksoftirqd/8:43,0.648 ms,31,avg:   0.743 ms,max:   8.193 ms,max start: 95916.571465 s,max end: 95916.579658 s
kworker/10:0-ev:338465,0.881 ms,57,avg:   0.609 ms,max:  25.018 ms,max start: 95914.507447 s,max end: 95914.532465 s
ksoftirqd/3:61,0.098 ms,6,avg:   0.454 ms,max:   1.362 ms,max start: 95916.867458 s,max end: 95916.868820 s
ksoftirqd/6:37,0.478 ms,20,avg:   0.405 ms,max:   3.010 ms,max start: 95914.297451 s,max end: 95914.300461 s
kworker/u50:27-:339786,0.061 ms,1,avg:   0.391 ms,max:   0.391 ms,max start: 95906.900344 s,max end: 95906.900735 s
ksoftirqd/9:79,0.271 ms,7,avg:   0.349 ms,max:   2.030 ms,max start: 95916.354456 s,max end: 95916.356486 s
gsd-media-keys:3748,0.120 ms,1,avg:   0.316 ms,max:   0.316 ms,max start: 95911.228156 s,max end: 95911.228472 s
kworker/3:0-mm_:341424,1.025 ms,71,avg:   0.312 ms,max:  12.981 ms,max start: 95904.124446 s,max end: 95904.137427 s
gnome-software:3923,0.122 ms,1,avg:   0.281 ms,max:   0.281 ms,max start: 95911.228776 s,max end: 95911.229056 s
ksoftirqd/4:31,0.162 ms,12,avg:   0.265 ms,max:   2.110 ms,max start: 95916.350455 s,max end: 95916.352564 s
gdbus:(8),3.902 ms,17,avg:   0.247 ms,max:   1.475 ms,max start: 95911.227705 s,max end: 95911.229179 s
ksoftirqd/11:85,0.205 ms,8,avg:   0.228 ms,max:   1.329 ms,max start: 95912.379261 s,max end: 95912.380590 s
kworker/0:1-eve:305877,1.448 ms,80,avg:   0.226 ms,max:   7.003 ms,max start: 95915.252452 s,max end: 95915.259454 s
ksoftirqd/10:49,0.406 ms,16,avg:   0.170 ms,max:   1.000 ms,max start: 95916.882452 s,max end: 95916.883452 s
ksoftirqd/7:73,0.125 ms,9,avg:   0.150 ms,max:   1.002 ms,max start: 95910.664457 s,max end: 95910.665459 s
kworker/4:1-eve:303271,1.012 ms,46,avg:   0.143 ms,max:   5.005 ms,max start: 95916.019455 s,max end: 95916.024459 s
kworker/1:0-mm_:306083,0.982 ms,74,avg:   0.141 ms,max:   4.007 ms,max start: 95914.788451 s,max end: 95914.792458 s
kworker/7:0-mm_:339803,1.191 ms,86,avg:   0.138 ms,max:   4.011 ms,max start: 95913.011452 s,max end: 95913.015462 s
gsd-power:3752,0.107 ms,1,avg:   0.106 ms,max:   0.106 ms,max start: 95911.228365 s,max end: 95911.228471 s
