comm,parent,sched-in,run-time,min-run,avg-run,max-run,stddev,migrations
postgres[300744,300741,9,0.678,0.033,0.075,0.115,13.68,0
postgres[344136,-1,1,8.595,8.595,8.595,8.595,0.00,0
postgres[344128,-1,2,8.661,3.399,4.330,5.262,21.50,0
postgres[344137,-1,1,9.057,9.057,9.057,9.057,0.00,0
postgres[344129,-1,1,10.126,10.126,10.126,10.126,0.00,0
postgres[344130,-1,1,9.606,9.606,9.606,9.606,0.00,0
postgres[344226,-1,1,2.064,2.064,2.064,2.064,0.00,0
postgres[344131,-1,1,9.534,9.534,9.534,9.534,0.00,0
postgres[344123,-1,1,9.392,9.392,9.392,9.392,0.00,0
postgres[344115,-1,1,2.870,2.870,2.870,2.870,0.00,0
postgres[300747,300741,8560,514.090,0.003,0.060,52.378,14.05,0
postgres[344132,-1,1,8.200,8.200,8.200,8.200,0.00,0
postgres[344124,-1,1,9.409,9.409,9.409,9.409,0.00,0
postgres[300748,300741,3276,309.354,0.004,0.094,9.303,5.92,0
postgres[300741,1,19,13.253,0.071,0.697,5.948,53.51,0
postgres[344133,-1,1,8.913,8.913,8.913,8.913,0.00,0
postgres[344125,-1,1,9.121,9.121,9.121,9.121,0.00,0
postgres[344134,-1,2,8.875,3.349,4.437,5.525,24.52,0
postgres[344126,-1,1,8.367,8.367,8.367,8.367,0.00,0
postgres[300750,300741,4356,89.930,0.004,0.020,0.786,3.54,0
postgres[344135,-1,2,8.060,2.363,4.030,5.696,41.35,0
postgres[344127,-1,1,8.902,8.902,8.902,8.902,0.00,0
postgres[300751,300741,4,0.269,0.044,0.067,0.114,23.84,0
postgres[300743,300741,1,0.043,0.043,0.043,0.043,0.00,0
