time_ms,cpu_psi_some_10,cpu_psi_some_60,cpu_psi_some_300,cpu_psi_full_10,cpu_psi_full_60,cpu_psi_full_300,io_psi_some_10,io_psi_some_60,io_psi_some_300,io_psi_full_10,io_psi_full_60,io_psi_full_300,mem_psi_some_10,mem_psi_some_60,mem_psi_some_300,mem_psi_full_10,mem_psi_full_60,mem_psi_full_300,load_avg_1,load_avg_5,load_avg_15,procs_running,procs_blocked,procs_disk_io
0,1.71,1.65,0.53,0,0,0,15.22,3.05,0.71,13.77,2.72,0.63,0,0,0,0,0,0,2.23,0.85,0.31,2,31,0
1000,1.76,1.66,0.54,0,0,0,29.49,6.03,1.35,26.85,5.44,1.21,0,0,0,0,0,0,4.69,1.38,0.48,5,32,0
2000,1.76,1.66,0.54,0,0,0,29.49,6.03,1.35,26.85,5.44,1.21,0,0,0,0,0,0,4.69,1.38,0.48,1,32,0
3000,1.81,1.67,0.56,0,0,0,40.82,8.84,1.97,36.66,7.91,1.76,0,0,0,0,0,0,4.69,1.38,0.48,1,29,0
4000,1.81,1.67,0.56,0,0,0,40.82,8.84,1.97,36.66,7.91,1.76,0,0,0,0,0,0,4.69,1.38,0.48,1,32,0
5000,2.02,1.72,0.57,0,0,0,50.09,11.56,2.59,44.69,10.31,2.3,0,0,0,0,0,0,4.69,1.38,0.48,2,32,0
6000,2.02,1.72,0.57,0,0,0,50.09,11.56,2.59,44.69,10.31,2.3,0,0,0,0,0,0,6.96,1.91,0.66,1,32,0
7000,2.02,1.73,0.58,0,0,0,57.68,14.19,3.2,51.63,12.68,2.85,0,0,0,0,0,0,6.96,1.91,0.66,8,28,0
8000,2.02,1.73,0.58,0,0,0,57.68,14.19,3.2,51.63,12.68,2.85,0,0,0,0,0,0,6.96,1.91,0.66,3,32,0
9000,2.01,1.74,0.59,0,0,0,63.53,16.67,3.79,56.77,14.89,3.38,0,0,0,0,0,0,6.96,1.91,0.66,1,32,0
10000,2.01,1.74,0.59,0,0,0,63.53,16.67,3.79,56.77,14.89,3.38,0,0,0,0,0,0,6.96,1.91,0.66,1,32,0
11000,2.19,1.78,0.61,0,0,0,68.33,19.07,4.38,60.8,16.98,3.9,0,0,0,0,0,0,9.21,2.46,0.84,1,32,0
12000,2.19,1.78,0.61,0,0,0,68.33,19.07,4.38,60.8,16.98,3.9,0,0,0,0,0,0,9.21,2.46,0.84,2,29,0
13000,2.15,1.79,0.62,0,0,0,72.07,21.36,4.96,64.27,19.05,4.42,0,0,0,0,0,0,9.21,2.46,0.84,1,32,0
14000,2.15,1.79,0.62,0,0,0,72.07,21.36,4.96,64.27,19.05,4.42,0,0,0,0,0,0,9.21,2.46,0.84,8,30,0
15000,2.13,1.79,0.63,0,0,0,75.68,23.67,5.55,67.67,21.14,4.95,0,0,0,0,0,0,9.21,2.46,0.84,9,28,0
16000,2.13,1.79,0.63,0,0,0,75.68,23.67,5.55,67.67,21.14,4.95,0,0,0,0,0,0,11.03,2.95,1.01,4,32,0
17000,2.1,1.8,0.64,0,0,0,78.64,25.9,6.14,70.44,23.16,5.49,0,0,0,0,0,0,11.03,2.95,1.01,1,32,0
18000,2.1,1.8,0.64,0,0,0,78.64,25.9,6.14,70.44,23.16,5.49,0,0,0,0,0,0,11.03,2.95,1.01,4,32,0
19000,2.08,1.81,0.65,0,0,0,80.69,28,6.72,71.99,24.99,5.99,0,0,0,0,0,0,11.03,2.95,1.01,2,32,0
20000,2.08,1.81,0.65,0,0,0,80.69,28,6.72,71.99,24.99,5.99,0,0,0,0,0,0,11.03,2.95,1.01,3,32,0
21000,2.07,1.81,0.66,0,0,0,82.92,30.13,7.31,74.53,26.98,6.54,0,0,0,0,0,0,12.87,3.46,1.19,2,32,0
22000,2.07,1.81,0.66,0,0,0,82.92,30.13,7.31,74.53,26.98,6.54,0,0,0,0,0,0,12.87,3.46,1.19,1,32,0
23000,2.05,1.82,0.67,0,0,0,84.75,32.19,7.89,76.43,28.88,7.08,0,0,0,0,0,0,12.87,3.46,1.19,1,32,0
24000,2.05,1.82,0.67,0,0,0,84.75,32.19,7.89,76.43,28.88,7.08,0,0,0,0,0,0,12.87,3.46,1.19,4,32,0
25000,2.04,1.82,0.68,0,0,0,86.24,34.18,8.48,78.16,30.75,7.62,0,0,0,0,0,0,12.87,3.46,1.19,9,28,0
26000,2.04,1.82,0.68,0,0,0,86.24,34.18,8.48,78.16,30.75,7.62,0,0,0,0,0,0,14.48,3.96,1.36,1,29,0
27000,2.03,1.83,0.68,0,0,0,88.01,36.2,9.07,80.12,32.66,8.17,0,0,0,0,0,0,14.48,3.96,1.36,3,32,0
28000,2.03,1.83,0.68,0,0,0,88.01,36.2,9.07,80.12,32.66,8.17,0,0,0,0,0,0,14.48,3.96,1.36,1,32,0
29000,2.03,1.84,0.69,0,0,0,88.91,38.06,9.65,81.01,34.37,8.7,0,0,0,0,0,0,14.48,3.96,1.36,2,32,0
30000,2.03,1.84,0.69,0,0,0,88.91,38.06,9.65,81.01,34.37,8.7,0,0,0,0,0,0,14.48,3.96,1.36,4,32,0
31000,2.2,1.87,0.71,0,0,0,89.83,39.89,10.22,82.27,36.12,9.24,0,0,0,0,0,0,15.89,4.42,1.52,1,32,0
32000,2.2,1.87,0.71,0,0,0,89.83,39.89,10.22,82.27,36.12,9.24,0,0,0,0,0,0,15.89,4.42,1.52,2,30,0
33000,2.16,1.88,0.72,0,0,0,90.59,41.66,10.8,82.95,37.76,9.76,0,0,0,0,0,0,15.89,4.42,1.52,1,32,0
34000,2.16,1.88,0.72,0,0,0,90.59,41.66,10.8,82.95,37.76,9.76,0,0,0,0,0,0,15.89,4.42,1.52,1,32,0
35000,2.13,1.88,0.73,0,0,0,91.2,43.37,11.37,83.68,39.37,10.29,0,0,0,0,0,0,15.89,4.42,1.52,1,32,0
36000,2.13,1.88,0.73,0,0,0,91.2,43.37,11.37,83.68,39.37,10.29,0,0,0,0,0,0,17.18,4.88,1.69,2,32,0
37000,2.29,1.92,0.74,0,0,0,91.35,44.96,11.92,83.37,40.76,10.78,0,0,0,0,0,0,17.18,4.88,1.69,2,32,0
38000,2.29,1.92,0.74,0,0,0,91.35,44.96,11.92,83.37,40.76,10.78,0,0,0,0,0,0,17.18,4.88,1.69,4,32,0
39000,2.24,1.92,0.75,0,0,0,91.1,46.43,12.45,82.94,42.08,11.26,0,0,0,0,0,0,17.18,4.88,1.69,1,32,0
40000,2.24,1.92,0.75,0,0,0,91.1,46.43,12.45,82.94,42.08,11.26,0,0,0,0,0,0,17.18,4.88,1.69,1,32,0
41000,2.19,1.92,0.76,0,0,0,91.26,47.92,13,83.13,43.45,11.76,0,0,0,0,0,0,18.36,5.33,1.85,2,32,0
42000,2.19,1.92,0.76,0,0,0,91.26,47.92,13,83.13,43.45,11.76,0,0,0,0,0,0,18.36,5.33,1.85,1,31,0
43000,2.34,1.96,0.78,0,0,0,91.94,49.46,13.56,84.2,44.94,12.29,0,0,0,0,0,0,18.36,5.33,1.85,1,32,0
44000,2.34,1.96,0.78,0,0,0,91.94,49.46,13.56,84.2,44.94,12.29,0,0,0,0,0,0,18.36,5.33,1.85,2,32,0
45000,2.46,1.99,0.79,0,0,0,92.49,50.95,14.11,84.88,46.35,12.81,0,0,0,0,0,0,18.36,5.33,1.85,1,32,0
46000,2.46,1.99,0.79,0,0,0,92.49,50.95,14.11,84.88,46.35,12.81,0,0,0,0,0,0,19.54,5.79,2.02,1,31,0
47000,2.37,1.99,0.8,0,0,0,93.13,52.43,14.67,85.63,47.74,13.33,0,0,0,0,0,0,19.54,5.79,2.02,1,32,0
48000,2.37,1.99,0.8,0,0,0,93.13,52.43,14.67,85.63,47.74,13.33,0,0,0,0,0,0,19.54,5.79,2.02,2,32,0
49000,2.49,2.03,0.82,0,0,0,93.29,53.79,15.22,85.7,49,13.82,0,0,0,0,0,0,19.54,5.79,2.02,1,32,0
50000,2.49,2.03,0.82,0,0,0,93.29,53.79,15.22,85.7,49,13.82,0,0,0,0,0,0,19.54,5.79,2.02,1,32,0
51000,2.4,2.03,0.82,0,0,0,93.78,55.17,15.77,86.47,50.34,14.35,0,0,0,0,0,0,20.53,6.22,2.18,3,32,0
52000,2.4,2.03,0.82,0,0,0,93.78,55.17,15.77,86.47,50.34,14.35,0,0,0,0,0,0,20.53,6.22,2.18,1,32,0
53000,2.32,2.02,0.83,0,0,0,94.18,56.5,16.32,87.11,51.63,14.86,0,0,0,0,0,0,20.53,6.22,2.18,1,30,0
54000,2.32,2.02,0.83,0,0,0,94.18,56.5,16.32,87.11,51.63,14.86,0,0,0,0,0,0,20.53,6.22,2.18,1,32,0
55000,2.26,2.02,0.84,0,0,0,93.96,57.7,16.84,87.09,52.79,15.36,0,0,0,0,0,0,20.53,6.22,2.18,1,30,0
56000,2.26,2.02,0.84,0,0,0,93.96,57.7,16.84,87.09,52.79,15.36,0,0,0,0,0,0,21.45,6.65,2.34,3,32,0
