time_ms,cpu_psi_some_10,cpu_psi_some_60,cpu_psi_some_300,cpu_psi_full_10,cpu_psi_full_60,cpu_psi_full_300,io_psi_some_10,io_psi_some_60,io_psi_some_300,io_psi_full_10,io_psi_full_60,io_psi_full_300,mem_psi_some_10,mem_psi_some_60,mem_psi_some_300,mem_psi_full_10,mem_psi_full_60,mem_psi_full_300,load_avg_1,load_avg_5,load_avg_15,procs_running,procs_blocked,procs_disk_io
0,7.84,2.64,0.69,0,0,0,0.07,0.41,0.15,0.05,0.32,0.12,0,0,0,0,0,0,3.9,1.03,0.35,16,0,0
1000,9.14,3.05,0.79,0,0,0,0.06,0.4,0.15,0.04,0.3,0.12,0,0,0,0,0,0,3.9,1.03,0.35,8,0,0
2000,9.14,3.05,0.79,0,0,0,0.06,0.4,0.15,0.04,0.3,0.12,0,0,0,0,0,0,4.31,1.16,0.4,8,0,0
3000,9.48,3.31,0.86,0,0,0,0.04,0.38,0.15,0.03,0.29,0.12,0,0,0,0,0,0,4.31,1.16,0.4,7,0,0
4000,9.48,3.31,0.86,0,0,0,0.04,0.38,0.15,0.03,0.29,0.12,0,0,0,0,0,0,4.31,1.16,0.4,7,0,0
5000,11.56,3.89,1,0,0,0,0.04,0.37,0.15,0.03,0.28,0.12,0,0,0,0,0,0,4.31,1.16,0.4,7,0,0
6000,11.56,3.89,1,0,0,0,0.04,0.37,0.15,0.03,0.28,0.12,0,0,0,0,0,0,4.31,1.16,0.4,7,0,0
7000,13.45,4.48,1.14,0,0,0,0.03,0.36,0.14,0.02,0.27,0.11,0,0,0,0,0,0,4.76,1.31,0.45,7,0,0
8000,13.45,4.48,1.14,0,0,0,0.03,0.36,0.14,0.02,0.27,0.11,0,0,0,0,0,0,4.76,1.31,0.45,7,0,0
9000,14.64,4.99,1.27,0,0,0,0.02,0.35,0.14,0.02,0.27,0.11,0,0,0,0,0,0,4.76,1.31,0.45,7,0,0
10000,14.64,4.99,1.27,0,0,0,0.02,0.35,0.14,0.02,0.27,0.11,0,0,0,0,0,0,4.76,1.31,0.45,10,0,0
11000,15.97,5.54,1.41,0,0,0,0.02,0.33,0.14,0.01,0.26,0.11,0,0,0,0,0,0,4.76,1.31,0.45,8,0,0
12000,15.97,5.54,1.41,0,0,0,0.02,0.33,0.14,0.01,0.26,0.11,0,0,0,0,0,0,5.34,1.48,0.51,8,0,0
13000,16.52,5.98,1.54,0,0,0,0.19,0.36,0.15,0.19,0.28,0.12,0,0,0,0,0,0,5.34,1.48,0.51,7,0,0
14000,16.52,5.98,1.54,0,0,0,0.19,0.36,0.15,0.19,0.28,0.12,0,0,0,0,0,0,5.34,1.48,0.51,7,0,0
15000,17.51,6.51,1.68,0,0,0,0.16,0.34,0.15,0.16,0.27,0.12,0,0,0,0,0,0,5.34,1.48,0.51,8,0,0
16000,17.51,6.51,1.68,0,0,0,0.16,0.34,0.15,0.16,0.27,0.12,0,0,0,0,0,0,5.34,1.48,0.51,7,0,0
17000,16.87,6.75,1.76,0,0,0,0.13,0.33,0.14,0.13,0.26,0.12,0,0,0,0,0,0,5.72,1.63,0.56,8,0,0
18000,16.87,6.75,1.76,0,0,0,0.13,0.33,0.14,0.13,0.26,0.12,0,0,0,0,0,0,5.72,1.63,0.56,8,0,0
