time_ms,cpu_psi_some_10,cpu_psi_some_60,cpu_psi_some_300,cpu_psi_full_10,cpu_psi_full_60,cpu_psi_full_300,io_psi_some_10,io_psi_some_60,io_psi_some_300,io_psi_full_10,io_psi_full_60,io_psi_full_300,mem_psi_some_10,mem_psi_some_60,mem_psi_some_300,mem_psi_full_10,mem_psi_full_60,mem_psi_full_300,load_avg_1,load_avg_5,load_avg_15,procs_running,procs_blocked,procs_disk_io
0,2.42,4.25,3.16,0,0,0,51.79,19.99,5.19,47.99,18.76,4.88,0,0,0,0,0,0,6.54,2.51,1.22,10,32,0
1000,2.42,4.25,3.16,0,0,0,51.79,19.99,5.19,47.99,18.76,4.88,0,0,0,0,0,0,6.54,2.51,1.22,1,32,0
2000,2.71,4.24,3.16,0,0,0,58.71,22.28,5.77,54.15,20.83,5.41,0,0,0,0,0,0,6.54,2.51,1.22,1,32,0
3000,2.71,4.24,3.16,0,0,0,58.71,22.28,5.77,54.15,20.83,5.41,0,0,0,0,0,0,6.54,2.51,1.22,1,30,0
4000,2.76,4.2,3.16,0,0,0,64.2,24.46,6.34,58.11,22.63,5.89,0,0,0,0,0,0,8.66,3.02,1.39,1,31,0
5000,2.76,4.2,3.16,0,0,0,64.2,24.46,6.34,58.11,22.63,5.89,0,0,0,0,0,0,8.66,3.02,1.39,2,32,0
6000,2.62,4.12,3.15,0,0,0,68.69,26.57,6.91,62.07,24.51,6.4,0,0,0,0,0,0,8.66,3.02,1.39,1,29,0
7000,2.62,4.12,3.15,0,0,0,68.69,26.57,6.91,62.07,24.51,6.4,0,0,0,0,0,0,8.66,3.02,1.39,3,32,0
8000,2.51,4.05,3.14,0,0,0,72.37,28.62,7.47,65.14,26.29,6.9,0,0,0,0,0,0,8.66,3.02,1.39,1,32,0
9000,2.51,4.05,3.14,0,0,0,72.37,28.62,7.47,65.14,26.29,6.9,0,0,0,0,0,0,10.85,3.57,1.58,1,32,0
10000,2.6,4.02,3.14,0,0,0,75.38,30.59,8.03,67.83,28.05,7.4,0,0,0,0,0,0,10.85,3.57,1.58,4,32,0
11000,2.6,4.02,3.14,0,0,0,75.38,30.59,8.03,67.83,28.05,7.4,0,0,0,0,0,0,10.85,3.57,1.58,4,32,0
12000,2.67,3.99,3.14,0,0,0,77.85,32.5,8.58,70.21,29.78,7.9,0,0,0,0,0,0,10.85,3.57,1.58,1,31,0
13000,2.67,3.99,3.14,0,0,0,77.85,32.5,8.58,70.21,29.78,7.9,0,0,0,0,0,0,10.85,3.57,1.58,2,32,0
14000,2.73,3.95,3.14,0,0,0,79.87,34.35,9.13,72.17,31.46,8.4,0,0,0,0,0,0,12.62,4.05,1.75,2,30,0
15000,2.73,3.95,3.14,0,0,0,79.87,34.35,9.13,72.17,31.46,8.4,0,0,0,0,0,0,12.62,4.05,1.75,1,32,0
16000,2.78,3.92,3.14,0,0,0,81.7,36.17,9.68,73.77,33.08,8.9,0,0,0,0,0,0,12.62,4.05,1.75,1,32,0
17000,2.78,3.92,3.14,0,0,0,81.7,36.17,9.68,73.77,33.08,8.9,0,0,0,0,0,0,12.62,4.05,1.75,8,27,0
18000,2.82,3.89,3.14,0,0,0,83.02,37.9,10.22,74.9,34.62,9.38,0,0,0,0,0,0,12.62,4.05,1.75,1,30,0
19000,2.82,3.89,3.14,0,0,0,83.02,37.9,10.22,74.9,34.62,9.38,0,0,0,0,0,0,14.18,4.52,1.91,1,30,0
20000,2.85,3.86,3.14,0,0,0,84.29,39.6,10.77,76.18,36.17,9.88,0,0,0,0,0,0,14.18,4.52,1.91,1,32,0
21000,2.85,3.86,3.14,0,0,0,84.29,39.6,10.77,76.18,36.17,9.88,0,0,0,0,0,0,14.18,4.52,1.91,9,27,0
22000,2.88,3.83,3.13,0,0,0,85.32,41.25,11.31,77.05,37.63,10.37,0,0,0,0,0,0,14.18,4.52,1.91,1,32,0
23000,2.88,3.83,3.13,0,0,0,85.32,41.25,11.31,77.05,37.63,10.37,0,0,0,0,0,0,14.18,4.52,1.91,4,32,0
24000,2.9,3.8,3.13,0,0,0,85.81,42.78,11.84,77.22,38.95,10.83,0,0,0,0,0,0,15.6,4.98,2.07,1,32,0
25000,2.9,3.8,3.13,0,0,0,85.81,42.78,11.84,77.22,38.95,10.83,0,0,0,0,0,0,15.6,4.98,2.07,1,32,0
26000,2.73,3.75,3.13,0,0,0,86.38,44.3,12.36,77.36,40.23,11.29,0,0,0,0,0,0,15.6,4.98,2.07,4,33,0
27000,2.73,3.75,3.13,0,0,0,86.38,44.3,12.36,77.36,40.23,11.29,0,0,0,0,0,0,15.6,4.98,2.07,3,33,0
28000,2.6,3.69,3.12,0,0,0,86.86,45.76,12.89,77.84,41.53,11.76,0,0,0,0,0,0,15.6,4.98,2.07,1,32,0
29000,2.6,3.69,3.12,0,0,0,86.86,45.76,12.89,77.84,41.53,11.76,0,0,0,0,0,0,17.08,5.46,2.25,3,32,0
30000,2.49,3.63,3.11,0,0,0,87.24,47.17,13.41,78.23,42.79,12.23,0,0,0,0,0,0,17.08,5.46,2.25,4,32,0
31000,2.49,3.63,3.11,0,0,0,87.24,47.17,13.41,78.23,42.79,12.23,0,0,0,0,0,0,17.08,5.46,2.25,1,29,0
32000,2.58,3.61,3.11,0,0,0,87.56,48.54,13.93,78.55,44.01,12.69,0,0,0,0,0,0,17.08,5.46,2.25,4,31,0
33000,2.58,3.61,3.11,0,0,0,87.56,48.54,13.93,78.55,44.01,12.69,0,0,0,0,0,0,17.08,5.46,2.25,2,32,0
34000,2.48,3.56,3.1,0,0,0,88,49.9,14.45,78.99,45.22,13.16,0,0,0,0,0,0,18.27,5.9,2.41,2,32,0
35000,2.48,3.56,3.1,0,0,0,88,49.9,14.45,78.99,45.22,13.16,0,0,0,0,0,0,18.27,5.9,2.41,1,32,0
36000,2.57,3.54,3.1,0,0,0,88.36,51.21,14.96,79.54,46.42,13.63,0,0,0,0,0,0,18.27,5.9,2.41,4,32,0
37000,2.57,3.54,3.1,0,0,0,88.36,51.21,14.96,79.54,46.42,13.63,0,0,0,0,0,0,18.27,5.9,2.41,6,32,0
38000,2.65,3.52,3.1,0,0,0,88.3,52.41,15.46,79.26,47.45,14.07,0,0,0,0,0,0,18.27,5.9,2.41,1,29,0
39000,2.65,3.52,3.1,0,0,0,88.3,52.41,15.46,79.26,47.45,14.07,0,0,0,0,0,0,19.37,6.33,2.56,2,32,0
40000,2.71,3.5,3.1,0,0,0,88.42,53.61,15.97,79.75,48.59,14.53,0,0,0,0,0,0,19.37,6.33,2.56,2,32,0
41000,2.71,3.5,3.1,0,0,0,88.42,53.61,15.97,79.75,48.59,14.53,0,0,0,0,0,0,19.37,6.33,2.56,1,31,0
42000,2.76,3.49,3.1,0,0,0,88.53,54.77,16.46,79.8,49.61,14.98,0,0,0,0,0,0,19.37,6.33,2.56,3,32,0
43000,2.76,3.49,3.1,0,0,0,88.53,54.77,16.46,79.8,49.61,14.98,0,0,0,0,0,0,19.37,6.33,2.56,3,32,0
44000,2.99,3.5,3.1,0,0,0,88.61,55.89,16.96,80.2,50.67,15.44,0,0,0,0,0,0,20.38,6.76,2.72,5,32,0
45000,2.99,3.5,3.1,0,0,0,88.61,55.89,16.96,80.2,50.67,15.44,0,0,0,0,0,0,20.38,6.76,2.72,1,32,0
46000,2.99,3.49,3.1,0,0,0,88.68,56.97,17.45,80.34,51.66,15.89,0,0,0,0,0,0,20.38,6.76,2.72,1,31,0
47000,2.99,3.49,3.1,0,0,0,88.68,56.97,17.45,80.34,51.66,15.89,0,0,0,0,0,0,20.38,6.76,2.72,2,31,0
48000,2.99,3.47,3.1,0,0,0,88.74,58.02,17.94,80.64,52.66,16.34,0,0,0,0,0,0,20.38,6.76,2.72,1,32,0
49000,2.99,3.47,3.1,0,0,0,88.74,58.02,17.94,80.64,52.66,16.34,0,0,0,0,0,0,21.39,7.19,2.89,1,30,0
50000,2.81,3.42,3.09,0,0,0,88.79,59.03,18.43,80.34,53.52,16.77,0,0,0,0,0,0,21.39,7.19,2.89,3,32,0
51000,2.81,3.42,3.09,0,0,0,88.79,59.03,18.43,80.34,53.52,16.77,0,0,0,0,0,0,21.39,7.19,2.89,1,32,0
52000,2.84,3.41,3.09,0,0,0,88.28,59.91,18.89,79.19,54.19,17.16,0,0,0,0,0,0,21.39,7.19,2.89,3,32,0
53000,2.84,3.41,3.09,0,0,0,88.28,59.91,18.89,79.19,54.19,17.16,0,0,0,0,0,0,21.39,7.19,2.89,1,31,0
54000,2.87,3.39,3.09,0,0,0,88.41,60.87,19.37,79.16,55,17.58,0,0,0,0,0,0,22.24,7.61,3.04,1,32,0
55000,2.87,3.39,3.09,0,0,0,88.41,60.87,19.37,79.16,55,17.58,0,0,0,0,0,0,22.24,7.61,3.04,3,31,0
56000,2.71,3.35,3.08,0,0,0,88.7,61.82,19.85,79.49,55.85,18.02,0,0,0,0,0,0,22.24,7.61,3.04,1,32,0
57000,2.71,3.35,3.08,0,0,0,88.7,61.82,19.85,79.49,55.85,18.02,0,0,0,0,0,0,22.24,7.61,3.04,1,32,0
58000,2.76,3.34,3.08,0,0,0,88.39,62.64,20.31,78.68,56.48,18.41,0,0,0,0,0,0,22.24,7.61,3.04,1,28,0
59000,2.76,3.34,3.08,0,0,0,88.39,62.64,20.31,78.68,56.48,18.41,0,0,0,0,0,0,23.11,8.03,3.2,1,32,0
60000,2.62,3.29,3.08,0,0,0,88.5,63.51,20.78,78.91,57.25,18.83,0,0,0,0,0,0,23.11,8.03,3.2,4,32,0
61000,2.62,3.29,3.08,0,0,0,88.5,63.51,20.78,78.91,57.25,18.83,0,0,0,0,0,0,23.11,8.03,3.2,7,29,0
