time_ms,cpu_psi_some_10,cpu_psi_some_60,cpu_psi_some_300,cpu_psi_full_10,cpu_psi_full_60,cpu_psi_full_300,io_psi_some_10,io_psi_some_60,io_psi_some_300,io_psi_full_10,io_psi_full_60,io_psi_full_300,mem_psi_some_10,mem_psi_some_60,mem_psi_some_300,mem_psi_full_10,mem_psi_full_60,mem_psi_full_300,load_avg_1,load_avg_5,load_avg_15,procs_running,procs_blocked,procs_disk_io
0,4.7,1.76,0.58,0,0,0,0,0.25,0.14,0,0.19,0.11,0.14,0.03,0,0.14,0.03,0,2.05,0.86,0.32,9,0,0
1000,4.7,1.76,0.58,0,0,0,0,0.25,0.14,0,0.19,0.11,0.14,0.03,0,0.14,0.03,0,2.05,0.86,0.32,10,0,0
2000,5.84,2.06,0.65,0,0,0,0,0.24,0.14,0,0.18,0.11,0.12,0.02,0,0.12,0.02,0,2.05,0.86,0.32,7,0,0
3000,5.84,2.06,0.65,0,0,0,0,0.24,0.14,0,0.18,0.11,0.12,0.02,0,0.12,0.02,0,2.05,0.86,0.32,7,0,0
4000,7.5,2.49,0.74,0,0,0,0,0.23,0.14,0,0.18,0.11,0.09,0.02,0,0.09,0.02,0,2.53,0.98,0.36,7,0,0
5000,7.5,2.49,0.74,0,0,0,0,0.23,0.14,0,0.18,0.11,0.09,0.02,0,0.09,0.02,0,2.53,0.98,0.36,9,0,0
6000,8.68,2.86,0.84,0,0,0,0,0.22,0.14,0,0.17,0.11,0.08,0.02,0,0.08,0.02,0,2.53,0.98,0.36,10,0,0
7000,8.68,2.86,0.84,0,0,0,0,0.22,0.14,0,0.17,0.11,0.08,0.02,0,0.08,0.02,0,2.53,0.98,0.36,8,0,0
8000,9.1,3.13,0.91,0,0,0,0,0.21,0.13,0,0.16,0.1,0.06,0.02,0,0.06,0.02,0,2.53,0.98,0.36,7,0,0
9000,9.1,3.13,0.91,0,0,0,0,0.21,0.13,0,0.16,0.1,0.06,0.02,0,0.06,0.02,0,3.21,1.15,0.42,8,1,0
10000,9.98,3.49,1,0,0,0,0,0.21,0.13,0,0.16,0.1,0.05,0.02,0,0.05,0.02,0,3.21,1.15,0.42,9,0,0
11000,9.98,3.49,1,0,0,0,0,0.21,0.13,0,0.16,0.1,0.05,0.02,0,0.05,0.02,0,3.21,1.15,0.42,9,0,0
12000,10.53,3.8,1.08,0,0,0,0,0.2,0.13,0,0.15,0.1,0.04,0.02,0,0.04,0.02,0,3.21,1.15,0.42,7,0,0
13000,10.53,3.8,1.08,0,0,0,0,0.2,0.13,0,0.15,0.1,0.04,0.02,0,0.04,0.02,0,3.21,1.15,0.42,11,0,0
14000,11.16,4.13,1.17,0,0,0,0,0.19,0.13,0,0.15,0.1,0.03,0.02,0,0.03,0.02,0,3.67,1.28,0.46,8,0,0
15000,11.16,4.13,1.17,0,0,0,0,0.19,0.13,0,0.15,0.1,0.03,0.02,0,0.03,0.02,0,3.67,1.28,0.46,9,0,0
16000,11.13,4.36,1.23,0,0,0,0,0.19,0.13,0,0.14,0.1,0.02,0.02,0,0.02,0.02,0,3.67,1.28,0.46,8,0,0
17000,11.13,4.36,1.23,0,0,0,0,0.19,0.13,0,0.14,0.1,0.02,0.02,0,0.02,0.02,0,3.67,1.28,0.46,7,1,0
18000,11.29,4.61,1.31,0,0,0,0,0.18,0.13,0,0.14,0.1,0.02,0.02,0,0.02,0.02,0,3.67,1.28,0.46,7,0,0
19000,11.29,4.61,1.31,0,0,0,0,0.18,0.13,0,0.14,0.1,0.02,0.02,0,0.02,0.02,0,4.1,1.4,0.51,7,0,0
20000,11.41,4.85,1.38,0,0,0,0,0.17,0.13,0,0.13,0.1,0.01,0.02,0,0.01,0.02,0,4.1,1.4,0.51,9,0,0
21000,11.41,4.85,1.38,0,0,0,0,0.17,0.13,0,0.13,0.1,0.01,0.02,0,0.01,0.02,0,4.1,1.4,0.51,7,0,0
