time_ms,cpu_cores,cpu_psi_some_10,cpu_psi_some_60,cpu_psi_some_300,cpu_psi_full_10,cpu_psi_full_60,cpu_psi_full_300,io_psi_some_10,io_psi_some_60,io_psi_some_300,io_psi_full_10,io_psi_full_60,io_psi_full_300,mem_psi_some_10,mem_psi_some_60,mem_psi_some_300,mem_psi_full_10,mem_psi_full_60,mem_psi_full_300,load_avg_1,load_avg_5,load_avg_15,procs_running,procs_blocked,procs_disk_io
0,12,0.36,0.15,0.26,0,0,0,0.02,0.09,0.11,0.02,0.08,0.06,0,0,0,0,0,0,0.53,0.49,0.21,18,0,0
1000,12,2.28,0.51,0.34,0,0,0,0.02,0.09,0.11,0.02,0.08,0.06,0,0,0,0,0,0,1.45,0.68,0.28,17,0,0
2000,12,2.28,0.51,0.34,0,0,0,0.02,0.09,0.11,0.02,0.08,0.06,0,0,0,0,0,0,1.45,0.68,0.28,14,0,0
3000,12,3.68,0.82,0.4,0,0,0,0.01,0.09,0.11,0.01,0.07,0.06,0,0,0,0,0,0,1.45,0.68,0.28,17,0,0
4000,12,3.68,0.82,0.4,0,0,0,0.01,0.09,0.11,0.01,0.07,0.06,0,0,0,0,0,0,1.45,0.68,0.28,2,0,0
5000,12,5.73,1.28,0.5,0,0,0,0.01,0.08,0.11,0.01,0.07,0.06,0,0,0,0,0,0,1.45,0.68,0.28,16,0,0
6000,12,5.73,1.28,0.5,0,0,0,0.01,0.08,0.11,0.01,0.07,0.06,0,0,0,0,0,0,2.3,0.87,0.34,23,0,0
7000,12,7.95,1.83,0.62,0,0,0,0.01,0.08,0.11,0.01,0.07,0.06,0,0,0,0,0,0,2.3,0.87,0.34,18,0,0
8000,12,7.95,1.83,0.62,0,0,0,0.01,0.08,0.11,0.01,0.07,0.06,0,0,0,0,0,0,2.3,0.87,0.34,6,0,0
9000,12,11.58,2.68,0.81,0,0,0,0,0.08,0.11,0,0.07,0.06,0,0,0,0,0,0,2.3,0.87,0.34,2,0,0
10000,12,11.58,2.68,0.81,0,0,0,0,0.08,0.11,0,0.07,0.06,0,0,0,0,0,0,2.3,0.87,0.34,2,0,0
