time_ms,cpu_cores,cpu_psi_some_10,cpu_psi_some_60,cpu_psi_some_300,cpu_psi_full_10,cpu_psi_full_60,cpu_psi_full_300,io_psi_some_10,io_psi_some_60,io_psi_some_300,io_psi_full_10,io_psi_full_60,io_psi_full_300,mem_psi_some_10,mem_psi_some_60,mem_psi_some_300,mem_psi_full_10,mem_psi_full_60,mem_psi_full_300,load_avg_1,load_avg_5,load_avg_15,procs_running,procs_blocked,procs_disk_io
0,12,0.07,0.67,0.99,0,0,0,0.27,0.09,0.14,0.27,0.09,0.12,0,0,0,0,0,0,3.86,3.35,1.57,4,0,0
1000,12,0.07,0.67,0.99,0,0,0,0.27,0.09,0.14,0.27,0.09,0.12,0,0,0,0,0,0,3.56,3.3,1.56,2,0,0
2000,12,0.05,0.64,0.99,0,0,0,0.22,0.09,0.14,0.22,0.09,0.12,0,0,0,0,0,0,3.56,3.3,1.56,4,0,0
3000,12,0.05,0.64,0.99,0,0,0,0.22,0.09,0.14,0.22,0.09,0.12,0,0,0,0,0,0,3.56,3.3,1.56,2,0,0
4000,12,0.04,0.62,0.98,0,0,0,0.18,0.09,0.14,0.18,0.09,0.11,0,0,0,0,0,0,3.56,3.3,1.56,1,0,0
5000,12,0.04,0.62,0.98,0,0,0,0.18,0.09,0.14,0.18,0.09,0.11,0,0,0,0,0,0,3.56,3.3,1.56,1,0,0
6000,12,0.03,0.6,0.97,0,0,0,0.15,0.08,0.13,0.15,0.08,0.11,0,0,0,0,0,0,3.27,3.24,1.55,1,0,0
7000,12,0.03,0.6,0.97,0,0,0,0.15,0.08,0.13,0.15,0.08,0.11,0,0,0,0,0,0,3.27,3.24,1.55,1,0,0
8000,12,0.03,0.58,0.97,0,0,0,0.12,0.08,0.13,0.12,0.08,0.11,0,0,0,0,0,0,3.27,3.24,1.55,6,0,0
9000,12,0.03,0.58,0.97,0,0,0,0.12,0.08,0.13,0.12,0.08,0.11,0,0,0,0,0,0,3.27,3.24,1.55,5,0,0
10000,12,0.02,0.56,0.96,0,0,0,0.1,0.08,0.13,0.1,0.08,0.11,0,0,0,0,0,0,3.27,3.24,1.55,6,0,0
