time_ms,cpu_cores,cpu_psi_some_10,cpu_psi_some_60,cpu_psi_some_300,cpu_psi_full_10,cpu_psi_full_60,cpu_psi_full_300,io_psi_some_10,io_psi_some_60,io_psi_some_300,io_psi_full_10,io_psi_full_60,io_psi_full_300,mem_psi_some_10,mem_psi_some_60,mem_psi_some_300,mem_psi_full_10,mem_psi_full_60,mem_psi_full_300,load_avg_1,load_avg_5,load_avg_15,procs_running,procs_blocked,procs_disk_io
0,12,1.63,0.53,0.21,0,0,0,0,0,0.03,0,0,0,0,0.18,0.18,0,0.18,0.18,7.64,3.51,1.73,11,0,0
1000,12,1.88,0.61,0.23,0,0,0,0,0,0.03,0,0,0,0,0.18,0.18,0,0.18,0.18,7.64,3.51,1.73,14,0,0
2000,12,1.88,0.61,0.23,0,0,0,0,0,0.03,0,0,0,0,0.18,0.18,0,0.18,0.18,7.64,3.51,1.73,8,0,0
3000,12,1.9,0.66,0.24,0,0,0,0,0,0.03,0,0,0,0,0.17,0.18,0,0.17,0.18,7.64,3.51,1.73,8,0,0
4000,12,1.9,0.66,0.24,0,0,0,0,0,0.03,0,0,0,0,0.17,0.18,0,0.17,0.18,7.58,3.56,1.76,7,0,0
5000,12,1.92,0.7,0.25,0,0,0,0,0,0.03,0,0,0,0,0.16,0.18,0,0.16,0.18,7.58,3.56,1.76,7,0,0
6000,12,1.92,0.7,0.25,0,0,0,0,0,0.03,0,0,0,0,0.16,0.18,0,0.16,0.18,7.58,3.56,1.76,8,0,0
7000,12,1.93,0.74,0.26,0,0,0,0,0,0.03,0,0,0,0,0.16,0.17,0,0.16,0.17,7.58,3.56,1.76,8,0,0
8000,12,1.93,0.74,0.26,0,0,0,0,0,0.03,0,0,0,0,0.16,0.17,0,0.16,0.17,7.58,3.56,1.76,7,0,0
9000,12,1.94,0.78,0.28,0,0,0,0,0,0.03,0,0,0,0,0.15,0.17,0,0.15,0.17,7.46,3.6,1.78,7,0,0
10000,12,1.94,0.78,0.28,0,0,0,0,0,0.03,0,0,0,0,0.15,0.17,0,0.15,0.17,7.46,3.6,1.78,8,0,0
