Task,Runtime_ms,Count,Avg_delay_ms,Max_delay_ms,Max_delay_start,Max_delay_end
supertux:gdrv0:(2),1279.863,4557,0.344,11.973,18700.856474,18700.868448
supertuxka:sh0:87332,2.697,28,0.334,1.514,18689.160975,18689.162489
supertuxka:sh2:87358,1.750,22,0.325,0.855,18690.205591,18690.206446
supertuxka:gl0:(2),1334.384,4823,0.299,1.921,18748.413526,18748.415447
supertuxka:sh3:87359,1.442,21,0.291,1.080,18693.125332,18693.126412
supertuxka:sh7:87365,0.996,17,0.291,0.804,18690.188652,18690.189456
supertuxka:sh1:87357,2.457,25,0.269,0.812,18689.278855,18689.279666
supertuxka:sh6:87362,1.708,19,0.266,0.773,18690.202672,18690.203445
supertuxka:sh8:87366,1.167,17,0.234,0.740,18690.210708,18690.211447
supertuxka:sh5:87361,1.814,21,0.174,1.004,18691.217646,18691.218649
supertuxka:cs0:87329,1117.589,3507,0.167,4.843,18700.868611,18700.873454
supertuxkart:87245,18313.280,24956,0.134,2.001,18692.961452,18692.963453
supertuxka:sh4:87360,1.491,20,0.122,0.784,18689.286694,18689.287478
