Task,Runtime_ms,Count,Avg_delay_ms,Max_delay_ms,Max_delay_start,Max_delay_end
supertuxka:sh7:88379,0.754,18,0.315,0.844,18832.351614,18832.352458
supertux:gdrv0:(2),1437.841,4797,0.312,3.086,18869.215690,18869.218776
supertuxka:sh3:88330,1.414,22,0.288,0.938,18831.358515,18831.359453
supertuxka:sh8:88380,1.329,17,0.269,0.739,18831.332708,18831.333447
supertuxka:sh2:88329,2.176,22,0.245,0.771,18830.328685,18830.329455
supertuxka:sh1:88328,2.094,25,0.237,0.814,18830.327638,18830.328452
supertuxka:gl0:(2),1449.499,5153,0.235,1.506,18869.213951,18869.215457
supertuxka:sh5:88332,2.154,19,0.218,0.852,18832.310600,18832.311452
supertuxka:sh6:88378,1.162,17,0.157,0.734,18831.334712,18831.335447
supertuxka:sh0:88303,4.019,30,0.149,0.841,18830.324604,18830.325445
supertuxka:cs0:88301,1225.785,3710,0.142,1.673,18856.508795,18856.510468
supertuxkart:88252,19707.139,23369,0.136,1.973,18869.227481,18869.229454
supertuxka:sh4:88331,1.568,21,0.127,0.801,18831.337646,18831.338447
