Task,Runtime_ms,Count,Avg_delay_ms,Max_delay_ms,Max_delay_start,Max_delay_end
supertux:gdrv0:(2),428.687,1233,10.919,20.992,19025.072452,19025.093444
supertuxka:cs0:89774,427.352,1654,8.175,21.000,19039.367444,19039.388443
supertuxka:gl0:(2),394.663,1880,4.564,20.866,19030.038571,19030.059437
supertuxkart:89746,9033.659,10489,1.518,17.802,19018.359733,19018.377536
supertuxka:sh1:89816,2.265,22,1.203,23.820,19018.809080,19018.832901
supertuxka:sh2:89817,1.277,21,1.164,21.490,19018.811617,19018.833107
supertuxka:sh3:89818,1.452,19,0.643,10.706,19018.832869,19018.843575
supertuxka:sh8:89850,0.480,16,0.427,3.781,19020.163788,19020.167569
supertuxka:sh4:89819,1.064,20,0.372,5.398,19018.834154,19018.839553
supertuxka:sh5:89820,1.718,20,0.328,4.767,19018.834821,19018.839588
supertuxka:sh0:89786,2.879,30,0.308,5.224,19018.424308,19018.429532
supertuxka:sh7:89849,0.915,17,0.237,2.455,19020.055999,19020.058454
supertuxka:sh6:89821,1.372,19,0.237,2.760,19018.840010,19018.842770
