Task,Runtime_ms,Count,Avg_delay_ms,Max_delay_ms,Max_delay_start,Max_delay_end
supertuxka:sh7:93296,1.579,17,2.172,11.871,20018.131621,20018.143492
supertuxka:sh6:93295,1.267,19,2.130,11.865,20018.131642,20018.143507
supertuxkart:93165,13930.686,16034,1.152,20.984,19967.360458,19967.381443
supertuxka:sh1:93284,2.305,27,0.783,9.389,20018.155083,20018.164472
supertuxka:sh5:93288,1.671,19,0.429,1.641,19969.215800,19969.217442
supertuxka:sh3:93286,1.694,20,0.398,1.942,19972.845503,19972.847445
supertuxka:sh2:93285,2.122,24,0.296,1.441,19969.276943,19969.278384
supertux:gdrv0:(2),890.641,4096,0.286,11.821,19994.736715,19994.748536
supertuxka:gl0:(2),840.997,3341,0.278,14.918,19978.485617,19978.500535
supertuxka:sh8:93297,1.793,17,0.231,0.806,19969.215639,19969.216445
supertuxka:sh4:93287,1.532,20,0.229,0.632,19969.148809,19969.149441
supertuxka:sh0:93259,2.977,30,0.216,0.866,19969.148683,19969.149550
supertuxka:cs0:93257,767.318,2537,0.167,14.877,19973.499574,19973.514452
