comm,parent,sched-in,run-time,min-run,avg-run,max-run,stddev,migrations
cc[79528,-1,1,0.438,0.438,0.438,0.438,0.00,0
cc[78664,-1,1,0.523,0.523,0.523,0.523,0.00,0
cc[78520,-1,1,0.685,0.685,0.685,0.685,0.00,0
cc[80960,-1,1,0.494,0.494,0.494,0.494,0.00,0
cc[78376,-1,1,0.454,0.454,0.454,0.454,0.00,0
ln[79952,-1,1,0.978,0.978,0.978,0.978,0.00,0
ln[79808,-1,1,1.148,1.148,1.148,1.148,0.00,0
cc[79520,-1,1,0.315,0.315,0.315,0.315,0.00,0
cc[78944,-1,1,0.477,0.477,0.477,0.477,0.00,0
cc[78800,-1,1,0.655,0.655,0.655,0.655,0.00,0
cc[78216,-1,1,0.467,0.467,0.467,0.467,0.00,0
cc[80512,-1,1,0.691,0.691,0.691,0.691,0.00,0
ln[79936,-1,1,1.107,1.107,1.107,1.107,0.00,0
ld[79504,-1,1,21.798,21.798,21.798,21.798,0.00,0
cc[79072,-1,1,0.607,0.607,0.607,0.607,0.00,0
cc[78352,-1,1,0.604,0.604,0.604,0.604,0.00,0
cc[78208,-1,1,0.741,0.741,0.741,0.741,0.00,0
cc[77920,-1,1,0.585,0.585,0.585,0.585,0.00,0
ln[79928,-1,2,1.266,0.022,0.633,1.244,96.49,0
cc[78056,-1,1,0.467,0.467,0.467,0.467,0.00,0
cc[79344,-1,1,0.778,0.778,0.778,0.778,0.00,0
cc[79056,-1,1,0.449,0.449,0.449,0.449,0.00,0
cc[78912,-1,2,0.612,0.022,0.306,0.589,92.49,0
cc[78768,-1,1,0.843,0.843,0.843,0.843,0.00,0
cc[78192,-1,1,1.073,1.073,1.073,1.073,0.00,0
cc[80488,-1,1,0.466,0.466,0.466,0.466,0.00,0
cc[77904,-1,1,0.430,0.430,0.430,0.430,0.00,0
ln[79912,-1,1,0.880,0.880,0.880,0.880,0.00,0
ln[79624,-1,2,0.925,0.021,0.462,0.903,95.29,0
cc[79336,-1,1,0.310,0.310,0.310,0.310,0.00,0
cc[79048,-1,1,0.594,0.594,0.594,0.594,0.00,0
cc[78472,-1,1,0.537,0.537,0.537,0.537,0.00,0
cc[78328,-1,1,0.641,0.641,0.641,0.641,0.00,0
ld[80768,-1,1,14.225,14.225,14.225,14.225,0.00,0
cc[78184,-1,1,0.470,0.470,0.470,0.470,0.00,0
cc[77896,-1,1,0.491,0.491,0.491,0.491,0.00,0
cc[78752,-1,1,0.469,0.469,0.469,0.469,0.00,0
cc[78608,-1,1,0.758,0.758,0.758,0.758,0.00,0
cc[78464,-1,1,0.605,0.605,0.605,0.605,0.00,0
cc[80904,-1,1,0.598,0.598,0.598,0.598,0.00,0
ln[79752,-1,1,1.012,1.012,1.012,1.012,0.00,0
cc[79032,-1,1,1.094,1.094,1.094,1.094,0.00,0
cc[78888,-1,1,1.188,1.188,1.188,1.188,0.00,0
cc[78168,-1,1,0.458,0.458,0.458,0.458,0.00,0
cc[78024,-1,1,0.704,0.704,0.704,0.704,0.00,0
cc[77880,-1,1,0.469,0.469,0.469,0.469,0.00,0
ln[79888,-1,2,1.148,0.020,0.574,1.128,96.46,0
cc[79312,-1,1,0.810,0.810,0.810,0.810,0.00,0
cc[78448,-1,1,0.536,0.536,0.536,0.536,0.00,0
cc[78304,-1,1,0.691,0.691,0.691,0.691,0.00,0
