comm,parent,sched-in,run-time,min-run,avg-run,max-run,stddev,migrations
cc[349984,-1,1,0.572,0.572,0.572,0.572,0.00,0
cc[349840,-1,1,0.590,0.590,0.590,0.590,0.00,0
cc[352136,-1,1,0.699,0.699,0.699,0.699,0.00,0
cc[349552,-1,1,0.584,0.584,0.584,0.584,0.00,0
ln[351416,-1,2,1.114,0.015,0.557,1.099,97.20,0
ln[351272,-1,1,0.986,0.986,0.986,0.986,0.00,0
cc[350840,-1,1,0.648,0.648,0.648,0.648,0.00,0
cc[350696,-1,1,0.840,0.840,0.840,0.840,0.00,0
cc[350552,-1,1,0.699,0.699,0.699,0.699,0.00,0
cc[350408,-1,1,0.523,0.523,0.523,0.523,0.00,0
cc[350264,-1,1,0.528,0.528,0.528,0.528,0.00,0
cc[350120,-1,1,0.493,0.493,0.493,0.493,0.00,0
cc[349976,-1,1,0.536,0.536,0.536,0.536,0.00,0
cc[352272,-1,1,0.611,0.611,0.611,0.611,0.00,0
cc[349544,-1,1,0.575,0.575,0.575,0.575,0.00,0
cc[350256,-1,1,0.622,0.622,0.622,0.622,0.00,0
cc[350112,-1,1,0.739,0.739,0.739,0.739,0.00,0
cc[349680,-1,1,0.494,0.494,0.494,0.494,0.00,0
cc[352120,-1,1,0.561,0.561,0.561,0.561,0.00,0
cc[349536,-1,1,0.708,0.708,0.708,0.708,0.00,0
ln[351544,-1,1,1.031,1.031,1.031,1.031,0.00,0
cc[351112,-1,1,0.737,0.737,0.737,0.737,0.00,0
cc[350968,-1,1,0.555,0.555,0.555,0.555,0.00,0
cc[350824,-1,1,0.541,0.541,0.541,0.541,0.00,0
cc[350536,-1,1,0.570,0.570,0.570,0.570,0.00,0
cc[350104,-1,1,0.538,0.538,0.538,0.538,0.00,0
cc[349960,-1,1,0.671,0.671,0.671,0.671,0.00,0
ld[351968,-1,2,10.491,1.511,5.245,8.979,71.18,0
ln[351248,-1,1,0.612,0.612,0.612,0.612,0.00,0
cc[350960,-1,1,0.622,0.622,0.622,0.622,0.00,0
cc[350672,-1,1,0.639,0.639,0.639,0.639,0.00,0
cc[350384,-1,1,0.587,0.587,0.587,0.587,0.00,0
cc[352248,-1,1,0.523,0.523,0.523,0.523,0.00,0
cc[352104,-1,1,0.520,0.520,0.520,0.520,0.00,0
cc[350808,-1,1,0.747,0.747,0.747,0.747,0.00,0
ld[352672,-1,1,124.195,124.195,124.195,124.195,0.00,0
cc[349944,-1,1,0.761,0.761,0.761,0.761,0.00,0
cc[351952,-1,1,0.407,0.407,0.407,0.407,0.00,0
ln[351664,-1,1,1.013,1.013,1.013,1.013,0.00,0
cc[350656,-1,1,0.600,0.600,0.600,0.600,0.00,0
cc[350080,-1,1,0.679,0.679,0.679,0.679,0.00,0
cc[349936,-1,1,0.550,0.550,0.550,0.550,0.00,0
cc[349504,-1,1,0.750,0.750,0.750,0.750,0.00,0
ln[351368,-1,2,1.165,0.018,0.582,1.147,96.88,0
cc[350936,-1,1,0.684,0.684,0.684,0.684,0.00,0
cc[350792,-1,1,0.605,0.605,0.605,0.605,0.00,0
cc[350648,-1,1,0.746,0.746,0.746,0.746,0.00,0
cc[350216,-1,1,0.540,0.540,0.540,0.540,0.00,0
cc[349928,-1,1,0.581,0.581,0.581,0.581,0.00,0
ld[351216,-1,1,18.028,18.028,18.028,18.028,0.00,0
cc[350352,-1,1,0.871,0.871,0.871,0.871,0.00,0
cc[351928,-1,1,0.445,0.445,0.445,0.445,0.00,0
ln[351640,-1,2,1.127,0.016,0.563,1.111,97.09,0
ln[351352,-1,2,1.253,0.164,0.626,1.088,73.72,0
cc[350632,-1,1,0.888,0.888,0.888,0.888,0.00,0
cc[350488,-1,1,0.653,0.653,0.653,0.653,0.00,0
cc[350056,-1,1,0.651,0.651,0.651,0.651,0.00,0
cc[349912,-1,1,0.806,0.806,0.806,0.806,0.00,0
cc[349768,-1,1,0.603,0.603,0.603,0.603,0.00,0
cc[352208,-1,1,0.581,0.581,0.581,0.581,0.00,0
ln[351344,-1,1,0.599,0.599,0.599,0.599,0.00,0
cc[351200,-1,1,0.330,0.330,0.330,0.330,0.00,0
cc[350912,-1,1,0.845,0.845,0.845,0.845,0.00,0
cc[350768,-1,1,0.652,0.652,0.652,0.652,0.00,0
cc[350480,-1,1,0.542,0.542,0.542,0.542,0.00,0
cc[350336,-1,1,0.523,0.523,0.523,0.523,0.00,0
cc[350048,-1,1,0.512,0.512,0.512,0.512,0.00,0
cc[352344,-1,1,0.459,0.459,0.459,0.459,0.00,0
cc[351192,-1,1,0.348,0.348,0.348,0.348,0.00,0
cc[352624,-1,1,0.719,0.719,0.719,0.719,0.00,0
cc[349888,-1,1,0.582,0.582,0.582,0.582,0.00,0
ln[351464,-1,1,0.968,0.968,0.968,0.968,0.00,0
cc[350888,-1,1,0.733,0.733,0.733,0.733,0.00,0
cc[350744,-1,1,0.692,0.692,0.692,0.692,0.00,0
cc[350312,-1,1,0.591,0.591,0.591,0.591,0.00,0
cc[350168,-1,1,0.780,0.780,0.780,0.780,0.00,0
cc[352608,-1,1,0.915,0.915,0.915,0.915,0.00,0
cc[352320,-1,1,0.551,0.551,0.551,0.551,0.00,0
cc[349736,-1,1,0.580,0.580,0.580,0.580,0.00,0
cc[350736,-1,1,0.592,0.592,0.592,0.592,0.00,0
cc[350160,-1,1,0.637,0.637,0.637,0.637,0.00,0
cc[352600,-1,1,0.570,0.570,0.570,0.570,0.00,0
cc[352168,-1,1,0.502,0.502,0.502,0.502,0.00,0
cc[349584,-1,1,0.963,0.963,0.963,0.963,0.00,0
ln[351448,-1,1,1.049,1.049,1.049,1.049,0.00,0
cc[350008,-1,1,0.563,0.563,0.563,0.563,0.00,0
cc[349864,-1,1,0.688,0.688,0.688,0.688,0.00,0
cc[352160,-1,1,0.757,0.757,0.757,0.757,0.00,0
ln[351584,-1,2,1.097,0.014,0.548,1.082,97.33,0
ln[351440,-1,2,1.065,0.011,0.532,1.054,97.89,0
ln[351296,-1,2,1.110,0.014,0.555,1.096,97.41,0
cc[351008,-1,1,0.478,0.478,0.478,0.478,0.00,0
cc[350432,-1,1,0.589,0.589,0.589,0.589,0.00,0
cc[352584,-1,1,0.579,0.579,0.579,0.579,0.00,0
cc[352296,-1,1,0.569,0.569,0.569,0.569,0.00,0
cc[350424,-1,1,0.608,0.608,0.608,0.608,0.00,0
cc[350280,-1,1,0.966,0.966,0.966,0.966,0.00,0
cc[352144,-1,1,0.540,0.540,0.540,0.540,0.00,0
ln[351424,-1,1,0.969,0.969,0.969,0.969,0.00,0
cc[350848,-1,1,0.616,0.616,0.616,0.616,0.00,0
cc[350560,-1,1,0.568,0.568,0.568,0.568,0.00,0
cc[350416,-1,1,0.788,0.788,0.788,0.788,0.00,0
cc[352657,-1,1,0.668,0.668,0.668,0.668,0.00,0
cc[349785,-1,1,0.457,0.457,0.457,0.457,0.00,0
cc[349497,-1,1,0.780,0.780,0.780,0.780,0.00,0
cc[351217,-1,1,0.325,0.325,0.325,0.325,0.00,0
cc[350497,-1,1,0.677,0.677,0.677,0.677,0.00,0
cc[350065,-1,1,0.872,0.872,0.872,0.872,0.00,0
cc[349921,-1,1,0.452,0.452,0.452,0.452,0.00,0
cc[350921,-1,1,0.532,0.532,0.532,0.532,0.00,0
cc[350345,-1,1,0.540,0.540,0.540,0.540,0.00,0
cc[350201,-1,1,0.673,0.673,0.673,0.673,0.00,0
cc[352353,-1,1,0.501,0.501,0.501,0.501,0.00,0
cc[351921,-1,1,0.557,0.557,0.557,0.557,0.00,0
cc[351201,-1,1,0.470,0.470,0.470,0.470,0.00,0
cc[352633,-1,1,0.615,0.615,0.615,0.615,0.00,0
cc[349905,-1,1,0.662,0.662,0.662,0.662,0.00,0
cc[349617,-1,1,0.704,0.704,0.704,0.704,0.00,0
cc[351193,-1,1,0.444,0.444,0.444,0.444,0.00,0
cc[350617,-1,1,0.625,0.625,0.625,0.625,0.00,0
cc[350473,-1,1,0.666,0.666,0.666,0.666,0.00,0
cc[349897,-1,1,0.772,0.772,0.772,0.772,0.00,0
cc[349609,-1,1,0.791,0.791,0.791,0.791,0.00,0
ln[351617,-1,1,0.919,0.919,0.919,0.919,0.00,0
cc[350753,-1,1,0.684,0.684,0.684,0.684,0.00,0
cc[350321,-1,1,0.640,0.640,0.640,0.640,0.00,0
cc[350177,-1,1,1.166,1.166,1.166,1.166,0.00,0
cc[350033,-1,1,0.621,0.621,0.621,0.621,0.00,0
cc[352329,-1,1,0.527,0.527,0.527,0.527,0.00,0
cc[349745,-1,1,0.603,0.603,0.603,0.603,0.00,0
cc[351177,-1,1,0.289,0.289,0.289,0.289,0.00,0
cc[350025,-1,1,0.599,0.599,0.599,0.599,0.00,0
cc[349593,-1,1,0.702,0.702,0.702,0.702,0.00,0
cc[350161,-1,1,0.541,0.541,0.541,0.541,0.00,0
cc[349873,-1,1,0.527,0.527,0.527,0.527,0.00,0
cc[350297,-1,1,0.693,0.693,0.693,0.693,0.00,0
cc[352305,-1,1,0.529,0.529,0.529,0.529,0.00,0
cc[350721,-1,1,0.511,0.511,0.511,0.511,0.00,0
cc[350289,-1,1,0.621,0.621,0.621,0.621,0.00,0
cc[352585,-1,1,0.626,0.626,0.626,0.626,0.00,0
cc[352153,-1,1,0.482,0.482,0.482,0.482,0.00,0
cc[349569,-1,1,0.522,0.522,0.522,0.522,0.00,0
cc[350569,-1,1,0.927,0.927,0.927,0.927,0.00,0
cc[350137,-1,1,0.636,0.636,0.636,0.636,0.00,0
cc[349993,-1,1,0.750,0.750,0.750,0.750,0.00,0
cc[349561,-1,1,0.853,0.853,0.853,0.853,0.00,0
cc[350705,-1,1,0.655,0.655,0.655,0.655,0.00,0
