comm,parent,sched-in,run-time,min-run,avg-run,max-run,stddev,migrations
cc[360032,-1,1,0.615,0.615,0.615,0.615,0.00,0
cc[362472,-1,1,0.551,0.551,0.551,0.551,0.00,0
ld[362320,-1,1,114.623,114.623,114.623,114.623,0.00,0
ln[361600,-1,1,1.002,1.002,1.002,1.002,0.00,0
cc[362456,-1,1,0.483,0.483,0.483,0.483,0.00,0
ld[362312,-1,1,104.230,104.230,104.230,104.230,0.00,0
ln[361736,-1,1,1.111,1.111,1.111,1.111,0.00,0
cc[361304,-1,1,0.628,0.628,0.628,0.628,0.00,0
ld[363024,-1,1,265.906,265.906,265.906,265.906,0.00,0
cc[360440,-1,1,0.522,0.522,0.522,0.522,0.00,0
cc[360152,-1,1,0.797,0.797,0.797,0.797,0.00,0
cc[362448,-1,1,0.520,0.520,0.520,0.520,0.00,0
cc[362304,-1,1,0.509,0.509,0.509,0.509,0.00,0
ln[362016,-1,1,1.046,1.046,1.046,1.046,0.00,0
cc[361296,-1,1,0.552,0.552,0.552,0.552,0.00,0
cc[361152,-1,1,0.681,0.681,0.681,0.681,0.00,0
cc[361008,-1,1,0.587,0.587,0.587,0.587,0.00,0
cc[360720,-1,1,0.662,0.662,0.662,0.662,0.00,0
cc[360576,-1,1,0.551,0.551,0.551,0.551,0.00,0
cc[360432,-1,1,0.665,0.665,0.665,0.665,0.00,0
cc[360144,-1,1,0.554,0.554,0.554,0.554,0.00,0
cc[360000,-1,1,0.757,0.757,0.757,0.757,0.00,0
cc[361144,-1,1,0.980,0.980,0.980,0.980,0.00,0
ln[361712,-1,1,0.990,0.990,0.990,0.990,0.00,0
cc[361568,-1,1,0.565,0.565,0.565,0.565,0.00,0
cc[361136,-1,1,0.558,0.558,0.558,0.558,0.00,0
cc[360992,-1,1,0.581,0.581,0.581,0.581,0.00,0
cc[360848,-1,1,0.738,0.738,0.738,0.738,0.00,0
cc[363000,-1,1,0.521,0.521,0.521,0.521,0.00,0
cc[360272,-1,1,0.708,0.708,0.708,0.708,0.00,0
cc[360128,-1,1,0.587,0.587,0.587,0.587,0.00,0
cc[359984,-1,1,1.366,1.366,1.366,1.366,0.00,0
ln[361992,-1,1,1.178,1.178,1.178,1.178,0.00,0
cc[361272,-1,1,0.664,0.664,0.664,0.664,0.00,0
cc[361128,-1,1,0.836,0.836,0.836,0.836,0.00,0
cc[360552,-1,1,0.616,0.616,0.616,0.616,0.00,0
cc[360408,-1,1,0.620,0.620,0.620,0.620,0.00,0
cc[362272,-1,1,0.571,0.571,0.571,0.571,0.00,0
ln[361696,-1,1,1.041,1.041,1.041,1.041,0.00,0
cc[361552,-1,1,0.342,0.342,0.342,0.342,0.00,0
cc[361120,-1,1,0.625,0.625,0.625,0.625,0.00,0
cc[360688,-1,1,0.661,0.661,0.661,0.661,0.00,0
cc[362696,-1,1,0.695,0.695,0.695,0.695,0.00,0
ln[361832,-1,1,1.061,1.061,1.061,1.061,0.00,0
ln[361688,-1,1,1.091,1.091,1.091,1.091,0.00,0
cc[361544,-1,1,0.463,0.463,0.463,0.463,0.00,0
cc[360680,-1,1,0.827,0.827,0.827,0.827,0.00,0
cc[360248,-1,1,0.818,0.818,0.818,0.818,0.00,0
cc[362544,-1,1,0.576,0.576,0.576,0.576,0.00,0
cc[359960,-1,1,0.722,0.722,0.722,0.722,0.00,0
ln[361968,-1,1,1.153,1.153,1.153,1.153,0.00,0
ln[361824,-1,1,1.016,1.016,1.016,1.016,0.00,0
ln[361680,-1,1,0.967,0.967,0.967,0.967,0.00,0
cc[361248,-1,1,0.729,0.729,0.729,0.729,0.00,0
cc[360960,-1,1,0.711,0.711,0.711,0.711,0.00,0
cc[360816,-1,1,0.723,0.723,0.723,0.723,0.00,0
cc[360528,-1,1,0.813,0.813,0.813,0.813,0.00,0
cc[362968,-1,1,0.678,0.678,0.678,0.678,0.00,0
cc[360384,-1,1,0.743,0.743,0.743,0.743,0.00,0
cc[362680,-1,1,0.534,0.534,0.534,0.534,0.00,0
cc[362536,-1,1,0.650,0.650,0.650,0.650,0.00,0
ln[361672,-1,1,0.711,0.711,0.711,0.711,0.00,0
cc[361528,-1,1,0.315,0.315,0.315,0.315,0.00,0
cc[361096,-1,1,0.592,0.592,0.592,0.592,0.00,0
cc[362960,-1,1,0.629,0.629,0.629,0.629,0.00,0
cc[360376,-1,1,0.557,0.557,0.557,0.557,0.00,0
ln[361808,-1,1,0.657,0.657,0.657,0.657,0.00,0
cc[361088,-1,1,0.726,0.726,0.726,0.726,0.00,0
cc[362952,-1,1,0.593,0.593,0.593,0.593,0.00,0
cc[360368,-1,1,0.707,0.707,0.707,0.707,0.00,0
cc[360224,-1,1,0.744,0.744,0.744,0.744,0.00,0
cc[359936,-1,1,1.243,1.243,1.243,1.243,0.00,0
cc[360648,-1,1,0.704,0.704,0.704,0.704,0.00,0
cc[360504,-1,1,0.793,0.793,0.793,0.793,0.00,0
cc[360360,-1,1,0.787,0.787,0.787,0.787,0.00,0
cc[360216,-1,1,0.655,0.655,0.655,0.655,0.00,0
cc[362512,-1,1,0.591,0.591,0.591,0.591,0.00,0
cc[359928,-1,1,0.635,0.635,0.635,0.635,0.00,0
cc[361072,-1,1,0.515,0.515,0.515,0.515,0.00,0
cc[360496,-1,1,0.781,0.781,0.781,0.781,0.00,0
cc[362936,-1,1,0.681,0.681,0.681,0.681,0.00,0
cc[360352,-1,1,1.024,1.024,1.024,1.024,0.00,0
ln[361784,-1,1,1.267,1.267,1.267,1.267,0.00,0
cc[361208,-1,1,0.600,0.600,0.600,0.600,0.00,0
