comm,parent,sched-in,run-time,min-run,avg-run,max-run,stddev,migrations
postgres[300744,300741,8,0.446,0.024,0.055,0.103,18.07,0
postgres[343360,-1,2,8.763,3.080,4.381,5.682,29.70,0
postgres[343352,-1,2,8.996,1.203,4.498,7.793,73.25,0
postgres[343361,-1,1,8.360,8.360,8.360,8.360,0.00,0
postgres[343353,-1,1,8.945,8.945,8.945,8.945,0.00,0
postgres[343362,-1,1,9.247,9.247,9.247,9.247,0.00,0
postgres[343354,-1,1,9.317,9.317,9.317,9.317,0.00,0
postgres[343363,-1,1,2.181,2.181,2.181,2.181,0.00,0
postgres[343355,-1,2,9.935,4.875,4.967,5.059,1.86,0
postgres[300747,300741,2616,496.787,0.004,0.189,15.379,8.03,0
postgres[300748,300741,2839,251.151,0.005,0.088,2.232,4.75,0
postgres[343356,-1,1,8.682,8.682,8.682,8.682,0.00,0
postgres[343348,-1,1,9.207,9.207,9.207,9.207,0.00,0
postgres[343340,-1,1,4.122,4.122,4.122,4.122,0.00,0
postgres[300741,1,18,11.038,0.054,0.613,8.386,75.01,0
postgres[343357,-1,1,9.148,9.148,9.148,9.148,0.00,0
postgres[343349,-1,2,10.003,0.997,5.001,9.006,80.06,0
postgres[300750,300741,3610,85.478,0.006,0.023,1.677,5.23,0
postgres[343358,-1,1,9.658,9.658,9.658,9.658,0.00,0
postgres[343350,-1,2,6.770,1.901,3.385,4.868,43.81,0
postgres[300751,300741,3,0.191,0.032,0.063,0.114,40.19,0
postgres[300743,300741,1,0.037,0.037,0.037,0.037,0.00,0
postgres[343359,-1,1,9.101,9.101,9.101,9.101,0.00,0
postgres[343351,-1,1,9.346,9.346,9.346,9.346,0.00,0
