Task,Runtime_ms,Count,Avg_delay_ms,Max_delay_ms,Max_delay_start,Max_delay_end
supertuxka:sh2:87839,2.141,23,0.388,1.573,18770.376885,18770.378458
supertux:gdrv0:(2),1380.595,4566,0.349,1.847,18814.020607,18814.022454
supertuxka:sh7:87846,1.067,17,0.339,0.975,18772.414470,18772.415445
supertuxka:sh3:87840,2.150,20,0.335,0.837,18771.305612,18771.306449
supertuxka:sh5:87842,1.629,21,0.331,0.764,18775.268706,18775.269470
supertuxka:sh0:87813,4.055,30,0.322,0.860,18770.269089,18770.269948
supertuxka:sh6:87843,1.783,20,0.303,0.731,18772.415717,18772.416448
supertuxka:sh1:87838,1.877,27,0.284,0.751,18770.376702,18770.377453
supertuxka:gl0:(2),1405.996,5152,0.271,2.004,18771.364451,18771.366455
supertuxka:sh4:87841,2.279,21,0.209,0.778,18771.368674,18771.369452
supertuxka:cs0:87811,1190.360,3682,0.154,1.853,18771.285595,18771.287448
supertuxkart:87784,19353.805,24170,0.140,2.004,18817.184440,18817.186444
supertuxka:sh8:87847,2.088,21,0.120,0.604,18818.636844,18818.637449
