Task,Runtime_ms,Count,Avg_delay_ms,Max_delay_ms,Max_delay_start,Max_delay_end
supertux:gdrv0:(2),1466.031,4674,0.326,0.995,18929.608459,18929.609455
supertuxka:sh5:89027,1.385,19,0.232,0.704,18892.811741,18892.812445
supertuxka:sh7:89031,1.142,17,0.220,0.984,18892.808457,18892.809441
supertuxka:gl0:(2),1471.011,5182,0.216,1.003,18918.953446,18918.954449
supertuxka:sh1:89023,2.030,25,0.175,0.783,18891.823663,18891.824446
supertuxka:sh4:89026,1.215,21,0.169,0.515,18893.755937,18893.756452
supertuxka:sh3:89025,2.007,22,0.155,0.607,18891.824850,18891.825457
supertuxka:sh2:89024,1.861,24,0.152,0.551,18891.822904,18891.823455
supertuxka:sh8:89032,1.442,19,0.148,0.556,18892.788892,18892.789447
supertuxka:cs0:88996,1244.960,3723,0.145,1.007,18893.478448,18893.479456
supertuxka:sh0:88998,3.582,31,0.116,0.729,18891.820734,18891.821463
supertuxka:sh6:89028,1.530,22,0.109,0.507,18939.983947,18939.984454
supertuxkart:88961,19747.757,23270,0.098,2.992,18896.146458,18896.149450
