Task,Runtime_ms,Count,Avg_delay_ms,Max_delay_ms,Max_delay_start,Max_delay_end
supertuxka:sh5:89410,1.565,22,1.009,2.994,18960.866479,18960.869473
supertuxkart:89352,11811.471,15157,0.940,5.623,18986.227827,18986.233450
supertuxka:sh4:89409,2.478,21,0.904,2.981,19008.249467,19008.252448
supertuxka:sh7:89412,1.644,19,0.894,2.202,19008.231598,19008.233800
supertuxka:sh8:89413,1.245,19,0.844,3.795,18969.990908,18969.994703
supertuxka:sh3:89408,1.238,23,0.833,2.251,19008.231606,19008.233857
supertuxka:sh2:89407,1.623,21,0.819,2.563,18960.866884,18960.869448
supertuxka:sh6:89411,1.324,21,0.705,2.187,18959.839305,18959.841492
supertuxka:gl0:(2),668.993,2739,0.676,5.716,19006.436729,19006.442446
supertuxka:sh1:89406,3.162,24,0.623,2.727,18960.871713,18960.874440
supertuxka:sh0:89381,2.830,26,0.542,1.917,19008.257265,19008.259182
supertux:gdrv0:(2),707.390,3414,0.365,5.033,18990.225417,18990.230451
supertuxka:cs0:89379,636.483,2227,0.202,4.556,18964.926869,18964.931425
