Task,Runtime_ms,Count,Avg_delay_ms,Max_delay_ms,Max_delay_start,Max_delay_end
supertuxka:gl0:(2),1337.868,5022,0.324,2.589,19952.405852,19952.408441
supertuxka:sh6:92834,0.883,17,0.268,1.489,19905.845951,19905.847439
supertux:gdrv0:(2),1450.234,6737,0.248,1.849,19931.856595,19931.858444
supertuxka:sh4:92804,1.105,21,0.247,1.446,19904.739002,19904.740448
supertuxka:sh1:92801,1.838,22,0.230,0.955,19904.737582,19904.738537
supertuxka:sh7:92835,0.912,17,0.223,0.869,19905.846613,19905.847481
supertuxkart:92691,19042.422,20796,0.211,3.404,19909.421740,19909.425144
supertuxka:sh5:92833,1.162,19,0.206,0.910,19952.444605,19952.445516
supertuxka:cs0:92773,1200.612,3643,0.171,1.953,19907.206489,19907.208443
supertuxka:sh2:92802,1.303,21,0.169,0.833,19904.737720,19904.738553
supertuxka:sh8:92836,0.816,16,0.162,0.491,19905.872967,19905.873458
supertuxka:sh0:92775,2.977,33,0.113,0.702,19904.626985,19904.627686
supertuxka:sh3:92803,1.687,21,0.107,0.384,19952.443721,19952.444105
